iter	Passed	Remaining
0	23	11807
1	34	8530
2	43	7219
3	53	6600
4	75	7464
5	87	7244
6	97	6882
7	106	6564
8	121	6605
9	130	6407
10	142	6314
11	157	6397
12	167	6259
13	176	6127
14	185	6003
15	194	5895
16	204	5800
17	214	5748
18	227	5750
19	238	5714
20	249	5698
21	260	5655
22	273	5676
23	300	5965
24	313	5953
25	323	5900
26	334	5852
27	345	5815
28	355	5779
29	366	5747
30	380	5754
31	391	5726
32	400	5670
33	410	5632
34	420	5580
35	429	5533
36	439	5499
37	448	5449
38	457	5410
39	468	5383
40	478	5357
41	488	5330
42	496	5279
43	506	5246
44	529	5355
45	539	5320
46	548	5286
47	558	5256
48	568	5231
49	589	5301
50	598	5269
51	609	5254
52	621	5239
53	631	5213
54	640	5181
55	653	5181
56	662	5147
57	670	5106
58	679	5075
59	689	5057
60	696	5015
61	705	4986
62	716	4969
63	725	4943
64	736	4927
65	748	4921
66	758	4904
67	769	4888
68	779	4867
69	791	4859
70	801	4844
71	810	4820
72	818	4789
73	827	4766
74	836	4741
75	852	4757
76	861	4732
77	869	4704
78	879	4689
79	887	4659
80	895	4633
81	905	4616
82	914	4595
83	924	4579
84	934	4561
85	951	4579
86	960	4559
87	969	4537
88	978	4519
89	986	4496
90	996	4480
91	1006	4463
92	1013	4437
93	1022	4417
94	1032	4403
95	1040	4379
96	1049	4358
97	1056	4335
98	1068	4327
99	1079	4317
100	1088	4301
101	1098	4286
102	1108	4272
103	1116	4251
104	1127	4240
105	1134	4218
106	1143	4199
107	1151	4177
108	1159	4160
109	1167	4139
110	1178	4128
111	1188	4118
112	1198	4103
113	1208	4090
114	1219	4083
115	1230	4073
116	1239	4057
117	1246	4035
118	1257	4025
119	1265	4006
120	1272	3985
121	1296	4016
122	1304	3997
123	1311	3977
124	1317	3953
125	1325	3933
126	1350	3965
127	1370	3983
128	1381	3974
129	1390	3957
130	1397	3937
131	1406	3921
132	1424	3930
133	1445	3947
134	1457	3940
135	1468	3929
136	1495	3961
137	1503	3944
138	1513	3930
139	1520	3910
140	1530	3897
141	1541	3885
142	1547	3864
143	1555	3845
144	1563	3826
145	1570	3808
146	1579	3793
147	1590	3781
148	1597	3762
149	1607	3750
150	1618	3739
151	1625	3722
152	1633	3704
153	1641	3686
154	1651	3675
155	1661	3663
156	1673	3655
157	1686	3650
158	1702	3651
159	1712	3638
160	1719	3620
161	1727	3604
162	1734	3585
163	1741	3567
164	1748	3549
165	1756	3533
166	1763	3515
167	1771	3501
168	1779	3484
169	1789	3472
170	1796	3455
171	1806	3444
172	1812	3426
173	1819	3409
174	1827	3393
175	1836	3381
176	1843	3364
177	1850	3348
178	1873	3359
179	1881	3345
180	1892	3335
181	1900	3320
182	1907	3303
183	1918	3294
184	1928	3284
185	1936	3268
186	1943	3253
187	1952	3239
188	1959	3224
189	1970	3215
190	1987	3215
191	1996	3202
192	2006	3191
193	2017	3183
194	2025	3167
195	2036	3159
196	2045	3146
197	2053	3132
198	2061	3118
199	2069	3103
200	2079	3093
201	2092	3086
202	2104	3078
203	2114	3068
204	2124	3057
205	2130	3041
206	2137	3024
207	2143	3008
208	2149	2993
209	2159	2982
210	2169	2971
211	2178	2959
212	2188	2948
213	2198	2938
214	2208	2928
215	2223	2923
216	2238	2918
217	2245	2904
218	2256	2895
219	2264	2882
220	2271	2867
221	2279	2854
222	2287	2841
223	2298	2831
224	2310	2824
225	2318	2811
226	2330	2802
227	2337	2789
228	2349	2780
229	2356	2765
230	2363	2752
231	2370	2738
232	2380	2727
233	2387	2714
234	2398	2705
235	2411	2697
236	2419	2684
237	2425	2670
238	2432	2656
239	2443	2647
240	2453	2637
241	2465	2628
242	2474	2616
243	2483	2606
244	2494	2596
245	2508	2589
246	2519	2580
247	2528	2569
248	2540	2561
249	2550	2550
250	2565	2545
251	2574	2533
252	2581	2520
253	2593	2511
254	2604	2501
255	2611	2489
256	2619	2477
257	2627	2464
258	2633	2450
259	2645	2441
260	2653	2429
261	2664	2420
262	2672	2408
263	2683	2398
264	2695	2389
265	2705	2380
266	2717	2371
267	2726	2359
268	2734	2348
269	2743	2337
270	2750	2324
271	2759	2313
272	2767	2301
273	2776	2289
274	2785	2279
275	2796	2269
276	2805	2258
277	2816	2249
278	2827	2239
279	2836	2228
280	2848	2219
281	2858	2209
282	2865	2197
283	2876	2187
284	2890	2180
285	2900	2170
286	2909	2159
287	2917	2147
288	2924	2135
289	2931	2122
290	2938	2110
291	2945	2098
292	2952	2085
293	2960	2074
294	2967	2062
295	2981	2054
296	2989	2043
297	2999	2033
298	3006	2021
299	3016	2011
300	3023	1998
301	3029	1986
302	3036	1974
303	3044	1963
304	3053	1951
305	3060	1940
306	3066	1927
307	3073	1915
308	3081	1904
309	3088	1893
310	3102	1885
311	3109	1873
