iter	RMSE
0	4.691821561
1	4.653755462
2	4.616009514
3	4.57861757
4	4.541587055
5	4.504972426
6	4.468933909
7	4.433073127
8	4.39799388
9	4.362915177
10	4.328109969
11	4.29360932
12	4.259681664
13	4.225830609
14	4.192429241
15	4.159445104
16	4.127064846
17	4.094593355
18	4.062844898
19	4.030950467
20	3.99964534
21	3.968893858
22	3.938366164
23	3.908070989
24	3.878065887
25	3.848213538
26	3.818769533
27	3.789656238
28	3.761162511
29	3.732956661
30	3.704828667
31	3.676933317
32	3.649184629
33	3.622063702
34	3.595120236
35	3.56839957
36	3.542358336
37	3.515996119
38	3.490011751
39	3.464158162
40	3.438680554
41	3.413453584
42	3.388589929
43	3.363959143
44	3.339688334
45	3.315640228
46	3.291992474
47	3.268656116
48	3.245294003
49	3.22253126
50	3.199666104
51	3.176671692
52	3.154808141
53	3.13281558
54	3.110431624
55	3.088882324
56	3.067382392
57	3.046317711
58	3.02551571
59	3.004564346
60	2.983703473
61	2.963625005
62	2.943259697
63	2.923610147
64	2.904163435
65	2.884730566
66	2.865145293
67	2.846319014
68	2.827779344
69	2.809305572
70	2.790925448
71	2.772422814
72	2.754295674
73	2.73684012
74	2.718701162
75	2.701213946
76	2.68355498
77	2.666317789
78	2.649648466
79	2.632744143
80	2.616386099
81	2.600137763
82	2.583875497
83	2.568152671
84	2.552625163
85	2.536767458
86	2.520924443
87	2.505741678
88	2.490479666
89	2.475708486
90	2.460796325
91	2.445841992
92	2.430796505
93	2.416624522
94	2.402266068
95	2.388144868
96	2.374072186
97	2.360386036
98	2.346952097
99	2.333433246
100	2.320068173
101	2.306915574
102	2.29368193
103	2.280951736
104	2.267657263
105	2.25511401
106	2.242667633
107	2.230250575
108	2.217841905
109	2.205791159
110	2.193798986
111	2.181960182
112	2.17013402
113	2.158286519
114	2.147121346
115	2.135533169
116	2.12389199
117	2.112483258
118	2.101349188
119	2.090521141
120	2.079838405
121	2.069382544
122	2.058830037
123	2.048581206
