iter	Passed	Remaining
0	53	50414
1	57	26810
2	60	18929
3	64	14989
4	67	12620
5	70	11038
6	74	9894
7	77	9044
8	81	8384
9	84	7865
10	88	7432
11	91	7076
12	94	6762
13	98	6493
14	101	6263
15	105	6070
16	108	5893
17	112	5740
18	115	5597
19	118	5467
20	122	5345
21	125	5238
22	128	5141
23	132	5051
24	135	4967
25	139	4888
26	142	4818
27	145	4751
28	149	4691
29	152	4629
30	156	4575
31	159	4522
32	162	4474
33	166	4426
34	169	4381
35	172	4340
36	176	4303
37	179	4269
38	183	4234
39	186	4199
40	190	4167
41	193	4135
42	196	4106
43	200	4075
44	203	4046
45	206	4021
46	210	3997
47	213	3972
48	217	3949
49	220	3927
50	224	3906
51	227	3886
52	231	3868
53	234	3848
54	238	3830
55	241	3813
56	244	3794
57	248	3777
58	251	3759
59	255	3743
60	258	3728
61	262	3712
62	265	3696
63	268	3681
64	272	3668
65	276	3655
66	279	3642
67	283	3629
68	286	3616
69	289	3603
70	293	3592
71	296	3580
72	300	3568
73	303	3557
74	307	3546
75	310	3535
76	314	3525
77	318	3515
78	321	3503
79	324	3493
80	328	3481
81	331	3471
82	335	3461
83	338	3452
84	342	3442
85	345	3432
86	349	3424
87	352	3414
88	356	3404
89	359	3395
90	363	3387
91	366	3379
92	370	3370
93	373	3362
94	377	3354
95	380	3346
96	384	3340
97	387	3332
98	391	3324
99	394	3316
100	398	3308
101	401	3300
102	405	3293
103	408	3285
104	412	3277
105	415	3269
106	418	3261
107	422	3254
108	425	3247
109	429	3240
110	432	3233
111	436	3225
112	439	3219
113	443	3212
114	446	3205
115	450	3198
116	453	3191
117	457	3184
118	460	3177
119	464	3171
120	467	3164
121	470	3157
122	474	3150
123	477	3143
124	481	3137
125	484	3132
126	488	3125
127	491	3118
128	495	3112
129	498	3106
130	502	3100
131	505	3094
132	509	3088
133	512	3082
134	515	3076
135	519	3070
136	522	3064
137	526	3058
138	529	3053
139	533	3047
140	536	3042
141	540	3036
142	543	3031
143	547	3025
144	550	3019
145	554	3013
146	557	3007
147	561	3002
148	564	2997
149	568	2991
150	571	2986
151	575	2981
152	578	2976
153	582	2970
154	585	2965
155	589	2960
156	592	2954
157	595	2949
158	599	2943
159	602	2937
160	606	2932
161	609	2926
162	612	2922
163	616	2917
164	619	2911
165	623	2906
166	626	2901
167	630	2895
168	633	2891
169	637	2885
170	640	2880
171	643	2875
172	647	2869
173	650	2864
174	654	2860
175	657	2855
176	661	2850
177	664	2845
178	668	2840
179	671	2835
180	675	2830
181	678	2825
182	681	2820
183	685	2815
184	688	2810
185	692	2805
186	695	2800
187	698	2795
188	702	2791
189	706	2787
190	709	2782
191	712	2777
192	716	2772
193	719	2768
194	723	2763
195	726	2758
196	730	2754
197	733	2749
198	737	2745
199	740	2740
200	744	2736
201	747	2731
202	751	2727
203	754	2723
204	758	2718
205	761	2713
206	765	2709
207	768	2704
208	772	2700
209	775	2695
210	778	2691
211	782	2687
212	786	2682
213	789	2678
214	792	2673
215	796	2669
216	799	2664
217	803	2660
218	806	2655
219	810	2651
220	813	2647
221	817	2643
222	820	2638
223	824	2634
224	827	2629
225	830	2625
226	834	2620
227	837	2616
228	841	2611
229	844	2607
230	848	2603
231	851	2599
232	855	2595
233	858	2590
234	862	2586
235	865	2582
236	869	2577
237	872	2573
238	876	2569
239	879	2565
240	883	2561
241	886	2557
242	890	2553
243	893	2548
244	897	2544
245	900	2540
246	903	2536
247	907	2531
248	910	2527
249	914	2523
250	917	2519
251	921	2515
252	924	2511
253	928	2507
254	931	2502
255	935	2498
256	938	2494
257	942	2490
258	945	2486
259	948	2481
260	952	2477
261	955	2473
262	959	2469
263	962	2465
264	966	2460
265	969	2456
266	973	2452
267	976	2448
268	979	2444
269	983	2440
270	986	2436
271	990	2432
272	993	2427
273	997	2424
274	1000	2419
275	1004	2415
276	1007	2411
277	1011	2407
278	1014	2403
279	1017	2399
280	1021	2395
281	1024	2391
282	1028	2387
283	1031	2382
284	1034	2378
285	1038	2374
286	1041	2370
287	1045	2366
288	1048	2362
289	1052	2358
290	1055	2353
291	1058	2349
292	1062	2345
293	1065	2341
294	1069	2337
295	1072	2333
296	1076	2329
297	1079	2325
298	1082	2321
299	1086	2316
300	1089	2312
301	1092	2308
302	1096	2304
303	1099	2300
304	1103	2296
305	1106	2292
306	1110	2288
307	1113	2284
308	1116	2280
309	1120	2276
310	1123	2272
311	1126	2268
312	1130	2264
313	1133	2259
314	1136	2255
315	1140	2251
316	1143	2247
317	1147	2243
318	1150	2239
319	1153	2235
320	1157	2231
321	1160	2227
322	1164	2223
323	1167	2219
324	1171	2215
325	1174	2211
326	1177	2207
327	1181	2203
328	1184	2200
329	1188	2196
330	1191	2192
331	1194	2187
332	1197	2183
333	1201	2179
334	1204	2175
335	1208	2172
336	1211	2168
337	1215	2164
338	1218	2160
339	1221	2156
340	1225	2152
341	1228	2148
342	1232	2144
343	1235	2140
344	1238	2136
345	1242	2132
346	1245	2128
347	1249	2125
348	1252	2121
349	1255	2117
350	1259	2113
351	1262	2109
352	1266	2105
353	1269	2101
354	1273	2098
355	1276	2094
356	1280	2090
357	1283	2087
358	1287	2083
359	1290	2079
360	1293	2075
361	1297	2071
362	1300	2067
363	1304	2063
364	1307	2059
365	1311	2056
366	1314	2052
367	1318	2049
368	1321	2045
369	1325	2041
370	1328	2037
371	1332	2033
372	1335	2030
373	1339	2026
374	1342	2022
375	1346	2019
376	1349	2015
377	1352	2011
378	1356	2007
379	1359	2003
380	1363	2000
381	1366	1996
382	1370	1992
383	1373	1988
384	1376	1984
385	1380	1981
386	1384	1977
387	1387	1973
388	1390	1970
389	1394	1966
390	1397	1962
391	1400	1958
392	1404	1954
393	1407	1950
394	1411	1947
395	1416	1945
396	1419	1941
397	1423	1938
398	1426	1934
399	1430	1931
400	1434	1927
401	1437	1923
402	1441	1920
403	1444	1916
404	1447	1912
405	1451	1908
406	1454	1905
407	1458	1901
408	1461	1897
409	1466	1895
410	1470	1892
411	1474	1889
412	1478	1886
413	1481	1882
414	1484	1878
415	1488	1874
416	1491	1870
417	1495	1867
418	1498	1863
419	1501	1859
420	1505	1855
421	1508	1851
422	1512	1848
423	1515	1844
424	1518	1840
425	1522	1836
426	1525	1832
427	1529	1829
428	1532	1825
429	1535	1821
430	1539	1817
431	1542	1814
432	1546	1810
433	1549	1806
434	1552	1802
435	1556	1798
436	1559	1795
437	1562	1791
438	1566	1787
439	1569	1783
440	1573	1779
441	1576	1776
442	1580	1772
443	1583	1768
444	1586	1765
445	1589	1761
446	1593	1757
447	1596	1753
448	1600	1749
449	1603	1746
450	1606	1742
451	1610	1738
452	1613	1734
453	1617	1731
454	1620	1727
455	1623	1723
456	1627	1719
457	1630	1716
458	1633	1712
459	1637	1708
460	1640	1704
461	1644	1701
462	1647	1697
463	1650	1693
464	1654	1689
465	1657	1686
466	1661	1682
467	1664	1678
468	1668	1675
469	1671	1671
470	1674	1667
471	1678	1663
472	1681	1660
473	1684	1656
474	1688	1652
475	1691	1649
476	1695	1645
477	1698	1641
478	1701	1637
479	1705	1634
480	1708	1630
481	1712	1626
482	1715	1623
483	1718	1619
484	1722	1615
485	1725	1611
486	1728	1608
487	1732	1604
488	1735	1600
489	1739	1597
490	1742	1593
491	1745	1589
492	1749	1585
493	1752	1582
494	1755	1578
495	1759	1574
496	1762	1571
497	1766	1567
498	1769	1563
499	1772	1560
500	1776	1556
501	1779	1552
502	1782	1548
503	1786	1545
504	1789	1541
505	1792	1537
506	1796	1534
507	1799	1530
508	1803	1526
509	1806	1523
510	1809	1519
511	1813	1515
512	1816	1511
513	1819	1508
514	1823	1504
515	1826	1501
516	1830	1497
517	1833	1493
518	1836	1490
519	1840	1486
520	1843	1482
521	1847	1479
522	1850	1475
523	1853	1471
524	1857	1467
525	1860	1464
526	1863	1460
527	1867	1456
528	1870	1453
529	1873	1449
530	1877	1445
531	1880	1442
532	1884	1438
533	1887	1435
534	1890	1431
535	1894	1427
536	1897	1424
537	1900	1420
538	1904	1416
539	1907	1413
540	1911	1409
541	1914	1405
542	1917	1402
543	1921	1398
544	1924	1395
545	1928	1391
546	1931	1387
547	1935	1384
548	1938	1380
549	1941	1376
550	1945	1373
551	1948	1369
552	1951	1365
553	1955	1362
554	1958	1358
555	1962	1355
556	1965	1351
557	1968	1347
558	1972	1344
559	1975	1340
560	1978	1336
561	1982	1333
562	1985	1329
563	1989	1326
564	1992	1322
565	1995	1318
566	1999	1315
567	2002	1311
568	2006	1308
569	2009	1304
570	2012	1300
571	2016	1297
572	2019	1293
573	2022	1289
574	2026	1286
575	2029	1282
576	2033	1279
577	2036	1275
578	2039	1271
579	2043	1268
580	2046	1264
581	2050	1261
582	2053	1257
583	2056	1253
584	2060	1250
585	2063	1246
586	2067	1243
587	2070	1239
588	2073	1235
589	2077	1232
590	2080	1228
591	2083	1224
592	2087	1221
593	2090	1217
594	2094	1214
595	2097	1210
596	2100	1207
597	2104	1203
598	2107	1199
599	2111	1196
600	2114	1192
601	2117	1189
602	2121	1185
603	2124	1181
604	2128	1178
605	2131	1174
606	2135	1171
607	2138	1167
608	2141	1164
609	2145	1160
610	2148	1156
611	2152	1153
612	2155	1149
613	2158	1146
614	2162	1142
615	2165	1139
616	2169	1135
617	2172	1131
618	2175	1128
619	2179	1124
620	2182	1121
621	2185	1117
622	2189	1113
623	2192	1110
624	2196	1106
625	2199	1103
626	2203	1099
627	2206	1096
628	2209	1092
629	2213	1089
630	2216	1085
631	2219	1081
632	2223	1078
633	2226	1074
634	2230	1071
635	2233	1067
636	2236	1063
637	2240	1060
638	2243	1056
639	2247	1053
640	2250	1049
641	2254	1046
642	2257	1042
643	2261	1039
644	2264	1035
645	2267	1032
646	2271	1028
647	2274	1024
648	2277	1021
649	2281	1017
650	2284	1014
651	2288	1010
652	2292	1007
653	2295	1003
654	2299	1000
655	2302	996
656	2306	993
657	2309	989
658	2313	986
659	2316	982
660	2321	979
661	2324	976
662	2328	972
663	2331	969
664	2335	965
665	2338	962
666	2342	958
667	2345	955
668	2349	951
669	2352	948
670	2356	944
671	2359	940
672	2362	937
673	2366	933
674	2369	930
675	2373	926
676	2376	923
677	2379	919
678	2383	916
679	2386	912
680	2390	909
681	2393	905
682	2397	902
683	2400	898
684	2404	895
685	2407	891
686	2411	887
687	2414	884
688	2418	880
689	2421	877
690	2425	873
691	2428	870
692	2431	866
693	2435	863
694	2438	859
695	2442	856
696	2445	852
697	2449	849
698	2452	845
699	2456	842
700	2459	838
701	2462	835
702	2466	831
703	2470	828
704	2473	824
705	2477	821
706	2480	817
707	2484	813
708	2487	810
709	2490	806
710	2494	803
711	2497	799
712	2501	796
713	2504	792
714	2508	789
715	2511	785
716	2514	782
717	2518	778
718	2521	775
719	2525	771
720	2528	768
721	2532	764
722	2535	760
723	2538	757
724	2542	753
725	2545	750
726	2548	746
727	2552	743
728	2555	739
729	2559	736
730	2562	732
731	2566	729
732	2569	725
733	2572	722
734	2576	718
735	2580	715
736	2583	711
737	2587	708
738	2590	704
739	2593	701
740	2597	697
741	2600	694
742	2604	690
743	2607	686
744	2611	683
745	2614	679
746	2618	676
747	2621	672
748	2624	669
749	2628	665
750	2631	662
751	2635	658
752	2638	655
753	2642	651
754	2646	648
755	2650	645
756	2653	641
757	2657	637
758	2660	634
759	2663	630
760	2667	627
761	2670	623
762	2673	620
763	2677	616
764	2680	613
765	2683	609
766	2687	606
767	2690	602
768	2694	599
769	2697	595
770	2700	592
771	2704	588
772	2707	584
773	2710	581
774	2714	577
775	2717	574
776	2721	570
777	2724	567
778	2727	563
779	2731	560
780	2734	556
781	2738	553
782	2741	549
783	2744	546
784	2748	542
785	2751	539
786	2755	535
787	2758	532
788	2761	528
789	2765	525
790	2768	521
791	2772	518
792	2775	514
793	2778	510
794	2782	507
795	2785	503
796	2788	500
797	2792	496
798	2795	493
799	2799	489
800	2802	486
801	2805	482
802	2809	479
803	2812	475
804	2816	472
805	2819	468
806	2823	465
807	2826	461
808	2829	458
809	2833	454
810	2836	451
811	2839	447
812	2843	444
813	2846	440
814	2850	437
815	2853	433
816	2856	430
817	2860	426
818	2863	423
819	2867	419
820	2870	416
821	2873	412
822	2877	409
823	2880	405
824	2884	402
825	2887	398
826	2890	395
827	2894	391
828	2897	388
829	2901	384
830	2904	380
831	2907	377
832	2911	373
833	2914	370
834	2918	366
835	2921	363
836	2924	359
837	2928	356
838	2931	352
839	2935	349
840	2938	345
841	2941	342
842	2945	338
843	2948	335
844	2952	331
845	2955	328
846	2959	324
847	2962	321
848	2965	317
849	2969	314
850	2972	310
851	2975	307
852	2979	303
853	2982	300
854	2986	296
855	2989	293
856	2992	289
857	2996	286
858	2999	282
859	3003	279
860	3006	275
861	3009	272
862	3013	268
863	3016	265
864	3020	261
865	3023	258
866	3026	254
867	3030	251
868	3033	247
869	3037	244
870	3040	240
871	3044	237
872	3047	233
873	3050	230
874	3054	226
875	3057	223
876	3060	219
877	3064	216
878	3067	212
879	3071	209
880	3074	205
881	3077	202
882	3081	198
883	3084	195
884	3088	191
885	3091	188
886	3094	184
887	3098	181
888	3101	177
889	3104	174
890	3108	170
891	3111	167
892	3114	163
893	3118	160
894	3121	156
895	3125	153
896	3128	149
897	3131	146
898	3135	142
899	3138	139
900	3142	136
901	3145	132
902	3148	129
903	3152	125
904	3155	122
905	3159	118
906	3162	115
907	3165	111
908	3169	108
909	3172	104
910	3176	101
911	3179	97
912	3183	94
913	3186	90
914	3190	87
915	3193	83
916	3196	80
917	3200	76
918	3203	73
919	3206	69
920	3210	66
921	3213	62
922	3217	59
923	3220	55
924	3224	52
925	3227	48
926	3231	45
927	3234	41
928	3237	38
929	3241	34
930	3244	31
931	3248	27
932	3251	24
933	3254	20
934	3258	17
935	3261	13
936	3265	10
937	3268	6
938	3272	3
939	3276	0
