YB,F8,e_F8,F12,e_F12,F24,e_F24,F70,e_F70,N8,N12,N24,N70,f_SAT,f_MULTI,f_NOSRC,f_PCONF,f_CEXT
1.0,1.6835,0.3838,0.5183,0.6502,2.0125,0.2967,16.1253,0.3294,5,5,5,5,0000,0,0000,0000,0
2.0,5.3291,0.0427,0.5604,0.6525,,,95.7994,0.2901,5,5,0,5,0010,1,0000,0000,0
3.0,,0.1184,,,,,78.4998,0.4019,5,0,0,5,0110,0,0000,1000,0
4.0,0.3001,0.3303,0.1202,0.1745,0.7187,0.1195,4.8869,0.1778,5,5,5,5,0000,0,0000,0000,0
5.0,0.5169,0.2286,0.0873,0.3529,0.2825,0.2905,,0.3012,5,5,5,5,0000,1,0000,0001,0
6.0,1.7198,0.2403,0.2428,0.5195,,,,0.245,5,5,0,5,0010,0,0000,0011,0
7.0,9.0421,0.4005,2.0536,0.5697,,,488.787,0.37,5,5,0,5,0010,0,0000,0000,0
8.0,11.7224,0.227,,,,,794.7477,0.1517,5,0,0,5,0110,0,0000,0000,0
9.0,17.3574,0.2377,,,,,469.3434,0.3558,5,0,0,5,0110,1,0000,0000,0
10.0,5.4743,0.2327,,,,,101.3833,0.4295,5,0,0,5,0110,0,0000,0000,0
11.0,10.5537,0.3307,,,,,78.9686,0.5776,5,0,0,5,0110,1,0000,0000,0
12.0,6.3362,0.2989,,,,,254.843,0.2997,5,0,0,5,0110,0,0000,0000,0
13.0,1.6156,0.3721,0.7675,0.4632,,,33.4263,0.3276,5,5,0,5,0010,0,0000,0000,0
14.0,,0.2149,,0.3385,,0.3974,,0.3772,5,5,5,5,0000,0,1110,1001,0
15.0,5.1246,0.1097,,-0.5837,,,89.0679,0.1597,5,5,0,5,0010,0,0000,0110,0
16.0,1.1456,0.0914,1.1233,0.7517,,,55.2493,0.68,5,5,0,5,0010,0,0000,0000,0
17.0,15.2267,0.1121,,,,,190.1514,0.2252,5,0,0,5,0110,1,0000,0000,0
18.0,1.1187,0.2755,0.256,0.1574,2.5183,0.0442,22.0228,0.0971,5,5,5,5,0000,0,0000,0000,0
19.0,1.8141,0.1454,0.8052,0.4711,,,,0.1673,5,5,0,5,0010,1,0000,0001,0
20.0,1.0878,0.2385,0.2346,0.3176,3.2958,0.3511,44.5416,0.2592,5,5,5,5,0000,0,0000,0000,0
21.0,8.6284,0.1445,,,,,103.2432,0.3291,5,0,0,5,0110,1,0000,0000,0
22.0,,0.234,0.2114,0.4181,3.5226,0.6224,27.1554,0.8543,5,4,5,5,0000,1,1000,0000,0
23.0,,1.2891,,,,,1180.2373,1.5633,5,0,0,5,0110,1,1000,1000,0
24.0,4.6512,0.0791,,,,,2995.5275,0.1064,5,0,0,5,0110,1,0000,0000,0
25.0,,0.2122,,,,,614.7193,2.0671,5,0,0,5,0110,0,1000,1000,0
26.0,9.3273,0.3088,,,,,252.1449,0.2847,5,0,0,5,0110,0,0000,0000,0
27.0,,1.1095,,,,,,1.1862,5,0,0,5,0110,0,0000,1001,0
28.0,0.3314,0.3305,0.3355,0.4812,9.366,0.4683,,0.4808,5,5,5,5,0000,0,0000,0001,0
29.0,8.7327,0.1912,,,,,572.4974,0.2983,5,0,0,5,0110,1,0000,0000,0
30.0,4.2811,0.1068,1.3023,0.6261,,,251.3973,0.1956,5,5,0,5,0010,0,0000,0000,0
31.0,2.4378,0.181,0.7294,0.7071,,,34.7265,0.3913,5,5,0,5,0010,0,0000,0000,0
32.0,,1.0675,0.1571,0.6663,1.6886,1.0503,5.2439,1.125,5,5,5,5,0000,0,1000,1000,0
33.0,,0.2028,0.1975,0.3757,,,26.0314,0.5948,5,5,0,5,0010,0,1000,1000,0
34.0,1.3278,0.3932,0.5174,0.1941,,,6573.5066,0.1795,5,5,0,5,0010,1,0000,0000,0
35.0,,0.3787,0.1336,0.484,4.1952,0.3604,,3.1947,5,5,5,5,0000,0,1000,1001,0
36.0,1.1057,0.0592,0.6885,0.1413,,,245.9286,0.1433,5,5,0,5,0010,1,0000,0000,0
37.0,,0.3585,0.5457,0.4182,,,28.6877,1.1298,5,5,0,5,0010,0,1000,1000,0
38.0,0.8649,0.1462,0.228,0.1741,3.3069,0.1341,98.5017,0.0685,5,5,5,5,0000,1,0000,0000,0
39.0,0.3092,0.5213,0.0711,0.4064,0.0611,0.3876,,0.1411,5,5,5,5,0000,0,0000,0001,0
40.0,0.3113,0.1923,0.0461,0.2744,0.7082,0.3267,37.1651,0.1065,5,5,5,5,0000,0,0000,0000,0
41.0,0.264,0.4077,0.0399,0.3843,0.3106,0.2025,7.6995,0.2445,5,5,5,5,0000,0,0000,0000,0
42.0,21.7263,0.164,,,,,904.8726,0.1926,5,0,0,5,0110,1,0000,0000,0
43.0,0.128,0.1244,0.0097,0.3904,,0.4059,5.8366,0.1586,5,5,5,5,0000,1,0000,0010,0
44.0,0.8591,0.15,0.6995,0.2241,6.7915,0.05,57.3675,0.0628,5,5,5,5,0000,0,0000,0000,0
45.0,0.1929,0.1088,0.0346,0.2184,0.0844,0.1616,2.0552,0.0897,5,5,5,5,0000,0,0000,0000,0
46.0,5.8707,1.1266,2.3328,1.0337,11.3642,0.8632,128.678,0.9978,5,5,5,5,0000,1,0000,0000,0
