YB,F8,F12,F24,F70
1.0,1.6835,0.5183,2.0125,16.1253
2.0,5.3291,0.5604,,95.7994
3.0,,,,78.4998
4.0,0.3001,0.1202,0.7187,4.8869
5.0,0.5169,0.0873,0.2825,
6.0,1.7198,0.2428,,
7.0,9.0421,2.0536,,488.787
8.0,11.7224,,,794.7477
9.0,17.3574,,,469.3434
10.0,5.4743,,,101.3833
11.0,10.5537,,,78.9686
12.0,6.3362,,,254.843
13.0,1.6156,0.7675,,33.4263
14.0,,,,
15.0,5.1246,,,89.0679
16.0,1.1456,1.1233,,55.2493
17.0,15.2267,,,190.1514
18.0,1.1187,0.256,2.5183,22.0228
19.0,1.8141,0.8052,,
20.0,1.0878,0.2346,3.2958,44.5416
21.0,8.6284,,,103.2432
22.0,,0.2114,3.5226,27.1554
23.0,,,,1180.2373
24.0,4.6512,,,2995.5275
25.0,,,,614.7193
26.0,9.3273,,,252.1449
27.0,,,,
28.0,0.3314,0.3355,9.366,
29.0,8.7327,,,572.4974
30.0,4.2811,1.3023,,251.3973
31.0,2.4378,0.7294,,34.7265
32.0,,0.1571,1.6886,5.2439
33.0,,0.1975,,26.0314
34.0,1.3278,0.5174,,6573.5066
35.0,,0.1336,4.1952,
36.0,1.1057,0.6885,,245.9286
37.0,,0.5457,,28.6877
38.0,0.8649,0.228,3.3069,98.5017
39.0,0.3092,0.0711,0.0611,
40.0,0.3113,0.0461,0.7082,37.1651
41.0,0.264,0.0399,0.3106,7.6995
42.0,21.7263,,,904.8726
43.0,0.128,0.0097,,5.8366
44.0,0.8591,0.6995,6.7915,57.3675
45.0,0.1929,0.0346,0.0844,2.0552
46.0,5.8707,2.3328,11.3642,128.678
47.0,1.5185,0.6201,2.7666,72.1058
48.0,0.549,0.1119,0.7975,31.35
49.0,0.3844,0.0974,1.7419,74.8953
50.0,1.5701,0.4685,2.9363,102.8227
51.0,0.227,0.0409,0.0687,2.9932
52.0,0.3276,0.1528,0.2549,
53.0,0.4266,0.15,0.4946,7.2038
54.0,0.9791,0.3167,5.2158,251.7603
55.0,2.1078,0.4923,2.992,38.1898
56.0,0.5867,0.2396,2.3465,31.0379
57.0,0.4247,0.4994,,23.1318
58.0,2.8229,0.9581,,93.6783
59.0,,,0.4746,
60.0,,0.0964,0.2133,6.1965
61.0,0.4358,0.0758,0.5743,23.0441
62.0,1.6206,0.5644,1.6964,0.7644
63.0,4.0789,0.9451,,324.4093
64.0,0.0929,0.0347,0.1952,3.4026
65.0,1.6155,0.265,2.8762,51.6563
66.0,0.3109,0.0837,0.1283,8.8236
67.0,0.2906,0.0871,0.6253,17.7356
68.0,0.3107,0.0787,0.3711,10.6852
69.0,0.8459,0.2975,4.8355,49.5086
70.0,1.4868,0.3311,1.8316,
71.0,0.3492,0.0706,0.5441,27.7879
72.0,0.4319,0.0689,0.7161,16.3089
73.0,0.1852,0.0264,0.3144,10.3276
74.0,0.8141,0.1798,0.6384,10.29
75.0,5.9886,,,581.4933
76.0,0.5605,0.156,0.6149,10.7464
77.0,0.4464,0.1653,0.2531,3.5146
78.0,0.8013,0.2139,0.362,9.1764
79.0,0.2197,0.056,0.0998,2.2474
80.0,0.0981,0.0297,0.0721,3.6008
81.0,,0.037,0.1534,
82.0,0.1193,0.0227,0.0668,3.4126
83.0,0.184,0.0674,0.281,5.8074
84.0,0.2138,0.0237,0.3044,17.593
85.0,0.6868,0.2979,4.0302,63.519
86.0,1.0386,0.2652,1.0454,15.1524
87.0,1.2625,0.4278,3.8981,64.636
88.0,,0.1062,0.5386,14.8088
89.0,0.1914,0.0778,0.2849,8.3864
90.0,1.1849,0.3297,6.0005,17.9728
91.0,1.2758,0.423,6.6284,214.0387
92.0,1.1868,0.9874,,57.9838
93.0,1.0519,0.3411,1.7859,26.2472
94.0,0.6169,0.2072,0.7528,7.264
95.0,0.1796,0.0329,0.1524,5.5018
96.0,6.5932,2.0602,,158.2781
97.0,,0.082,,9.6395
98.0,0.1016,0.0321,0.0571,
99.0,0.239,0.05,0.1225,6.8563
100.0,1.7582,0.5044,2.3102,62.0914
101.0,,,,
102.0,0.3182,0.1049,0.6329,14.5943
103.0,0.1862,0.0182,0.0706,4.9376
104.0,0.2631,0.0716,0.1818,6.3291
105.0,,0.1588,0.1877,0.1062
106.0,0.3012,0.0973,0.2327,7.2799
107.0,0.6013,0.7283,,63.1078
108.0,,0.0912,0.0913,0.9681
109.0,0.1776,0.0437,0.272,0.4618
110.0,1.0082,0.3187,0.5475,12.6338
111.0,5.2329,0.6577,4.5653,2.1307
