YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,F12,F24,F70,F160,F250,F350,F500,F870,F1100
6.0,1.035301063,2389.632608,126081.2001,52.76175075,27.6,205.7,52.92,0.59,1.7198,0.2428,,,439.18,268.57,129.417,42.295,2.21,2.238
7.0,0.16,91.3,3011.6,32.98576123,26.1,5.1,50.33,0.92,9.0421,2.0536,,488.787,816.32,322.035,138.776,48.742,6.78,8.146
8.0,0.178953356,584.8008376,25225.25286,43.13477552,24.2,236.2,99.08,4.79,11.7224,,,794.7477,592.553,544.083,176.027,56.414,10.99,15.631
18.0,0.136835165,50.56216544,96.04683722,1.899579189,16.9,19.7,24.83,0.71,1.1187,0.256,2.5183,22.0228,19.334,18.703,8.353,3.049,,
19.0,0.2976,846.91008,13722.15744,16.20261438,21.3,108.1,53.23,2.84,1.8141,0.8052,,,352.424,350.0,140.088,45.902,7.32,5.745
24.0,0.217106326,1310.717143,63956.96724,48.79539996,32.4,172.0,50.91,7.31,4.6512,,,2995.5275,2475.227,2546.248,854.337,239.876,34.73,
29.0,1.104099379,1321.129656,354989.4053,268.7014129,34.5,702.2,57.17,0.29,8.7327,,,572.4974,766.939,540.516,145.78,,1.96,
38.0,0.145454545,242.4888889,2559.888338,10.55672427,21.6,69.0,45.28,3.09,0.8649,0.228,3.3069,98.5017,191.445,212.171,74.94,22.391,3.54,3.058
40.0,0.312337662,1106.006072,5131.729634,4.639874739,19.0,39.3,36.33,2.96,0.3113,0.0461,0.7082,37.1651,277.215,288.249,135.478,50.578,8.37,8.953
41.0,1.497110092,9812.675059,11119.81954,1.1332098,13.7,19.6,34.63,1.17,0.264,0.0399,0.3106,7.6995,44.869,105.688,68.948,26.398,3.02,5.137
42.0,1.38630137,17727.79286,1127596.621,63.60614823,21.2,422.7,117.05,2.45,21.7263,,,904.8726,697.289,828.156,350.204,104.041,13.49,21.62
43.0,0.322974359,97.7130309,221.7074977,2.268965517,14.0,36.5,41.59,0.25,0.128,0.0097,,5.8366,13.684,17.989,12.031,3.601,0.613,0.734
44.0,0.078,3.211,311.974,97.15789474,25.7,431.4,57.76,0.15,0.8591,0.6995,6.7915,57.3675,37.323,22.061,6.161,1.79,0.39,
46.0,1.000008258,1736.738365,17644.96311,10.15982802,20.3,70.5,47.93,0.47,5.8707,2.3328,11.3642,128.678,90.47,95.595,39.006,15.9,1.28,1.68
47.0,1.622845618,14916.13223,39628.66805,2.656765671,13.7,46.8,47.3,1.51,1.5185,0.6201,2.7666,72.1058,65.87,113.156,57.62,22.392,5.204,3.045
48.0,0.2968,313.82148,1772.81608,5.649122807,16.1,65.9,46.31,0.84,0.549,0.1119,0.7975,31.35,50.247,52.315,22.295,,,1.018
49.0,0.2345,371.73409,5448.43397,14.65680473,21.9,90.5,43.56,1.97,0.3844,0.0974,1.7419,74.8953,134.58,119.016,40.006,12.304,1.85,13.015
50.0,0.2238,91.82514,3390.57373,36.92424242,23.4,195.1,48.89,0.45,1.5701,0.4685,2.9363,102.8227,89.169,50.671,16.782,,,
53.0,0.3047,455.77026,78.26358,0.171717172,10.2,7.0,29.1,1.4,0.4266,0.15,0.4946,7.2038,4.487,37.272,16.567,7.181,1.26,
54.0,0.470032573,2770.275334,90606.10203,32.70653314,25.9,152.7,47.79,3.32,0.9791,0.3167,5.2158,251.7603,277.097,252.652,71.719,23.76,3.16,1.488
55.0,0.22,36.3,738.1,20.33333333,19.6,150.9,56.14,0.19,2.1078,0.4923,2.992,38.1898,33.912,19.754,9.558,,,
56.0,0.160916031,60.50139269,1738.603053,28.73657904,22.6,161.9,56.45,0.63,0.5867,0.2396,2.3465,31.0379,49.609,36.006,9.796,2.614,0.56,1.006
57.0,0.592227603,79.35099637,1619.396189,20.40801329,18.8,164.0,77.11,0.06,0.4247,0.4994,,23.1318,28.48,36.905,12.089,2.771,,0.286
