YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,e_F8,F12,e_F12,F24,e_F24,F70,e_F70,F160,e_F160,F250,e_F250,F350,e_F350,F500,e_F500,F870,e_F870,F1100,e_F1100,DIST,N8,N12,N24,N70,f_MULTI,f_CEXT
6,1.035301063,2389.632608,126081.2001,52.76175075,27.6,205.7,52.92,0.59,1.7198,0.2403,0.2428,0.5195,,,,,439.18,0.057632408,268.57,0.0819898,129.417,0.05461415,42.295,,2.21,,2.238,0.067024134,11.1,5,5,0,5,0,0
7,0.16,91.3,3011.6,32.98576123,26.1,5.1,50.33,0.92,9.0421,0.4005,2.0536,0.5697,,,488.787,0.37,816.32,0.043350647,322.035,0.063555201,138.776,0.066438004,48.742,0.06388741,6.78,,8.146,0.0629757,1.5,5,5,0,5,0,0
8,0.178953356,584.8008376,25225.25286,43.13477552,24.2,236.2,99.08,4.79,11.7224,0.227,,,,,794.7477,0.1517,592.553,0.022365932,544.083,0.060588183,176.027,0.063081235,56.414,0.04789591,10.99,,15.631,0.06180027,2.86,5,0,0,5,0,0
18,0.136835165,50.56216544,96.04683722,1.899579189,16.9,19.7,24.83,0.71,1.1187,0.2755,0.256,0.1574,2.5183,0.0442,22.0228,0.0971,19.334,0.2618702907923324,18.703,0.1023365253880273,8.353,0.14749192,3.049,0.09675303,,,,,2.83,5,5,5,5,0,0
19,0.2976,846.91008,13722.15744,16.20261438,21.3,108.1,53.23,2.84,1.8141,0.1454,0.8052,0.4711,,,,,352.424,0.04936951,350,0.05,140.088,0.023042658,45.902,0.03596793,7.32,,5.745,0.064229764,3.72,5,5,0,5,1,0
24,0.217106326,1310.717143,63956.96724,48.79539996,32.4,172,50.91,7.31,4.6512,0.0791,,,,,2995.5275,0.1064,2475.227,0.026536959,2546.248,0.037583142,854.337,0.02367684,239.876,0.025133818,34.73,,,,2.83,5,0,0,5,1,0
29,1.104099379,1321.129656,354989.4053,268.7014129,34.5,702.2,57.17,0.29,8.7327,0.1912,,,,,572.4974,0.2983,766.939,0.052783857,540.516,0.075254014,145.78,0.38645905,,,1.96,,,,11.11,5,0,0,5,1,0
38,0.145454545,242.4888889,2559.888338,10.55672427,21.6,69,45.28,3.09,0.8649,0.1462,0.228,0.1741,3.3069,0.1341,98.5017,0.0685,191.445,0.019425945,212.171,0.026030889,74.94,0.019415533,22.391,0.024340136,3.54,,3.058,0.07390451,2.8,5,5,5,5,1,0
40,0.312337662,1106.006072,5131.729634,4.639874739,19,39.3,36.33,2.96,0.3113,0.1923,0.0461,0.2744,0.7082,0.3267,37.1651,0.1065,277.215,0.055671589,288.249,0.04299061,135.478,0.02801931,50.578,0.030882994,8.37,,8.953,0.063330725,3.7,5,5,5,5,0,0
41,1.497110092,9812.675059,11119.81954,1.1332098,13.7,19.6,34.63,1.17,0.264,0.4077,0.0399,0.3843,0.3106,0.2025,7.6995,0.2445,44.869,0.069223739,105.688,0.072837029,68.948,0.07325811,26.398,0.12747177,3.02,,5.137,0.062487833,12.65,5,5,5,5,0,0
