YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,F12,F24,F70
6.0,1.035301063,2389.632608,126081.2001,52.76175075,27.6,205.7,52.92,0.59,1.7198,0.2428,,
7.0,0.16,91.3,3011.6,32.98576123,26.1,5.1,50.33,0.92,9.0421,2.0536,,488.787
8.0,0.178953356,584.8008376,25225.25286,43.13477552,24.2,236.2,99.08,4.79,11.7224,,,794.7477
18.0,0.136835165,50.56216544,96.04683722,1.899579189,16.9,19.7,24.83,0.71,1.1187,0.256,2.5183,22.0228
19.0,0.2976,846.91008,13722.15744,16.20261438,21.3,108.1,53.23,2.84,1.8141,0.8052,,
24.0,0.217106326,1310.717143,63956.96724,48.79539996,32.4,172.0,50.91,7.31,4.6512,,,2995.5275
29.0,1.104099379,1321.129656,354989.4053,268.7014129,34.5,702.2,57.17,0.29,8.7327,,,572.4974
38.0,0.145454545,242.4888889,2559.888338,10.55672427,21.6,69.0,45.28,3.09,0.8649,0.228,3.3069,98.5017
40.0,0.312337662,1106.006072,5131.729634,4.639874739,19.0,39.3,36.33,2.96,0.3113,0.0461,0.7082,37.1651
41.0,1.497110092,9812.675059,11119.81954,1.1332098,13.7,19.6,34.63,1.17,0.264,0.0399,0.3106,7.6995
42.0,1.38630137,17727.79286,1127596.621,63.60614823,21.2,422.7,117.05,2.45,21.7263,,,904.8726
43.0,0.322974359,97.7130309,221.7074977,2.268965517,14.0,36.5,41.59,0.25,0.128,0.0097,,5.8366
44.0,0.078,3.211,311.974,97.15789474,25.7,431.4,57.76,0.15,0.8591,0.6995,6.7915,57.3675
46.0,1.000008258,1736.738365,17644.96311,10.15982802,20.3,70.5,47.93,0.47,5.8707,2.3328,11.3642,128.678
47.0,1.622845618,14916.13223,39628.66805,2.656765671,13.7,46.8,47.3,1.51,1.5185,0.6201,2.7666,72.1058
48.0,0.2968,313.82148,1772.81608,5.649122807,16.1,65.9,46.31,0.84,0.549,0.1119,0.7975,31.35
49.0,0.2345,371.73409,5448.43397,14.65680473,21.9,90.5,43.56,1.97,0.3844,0.0974,1.7419,74.8953
50.0,0.2238,91.82514,3390.57373,36.92424242,23.4,195.1,48.89,0.45,1.5701,0.4685,2.9363,102.8227
53.0,0.3047,455.77026,78.26358,0.171717172,10.2,7.0,29.1,1.4,0.4266,0.15,0.4946,7.2038
54.0,0.470032573,2770.275334,90606.10203,32.70653314,25.9,152.7,47.79,3.32,0.9791,0.3167,5.2158,251.7603
55.0,0.22,36.3,738.1,20.33333333,19.6,150.9,56.14,0.19,2.1078,0.4923,2.992,38.1898
56.0,0.160916031,60.50139269,1738.603053,28.73657904,22.6,161.9,56.45,0.63,0.5867,0.2396,2.3465,31.0379
57.0,0.592227603,79.35099637,1619.396189,20.40801329,18.8,164.0,77.11,0.06,0.4247,0.4994,,23.1318
58.0,0.1974,100.20024,3472.81308,34.65873016,21.3,219.0,54.92,0.77,2.8229,0.9581,,93.6783
60.0,0.166273585,285.4930002,589.8743659,2.066160521,15.8,26.0,38.29,2.66,,0.0964,0.2133,6.1965
61.0,0.294431555,222.0974866,851.4878581,3.83384734,15.5,48.3,46.1,0.67,0.4358,0.0758,0.5743,23.0441
63.0,0.179197324,208.9285399,8802.761593,42.13288235,25.7,192.5,53.23,1.75,4.0789,0.9451,,324.4093
64.0,1.140434783,3166.093468,707.5449065,0.223475685,10.8,7.6,25.22,0.65,0.0929,0.0347,0.1952,3.4026
65.0,0.2679,210.53979,1052.599545,4.999527856,16.8,52.7,47.44,0.78,1.6155,0.265,2.8762,51.6563
67.0,0.1405,53.69348,453.23614,8.441176471,18.0,75.0,45.25,0.64,0.2906,0.0871,0.6253,17.7356
68.0,0.130634483,36.35174944,102.1993221,2.811400379,14.3,43.4,44.95,0.57,0.3107,0.0787,0.3711,10.6852
69.0,0.878774617,3302.025369,34740.1764,10.52086902,17.5,100.9,52.65,1.13,0.8459,0.2975,4.8355,49.5086
70.0,0.59347079,1648.098605,47934.81113,29.08491699,20.6,198.7,50.04,1.23,1.4868,0.3311,1.8316,
71.0,0.232669323,167.2771924,1748.560943,10.45307443,17.3,102.7,47.27,0.8,0.3492,0.0706,0.5441,27.7879
73.0,1.444011299,2968.574305,15293.29136,5.151729345,16.8,53.3,44.4,0.38,0.1852,0.0264,0.3144,10.3276
74.0,0.2628,118.51696,124.48544,1.050359712,12.6,22.7,46.6,0.45,0.8141,0.1798,0.6384,10.29
75.0,1.062385939,6172.78113,276693.2458,44.82472972,25.9,200.1,57.56,1.46,5.9886,,,581.4933
78.0,0.31459144,371.1373314,353.1759073,0.951604372,12.1,23.3,42.01,1.0,0.8013,0.2139,0.362,9.1764
80.0,0.639052914,104.0382782,1047.301823,10.06650476,18.4,84.7,43.49,0.07,0.0981,0.0297,0.0721,3.6008
82.0,0.2352,60.5052,100.26576,1.657142857,13.3,30.6,42.41,0.32,0.1193,0.0227,0.0668,3.4126
83.0,0.4464,42.89904,272.61648,6.35483871,16.2,72.0,47.17,0.05,0.184,0.0674,0.281,5.8074
84.0,0.245805369,209.8758828,1282.746702,6.111929986,17.5,58.8,44.79,0.91,0.2138,0.0237,0.3044,17.593
85.0,0.7542,1406.24361,42866.72937,30.48314607,21.9,181.7,54.04,0.66,0.6868,0.2979,4.0302,63.519
86.0,0.45466474,344.3431286,1373.948058,3.990055106,14.4,60.2,48.81,0.44,1.0386,0.2652,1.0454,15.1524
87.0,0.17396875,50.55365918,1938.728638,38.34991708,22.6,215.2,51.48,0.47,1.2625,0.4278,3.8981,64.636
88.0,0.163311475,205.1516549,292.6387304,1.426450742,13.9,24.4,39.8,2.16,,0.1062,0.5386,14.8088
91.0,0.137405318,138.1163409,5183.653488,37.53106587,27.6,151.5,48.81,1.95,1.2758,0.423,6.6284,214.0387
93.0,0.139437299,120.1697757,962.0675507,8.005902858,20.0,58.9,42.85,1.62,1.0519,0.3411,1.7859,26.2472
95.0,1.082348337,1250.141212,3417.012306,2.733301065,13.9,43.9,44.67,0.28,0.1796,0.0329,0.1524,5.5018
96.0,0.158376328,103.9397075,3872.4644,37.25683374,22.7,210.3,56.58,1.11,6.5932,2.0602,,158.2781
97.0,0.814539632,708.1716363,26241.48555,37.05526203,24.7,175.0,55.07,0.28,,0.082,,9.6395
99.0,0.221969697,114.5266478,57.15383379,0.499043977,13.3,21.3,20.07,0.59,0.239,0.05,0.1225,6.8563
100.0,1.045749343,1464.140539,27236.30994,18.6022511,21.3,116.9,45.88,0.36,1.7582,0.5044,2.3102,62.0914
101.0,1.097570671,2024.485008,9629.547568,4.756541801,18.0,42.6,36.47,0.45,,,,
102.0,0.2352,63.96264,548.8686,8.581081081,16.9,88.3,51.21,0.3,0.3182,0.1049,0.6329,14.5943
103.0,1.063492366,396.1017696,3916.771946,9.888297014,19.4,10921.3,40.46,0.09,0.1862,0.0182,0.0706,4.9376
104.0,0.4656,33.8724,904.39308,26.7,24.5,123.2,43.6,0.04,0.2631,0.0716,0.1818,6.3291
106.0,0.264034707,62.0553997,399.1687956,6.432458698,17.7,59.3,44.08,0.23,0.3012,0.0973,0.2327,7.2799
107.0,0.169727936,133.4648091,3167.923327,23.73601962,25.2,110.7,59.74,1.22,0.6013,0.7283,,63.1078
112.0,0.7973,424.52473,827.05336,1.948186528,14.8,27.0,34.36,0.19,0.3166,0.0529,0.1857,7.9348
113.0,0.420268028,36.89078957,176.114799,4.773950382,19.3,5269.2,24.68,0.06,0.142,0.0197,0.0756,3.7964
114.0,0.371451613,190.3810614,60.5871488,0.31824147,10.9,85.3,33.52,0.37,0.1295,0.0273,0.1093,3.5765
115.0,0.226153846,128.4979412,261.645479,2.036184211,13.7,42.1,45.97,0.71,0.3034,0.0804,0.397,7.7142
117.0,0.354827586,47.32054102,299.8395065,6.336349925,15.4,80.1,47.79,0.1,0.1012,0.0093,0.0147,2.0351
119.0,0.212333333,78.96622222,1017.490444,12.88513514,15.7,157.2,57.11,0.5,0.8535,0.3316,2.2659,25.9645
120.0,0.1764,36.30312,385.50456,10.61904762,19.1,83.4,55.63,0.3,0.2139,0.1824,1.3988,14.0103
121.0,0.287241379,14.41741974,224.1837396,15.54950495,23.3,81.0,37.21,0.05,0.2742,0.0705,0.1328,4.4648
122.0,0.591791045,988.595911,8418.71555,8.515830842,17.6,80.3,45.77,0.75,0.3505,0.0584,0.5759,15.6009
123.0,0.4,371.2,3059.2,8.24137931,17.1,82.9,48.61,0.58,0.4482,0.1093,0.8533,11.8988
125.0,0.603552311,578.9533119,18863.05652,32.5813086,22.4,186.3,54.9,0.42,0.5335,0.242,2.7376,35.1133
126.0,0.3234,75.19932,1180.71576,15.70114943,18.6,127.6,57.62,0.19,0.7438,0.3776,1.9594,
127.0,0.522450372,1071.934276,16638.05684,15.52152703,19.9,114.0,50.39,1.06,0.4626,0.1043,2.5297,25.1442
128.0,0.266704465,69.77237952,226.8698565,3.251571153,16.1,36.9,37.41,0.26,0.1875,0.0468,0.1103,3.6298
