iter	RMSE
0	0.8056204243
1	0.797010387
2	0.7969885559
3	0.7893497762
4	0.7818811247
5	0.7745313013
6	0.7682774324
7	0.7676322676
8	0.7602270911
9	0.7530109456
10	0.7461901857
11	0.7459340219
12	0.7382422448
13	0.7376129149
14	0.7301830389
15	0.729935407
16	0.7231186471
17	0.7160480185
18	0.7159023304
19	0.709955701
20	0.7098044309
21	0.709611661
22	0.7028194437
23	0.6965369331
24	0.6962062102
25	0.6960196421
26	0.695706413
27	0.6893824917
28	0.6832127748
29	0.6771534892
30	0.6712775976
31	0.6656085997
32	0.6651955503
33	0.6651498044
34	0.660011409
35	0.6549271831
36	0.6494879897
37	0.644189078
38	0.6436450559
39	0.643477666
40	0.6387064271
41	0.633909775
42	0.6287785119
43	0.6239136546
44	0.6178187138
45	0.6175154853
46	0.612940166
47	0.6086714494
48	0.6044576562
49	0.6000995647
50	0.5999817223
51	0.59993515
52	0.5996112011
53	0.5993229411
54	0.5954975174
55	0.595034626
56	0.5947041037
57	0.5945341939
58	0.5901742251
59	0.5901151685
60	0.5861383812
61	0.5825519516
62	0.5823905995
63	0.578821463
64	0.5787048178
65	0.5760763413
66	0.572314136
67	0.5722296159
68	0.5718129416
69	0.5682781495
70	0.5682059495
71	0.5643795512
72	0.5608174966
73	0.5605843364
74	0.5600928994
75	0.5598402473
76	0.5597070577
77	0.5561301437
78	0.5529394291
79	0.5496605531
80	0.5494044296
81	0.54935203
82	0.5491491883
83	0.5490467984
84	0.5487893973
85	0.5453696891
86	0.54251653
87	0.5424008066
88	0.5391697795
89	0.5390833474
90	0.5385805785
91	0.535614651
92	0.5353385302
93	0.5349086576
94	0.5314655068
95	0.5313180806
96	0.5285327225
97	0.5284259983
98	0.5257687417
99	0.523055854
100	0.5188448452
101	0.516118406
102	0.5132715724
103	0.5130482442
104	0.5102617626
105	0.5099685067
106	0.5098518441
107	0.5097959086
108	0.5096313758
109	0.5068284717
110	0.5043073136
111	0.5041306945
112	0.5039544131
113	0.5016213099
114	0.5014611435
115	0.4990743418
116	0.4989848405
117	0.4972372708
118	0.4950300389
119	0.4929797857
120	0.4908358965
121	0.4906003148
122	0.4879141919
123	0.4877119872
124	0.4876077252
125	0.487296059
126	0.4846286589
127	0.4842662688
128	0.4841382888
129	0.4839671826
130	0.4836129323
131	0.4832828706
132	0.4808168111
133	0.4783985352
134	0.4783158132
135	0.4762672996
136	0.4762007692
137	0.4760615509
138	0.4758006135
139	0.4756750774
140	0.4754124848
141	0.4735166112
142	0.4734438541
143	0.4732120983
144	0.4730550674
145	0.4706013176
146	0.47055498
147	0.4705090917
148	0.470426215
149	0.4687064737
150	0.468254494
151	0.4681846834
152	0.466025154
153	0.4659073302
154	0.4658644916
155	0.4656505774
156	0.4655843508
157	0.4655689105
158	0.4655422121
159	0.4651770515
160	0.4651442501
161	0.4649334273
162	0.4648013393
163	0.4624175014
164	0.4603725647
165	0.4602636171
166	0.4583643907
167	0.4564295327
168	0.4563528076
169	0.4560945961
170	0.4543215369
171	0.4543046536
172	0.4540969896
173	0.4525690961
174	0.4524732751
175	0.4522353607
176	0.4502805009
177	0.4499936444
178	0.4498152161
179	0.4484421818
180	0.4484123854
181	0.4481667372
182	0.4461074456
183	0.4444235247
184	0.4442654301
185	0.4441134786
186	0.4439125081
187	0.442251053
188	0.441963123
189	0.4401421978
190	0.4397733194
191	0.4394753441
192	0.4381200213
193	0.4380180258
194	0.4365276597
195	0.4364876871
196	0.4364874647
197	0.4362610444
198	0.4360786215
199	0.4338436366
200	0.4335114124
201	0.4319014145
202	0.4318689223
203	0.4301189614
204	0.4298934524
205	0.4286755429
206	0.4274905408
207	0.426151199
208	0.4239817721
209	0.4238604792
210	0.4236504972
211	0.422275371
212	0.4220914707
213	0.4218124996
214	0.4216799113
215	0.4203652045
216	0.4203483207
217	0.4201070958
218	0.4199933389
219	0.4199106973
220	0.4198261733
221	0.419730121
222	0.4182297596
223	0.4171393418
224	0.4169119511
225	0.4168806551
226	0.4165340653
227	0.4151954634
228	0.4150203535
229	0.4130004866
230	0.4129361679
231	0.4119605913
232	0.4107890292
233	0.4097236104
234	0.409665636
235	0.4095456438
236	0.408492626
237	0.4084144338
238	0.4072735455
239	0.4064916187
240	0.4062878644
241	0.4062351117
242	0.4060914883
243	0.4060098232
244	0.4050849657
245	0.405046005
246	0.403336359
247	0.4032344785
248	0.4020445805
249	0.4017954833
250	0.4015312166
251	0.3996703776
252	0.3996215449
253	0.3993774595
254	0.3993393198
255	0.3976163075
256	0.3975562976
257	0.3973607015
258	0.3963478677
259	0.3962943952
260	0.3961545106
261	0.3950194367
262	0.3947756595
263	0.3947583387
264	0.3935608336
265	0.3934610205
266	0.3934328535
267	0.3932408236
268	0.3931524335
269	0.3931159383
270	0.3930391147
271	0.392750426
272	0.3913905345
273	0.3900926209
274	0.3900102152
275	0.3891074623
276	0.3874487559
277	0.3873744203
278	0.3873123776
279	0.3871865536
280	0.3870281877
281	0.3853513731
282	0.3853349455
283	0.3836722676
284	0.383611344
285	0.382737985
286	0.382072405
287	0.3812427394
288	0.381094086
289	0.380988429
290	0.3807831408
291	0.3799460051
292	0.3798804301
293	0.3789006343
294	0.3788254048
295	0.3786996409
296	0.3786579756
297	0.3785785088
298	0.3775812768
299	0.3775172739
300	0.3760108842
301	0.3745295241
302	0.3744935685
303	0.3743358949
304	0.373519424
305	0.373400074
306	0.3732550935
307	0.3730776026
308	0.37297823
309	0.3728317875
310	0.3726887661
311	0.3712609312
312	0.3711263711
313	0.3709036714
314	0.369942639
315	0.369791746
316	0.3697706212
317	0.3695335326
318	0.3694663881
319	0.3693724298
320	0.3682016609
321	0.368146101
322	0.3677997738
323	0.3665375789
324	0.3657720767
325	0.3657034018
326	0.3656406354
327	0.3646748287
328	0.3646186634
329	0.3645503428
330	0.364509271
331	0.3635553009
332	0.3626836456
333	0.3620736348
334	0.3609897759
335	0.3609569531
336	0.3600555049
337	0.3594877794
338	0.3584344987
339	0.3582717313
340	0.3573956235
341	0.3573939326
342	0.3567759547
343	0.3565919581
344	0.3563986824
345	0.3563656831
346	0.3557349278
347	0.3555712029
348	0.3549627213
349	0.3538245149
350	0.3537375998
351	0.3529540769
352	0.3517005702
353	0.3514781978
354	0.351428407
355	0.3513196676
356	0.3505318619
357	0.3504203434
358	0.3503098036
359	0.3497695319
360	0.3486383676
361	0.3484531096
362	0.348273076
363	0.3474956339
364	0.3470983175
365	0.3470625959
366	0.3464201953
367	0.3463187339
368	0.3460815309
369	0.344757358
370	0.3446434442
371	0.3441293414
372	0.3440462483
373	0.3436056958
374	0.342987058
375	0.3429157731
376	0.3428619431
377	0.3421478431
378	0.3415263877
379	0.3410523778
380	0.3404144946
381	0.339863199
382	0.3396476916
383	0.3389246619
384	0.3384444861
385	0.3384222662
386	0.3383992481
387	0.3381679178
388	0.3373236191
389	0.3368203372
390	0.3367022267
391	0.3365205025
392	0.3363264181
393	0.3358690481
394	0.3352217821
395	0.3347974659
396	0.3335997766
397	0.3325901647
398	0.3320321976
399	0.3314680949
400	0.3302867983
401	0.3298807174
402	0.3296993042
403	0.3294937886
404	0.3286963268
405	0.3286391629
406	0.3278769339
407	0.3271550043
408	0.3263935309
409	0.3260116799
410	0.3255689773
411	0.3249551707
412	0.3248247866
413	0.324776143
414	0.3241472322
415	0.3237639642
416	0.3231138916
417	0.3227101578
418	0.3223585414
419	0.3222142059
420	0.3220901395
421	0.3216084673
422	0.3214497438
423	0.3208867326
424	0.320536395
425	0.3204002737
426	0.3200269632
427	0.3194341058
428	0.3192378226
429	0.3191027947
430	0.3187214229
431	0.3185797693
432	0.3179466678
433	0.3178065315
434	0.3174146326
435	0.3167471742
436	0.3164180561
437	0.3158347914
438	0.3156412309
439	0.3152387434
440	0.3149991666
441	0.3146431471
442	0.314502308
443	0.3143470062
444	0.3141977225
445	0.3136048152
446	0.3131481112
447	0.3126055605
448	0.3121919585
449	0.3118480947
450	0.3116614759
451	0.311150208
452	0.3106270897
453	0.3104223523
454	0.3097005267
455	0.309217907
