iter	RMSE
0	0.8056725857
1	0.8053961042
2	0.8051468747
3	0.8049413379
4	0.8047252538
5	0.8044627758
6	0.8042078401
7	0.8039238058
8	0.8036664686
9	0.8034476788
10	0.8032026101
11	0.8030398812
12	0.8028036507
13	0.8026230459
14	0.802464136
15	0.8022325532
16	0.8019619364
17	0.8017065206
18	0.801495936
19	0.8012939822
20	0.801000781
21	0.8007976245
22	0.8005402954
23	0.8003845709
24	0.8001738291
25	0.799984037
26	0.7997227167
27	0.7995606985
28	0.7992934273
29	0.7991137603
30	0.7989590341
31	0.7987413459
32	0.7985507672
33	0.798371206
34	0.7981760553
35	0.7979614618
36	0.7977591228
37	0.7975761585
38	0.7973814212
39	0.7971872976
40	0.7970461988
41	0.7968823418
42	0.7966543447
43	0.7963788666
44	0.7961919834
45	0.7959922393
46	0.795820941
47	0.7956281742
48	0.7953895717
49	0.7952467458
50	0.7950897153
51	0.7949303338
52	0.7947487081
53	0.7945684755
54	0.7944235085
55	0.7943133355
56	0.794052683
57	0.7938746411
58	0.7936750338
59	0.7935118661
60	0.793294453
61	0.7931775266
62	0.7930182
63	0.7929177359
64	0.7926879333
65	0.7924485954
66	0.7922804265
67	0.7921567729
68	0.7920010987
69	0.7918380832
70	0.7916765333
71	0.7914788218
72	0.791369327
73	0.7912319517
74	0.7910127035
75	0.790874841
76	0.7907844917
77	0.7906310827
78	0.7905288083
79	0.7903448804
80	0.7901536586
81	0.7900062116
82	0.7898795736
83	0.7897853883
84	0.7895740948
85	0.7894406401
86	0.7892947725
87	0.7891273419
88	0.7889599795
89	0.7888469214
90	0.7886976346
91	0.7884774077
92	0.7883288146
93	0.7882139446
94	0.7881094945
95	0.7879638576
96	0.7878428769
97	0.7876812897
98	0.7875430615
99	0.7874049611
100	0.7872523716
101	0.787107054
102	0.7870007156
103	0.786881205
104	0.7867098421
105	0.7865675217
106	0.7864043044
107	0.7862551415
108	0.7860754836
109	0.7859111727
110	0.7857663237
111	0.7856375143
112	0.7855210954
113	0.7854018824
114	0.7852463167
115	0.7850992186
116	0.7849373999
117	0.7848227139
118	0.7846964421
119	0.7845664363
120	0.7844893935
121	0.7843848573
122	0.7842803453
123	0.784129639
124	0.7839972369
125	0.783866213
126	0.7837030876
127	0.7836022706
128	0.7834922956
129	0.7833335681
130	0.7831845809
131	0.7830414129
132	0.7829271429
133	0.7827961766
134	0.78262313
135	0.7824860162
136	0.7823216952
137	0.7821879147
138	0.7820645348
139	0.7818577904
140	0.7817182271
141	0.7816403342
142	0.7814482097
143	0.7813338031
144	0.7812320636
145	0.7810952792
146	0.7809477996
147	0.7808541093
148	0.7807017254
149	0.7805322885
150	0.7803541569
151	0.7802007302
152	0.78010552
153	0.7800244777
154	0.7798948786
155	0.7797343751
156	0.7795549286
157	0.7794243485
158	0.7793117222
159	0.7791743296
160	0.7790483992
161	0.7788694582
162	0.7787810874
163	0.7787177042
164	0.7786095242
165	0.7784875817
166	0.778347325
167	0.7781743301
168	0.7780359751
169	0.7778458518
170	0.7776920229
171	0.7776281803
172	0.7774580556
173	0.7772858987
174	0.7771607017
175	0.7770367458
176	0.7768922837
177	0.7767809674
178	0.776652693
179	0.7765575634
180	0.7764553686
181	0.776358024
182	0.7761981218
183	0.7760580992
184	0.7758877985
185	0.7758122054
186	0.7756383945
187	0.7755085094
188	0.775386595
189	0.7752319403
190	0.7751219688
191	0.7749705908
192	0.7748327413
193	0.7746683702
194	0.7745655671
195	0.7744328108
196	0.7744100504
197	0.7742749761
198	0.7741566494
199	0.774048449
200	0.7739358216
201	0.7738516355
202	0.7737146589
203	0.7735969044
204	0.7734897794
205	0.773352295
206	0.7732238066
207	0.7730887383
208	0.7729814616
209	0.7728586189
210	0.7727197888
211	0.7725608021
212	0.7724400259
213	0.7722911647
214	0.7721793389
215	0.772149897
216	0.772072037
217	0.7720468587
218	0.7719321798
219	0.7718331019
220	0.7717482053
221	0.7716518394
222	0.7715336144
223	0.7714638539
224	0.7713573649
225	0.7712295773
226	0.7711378421
227	0.771061558
228	0.7709427676
229	0.7708557336
230	0.770711198
231	0.7705891472
232	0.7705180301
233	0.7704157198
234	0.7703234004
235	0.7702045991
236	0.7701223876
237	0.7699825911
238	0.7698804004
239	0.7697719375
240	0.7696690139
241	0.7695144912
242	0.7693893298
243	0.7692735315
244	0.7691556409
245	0.7690383416
246	0.7689033507
247	0.7688112816
248	0.768704609
249	0.7685623877
250	0.7684377181
251	0.7683310402
252	0.7682600804
253	0.7681347559
254	0.7680230783
255	0.7678839103
256	0.7677528579
257	0.7676823695
258	0.7676040556
259	0.767497054
260	0.7673699361
261	0.7672462781
262	0.7671818224
263	0.7670946308
264	0.7670298928
265	0.7669306778
266	0.7667918624
267	0.7666739916
268	0.7665291628
269	0.7663645157
270	0.7662352739
271	0.7661613227
272	0.7660448626
273	0.7659148453
274	0.7658388588
275	0.7657353507
276	0.7656642876
277	0.7655400017
278	0.7653957603
279	0.7653158438
280	0.7652037931
281	0.7651359664
282	0.7649938669
283	0.7648773813
284	0.7648108361
285	0.7647265668
286	0.7646566592
287	0.764553788
288	0.76443291
289	0.7643445277
290	0.764181862
291	0.7640841702
292	0.7639743836
