iter	Passed	Remaining
0	5	13656
1	10	12890
2	14	12309
3	18	11609
4	20	10702
5	24	10510
6	28	10546
7	33	10547
8	36	10266
9	38	9801
10	41	9514
11	44	9416
12	46	9151
13	49	9074
14	52	8866
15	54	8660
16	56	8464
17	58	8336
18	61	8203
19	64	8161
20	66	8080
21	70	8136
22	73	8083
23	75	7970
24	77	7902
25	79	7795
26	83	7799
27	85	7754
28	87	7676
29	90	7606
30	91	7510
31	95	7524
32	97	7471
33	99	7414
34	101	7362
35	104	7314
36	106	7291
37	108	7238
38	111	7192
39	113	7157
40	116	7145
41	118	7141
42	121	7115
43	123	7085
44	126	7055
45	128	7025
46	130	6987
47	132	6952
48	134	6922
49	137	6900
50	139	6875
51	141	6848
52	143	6815
53	146	6808
54	148	6787
55	151	6762
56	153	6739
57	155	6714
58	157	6694
59	160	6677
60	162	6655
61	164	6635
62	167	6631
63	169	6607
64	171	6584
65	173	6567
66	175	6546
67	178	6537
68	183	6629
69	186	6653
70	189	6640
71	191	6628
72	193	6607
73	196	6593
74	198	6581
75	200	6560
76	203	6558
77	205	6544
78	207	6528
79	210	6521
80	212	6506
81	214	6491
82	216	6481
83	219	6472
84	221	6458
85	223	6447
86	226	6432
87	228	6430
88	230	6417
89	233	6406
90	235	6391
91	237	6391
92	240	6382
93	242	6373
94	244	6360
95	247	6347
96	249	6339
97	251	6333
98	254	6327
99	256	6314
100	258	6307
101	260	6297
102	263	6289
103	265	6281
104	267	6273
105	270	6262
106	272	6257
107	274	6242
108	276	6234
109	279	6226
110	282	6229
111	283	6214
112	286	6204
113	288	6191
114	290	6182
115	292	6171
116	294	6167
117	297	6158
118	299	6149
119	301	6142
120	303	6133
121	306	6126
122	308	6116
123	310	6110
124	312	6097
125	314	6088
126	317	6085
127	319	6078
128	321	6070
129	324	6065
130	326	6055
131	328	6048
132	330	6041
133	332	6032
134	335	6025
135	337	6019
136	339	6016
137	342	6020
138	344	6015
139	347	6006
140	349	6003
141	351	5991
142	353	5986
143	355	5979
144	358	5970
145	360	5965
146	362	5959
147	364	5948
148	366	5939
149	368	5935
150	371	5932
151	374	5935
152	376	5930
153	378	5925
154	380	5918
155	383	5910
156	385	5906
157	387	5900
158	389	5893
159	392	5891
160	394	5885
161	396	5880
162	399	5877
163	401	5874
164	403	5869
165	406	5864
166	408	5857
167	410	5852
168	412	5847
169	414	5840
170	417	5837
171	419	5828
172	421	5821
173	423	5815
174	425	5809
175	427	5803
176	429	5796
177	432	5791
178	434	5787
179	436	5781
180	438	5772
181	440	5768
182	443	5764
183	445	5759
184	447	5754
185	449	5749
186	452	5746
187	454	5742
188	456	5738
189	459	5735
190	461	5730
191	463	5724
192	465	5718
193	468	5720
194	470	5715
195	472	5710
196	475	5705
197	477	5699
198	479	5691
199	481	5688
200	484	5694
201	486	5687
202	488	5684
203	491	5678
204	493	5675
205	495	5670
206	497	5665
207	499	5660
208	501	5653
209	504	5648
210	505	5639
211	508	5641
212	511	5639
213	513	5634
214	515	5628
215	517	5624
216	519	5619
217	521	5614
218	524	5609
219	526	5606
220	528	5603
221	530	5597
222	533	5594
223	535	5589
224	538	5593
225	540	5589
226	542	5585
227	544	5580
228	547	5576
229	549	5573
230	551	5570
231	556	5588
232	559	5596
233	561	5591
234	564	5593
235	567	5591
236	569	5590
237	571	5586
238	574	5584
239	576	5581
240	578	5576
241	580	5571
242	583	5568
243	585	5567
244	588	5570
245	591	5567
246	593	5562
247	595	5558
248	597	5555
249	600	5552
250	602	5548
251	604	5543
252	607	5545
253	610	5546
254	612	5542
255	614	5537
256	616	5533
257	619	5530
258	621	5524
259	623	5524
260	626	5521
261	628	5517
262	630	5512
263	632	5507
264	634	5504
265	637	5501
266	639	5496
267	641	5492
268	643	5488
269	645	5485
270	648	5482
271	650	5478
272	652	5474
273	654	5470
274	656	5465
275	658	5457
276	660	5454
277	663	5450
278	665	5447
279	667	5443
