iter	RMSE
0	2.204978247
1	2.18702845
2	2.169574584
3	2.152681273
4	2.136010266
5	2.119834724
6	2.104064924
7	2.089205543
8	2.074152135
9	2.059715679
10	2.045504851
11	2.031533241
12	2.018060795
13	2.004660792
14	1.992027606
15	1.979442051
16	1.967174695
17	1.955072801
18	1.943467868
19	1.932077264
20	1.920893064
21	1.910327225
22	1.899985176
23	1.889810789
24	1.879805447
25	1.870209366
26	1.860504642
27	1.851385679
28	1.842449003
29	1.833624165
30	1.825438803
31	1.817279643
32	1.809206114
33	1.801046116
34	1.7934736
35	1.786158322
36	1.779204927
37	1.772521891
38	1.765649056
39	1.758933242
40	1.752353399
41	1.745982165
42	1.739644328
43	1.73338807
44	1.727107578
45	1.721171306
46	1.715534684
47	1.710041659
48	1.704744825
49	1.699296864
50	1.69456939
51	1.689443112
52	1.68442423
53	1.679934252
54	1.675334845
55	1.670928655
56	1.666708212
57	1.662364126
58	1.658300467
59	1.654341441
60	1.650358059
61	1.646398927
62	1.642504478
63	1.638745042
64	1.63513823
65	1.631559022
66	1.628000804
67	1.624833297
68	1.62135208
69	1.617891716
70	1.61469749
71	1.61178082
72	1.608950493
73	1.605880846
74	1.603011818
75	1.59989979
76	1.597124344
77	1.59457521
78	1.591825973
79	1.589399079
80	1.586898638
81	1.584436346
82	1.58226508
83	1.579995278
84	1.577516609
85	1.575443443
86	1.573061051
87	1.57083605
88	1.568816698
89	1.5667617
90	1.564594513
91	1.562381884
92	1.560281588
93	1.558248581
94	1.55630749
95	1.55436304
96	1.552654205
97	1.550772097
98	1.548959765
99	1.547140646
100	1.545304189
101	1.543655978
102	1.542019792
103	1.540375523
104	1.538729392
105	1.537051098
106	1.535593422
107	1.534029989
108	1.532550978
109	1.531171339
110	1.529699805
111	1.528195174
112	1.526815001
113	1.525462517
114	1.524141541
115	1.52258297
116	1.521224147
117	1.519847555
118	1.51857209
119	1.5172909
120	1.51613533
121	1.515002691
122	1.513751084
123	1.51266005
124	1.511519683
125	1.510256587
126	1.509263438
127	1.50804675
128	1.506855739
129	1.505718218
130	1.504717109
131	1.503673567
132	1.502631207
133	1.501672351
134	1.500579253
135	1.499581655
136	1.498557136
137	1.497532245
138	1.496548933
139	1.49560054
140	1.494662616
141	1.493730794
142	1.492987449
143	1.491981268
144	1.491059894
145	1.490091831
146	1.4893671
147	1.48855197
148	1.487803554
149	1.487035268
150	1.486250516
151	1.485399392
152	1.484491028
153	1.483658483
154	1.482938158
155	1.482084611
156	1.481270047
157	1.480420022
158	1.479720353
159	1.478967964
160	1.478221216
161	1.477484759
162	1.476857279
163	1.476091075
164	1.475239231
165	1.474466745
166	1.473641634
167	1.472970924
168	1.472336977
169	1.471669177
170	1.470808673
171	1.469983063
172	1.469450392
173	1.468854387
174	1.468181731
175	1.467512172
176	1.466815363
177	1.466045144
178	1.465559139
179	1.464808705
180	1.464024598
181	1.463610247
182	1.462900951
183	1.462412471
184	1.461720004
185	1.461255747
186	1.460586785
187	1.460149847
188	1.459630585
189	1.459278597
190	1.458535196
191	1.458001392
192	1.457503527
193	1.456949579
194	1.456497868
195	1.455904422
196	1.455429332
197	1.455014643
198	1.454465883
199	1.453847284
200	1.453453699
201	1.452914192
202	1.452496239
203	1.452017177
204	1.451439316
205	1.450750927
206	1.450143825
207	1.449729199
208	1.449246151
209	1.448878933
210	1.448419802
211	1.447949308
212	1.447342442
213	1.446751974
214	1.446375684
215	1.445895777
216	1.445300903
217	1.444809619
218	1.444372788
219	1.443977877
220	1.443595133
221	1.44307935
222	1.442520424
223	1.442166125
224	1.441551793
225	1.441194417
226	1.44078949
227	1.440564041
228	1.440198891
229	1.439770793
230	1.439294099
231	1.438997276
232	1.438457049
233	1.438042814
234	1.437471758
235	1.437206448
236	1.436836817
237	1.436305104
238	1.435823525
239	1.435558429
240	1.435174706
241	1.434874613
242	1.434377511
243	1.433878554
244	1.433459573
245	1.432928652
246	1.432360928
247	1.432066559
248	1.431747574
249	1.431162417
250	1.430858237
251	1.430458832
252	1.429893725
253	1.429595862
254	1.429406118
255	1.429021235
256	1.428580202
257	1.428180339
258	1.42762288
259	1.427288814
260	1.426880395
261	1.426540353
262	1.425921751
263	1.425422919
264	1.425124361
265	1.424778666
266	1.42421912
267	1.423869783
268	1.423608525
269	1.423032364
270	1.42258552
271	1.422398377
272	1.421773109
273	1.421234646
274	1.420811836
275	1.420350594
276	1.419918217
277	1.419544633
278	1.419076902
279	1.418584202
280	1.418218683
281	1.417780934
282	1.417326206
283	1.416736771
284	1.416339382
285	1.416089769
286	1.41568185
287	1.415260809
288	1.414710953
289	1.414433098
290	1.414003398
291	1.413656159
292	1.413349343
293	1.412943409
294	1.412681466
295	1.412135929
296	1.411506622
297	1.411051928
298	1.410519799
299	1.410083358
300	1.409623955
301	1.409180153
302	1.408903663
303	1.408516067
304	1.408181547
305	1.407779358
306	1.407349659
307	1.406954293
308	1.406659086
309	1.40631645
310	1.406111428
311	1.405859768
312	1.405420812
313	1.405108404
314	1.404781452
315	1.404409269
316	1.404188438
317	1.403908211
318	1.403631647
319	1.403390361
320	1.403247542
321	1.402745756
322	1.402284106
323	1.401901599
