iter	Passed	Remaining
0	7	3968
1	12	3301
2	17	3095
3	23	2962
4	28	2890
5	32	2820
6	37	2776
7	43	2751
8	48	2720
9	52	2690
10	57	2678
11	63	2663
12	68	2650
13	73	2637
14	78	2626
15	83	2620
16	88	2608
17	93	2603
18	98	2597
19	103	2592
20	108	2583
21	114	2579
22	119	2573
23	124	2569
24	129	2564
25	134	2558
26	140	2553
27	145	2547
28	150	2546
29	155	2539
30	160	2533
31	166	2530
32	171	2525
33	176	2519
34	182	2517
35	187	2512
36	192	2507
37	197	2502
38	202	2497
39	208	2497
40	213	2490
41	218	2483
42	223	2475
43	228	2469
44	233	2464
45	239	2459
46	244	2452
47	249	2445
48	254	2440
49	259	2434
50	264	2428
51	269	2421
52	274	2415
53	279	2409
54	284	2404
55	290	2398
56	295	2393
57	300	2387
58	305	2383
59	310	2378
60	316	2374
61	321	2369
62	326	2363
63	331	2357
64	336	2352
65	341	2346
66	347	2341
67	352	2336
68	357	2331
69	362	2325
70	367	2320
71	372	2315
72	378	2310
73	383	2304
74	388	2299
75	393	2295
76	398	2289
77	403	2284
78	409	2278
79	414	2271
80	419	2266
81	424	2261
82	429	2256
83	434	2251
84	440	2246
85	445	2242
86	450	2236
87	455	2231
88	460	2226
89	466	2221
90	471	2216
91	476	2211
92	482	2208
93	487	2202
94	492	2196
95	497	2192
96	502	2186
97	507	2181
98	512	2175
99	517	2170
100	523	2166
101	528	2162
102	534	2156
103	539	2151
104	544	2146
105	549	2140
106	554	2135
107	559	2129
108	564	2124
109	570	2120
110	575	2116
111	580	2110
112	586	2105
113	591	2100
114	596	2094
115	601	2088
116	606	2083
117	611	2077
118	616	2072
119	621	2066
120	626	2061
121	632	2056
122	637	2051
123	642	2045
124	647	2040
125	652	2036
126	657	2030
127	663	2025
128	668	2019
129	673	2014
130	678	2009
131	683	2004
132	688	1999
133	694	1994
134	699	1988
135	704	1983
136	709	1978
137	714	1973
138	719	1968
139	725	1963
140	730	1957
141	735	1952
142	740	1946
143	745	1940
144	750	1935
145	755	1930
146	760	1924
147	765	1919
148	771	1914
149	776	1909
150	781	1903
151	786	1898
152	791	1893
153	796	1888
154	801	1882
155	806	1877
156	812	1872
157	817	1867
158	822	1862
159	827	1857
160	832	1852
161	838	1847
162	843	1841
163	848	1835
164	853	1830
165	858	1825
166	863	1820
167	868	1815
168	873	1809
169	879	1804
170	884	1799
171	889	1794
172	894	1788
173	899	1783
174	904	1778
175	910	1773
176	915	1768
177	920	1762
178	925	1757
179	930	1752
180	935	1747
181	940	1741
182	945	1736
183	951	1731
184	956	1726
185	961	1721
186	966	1715
187	971	1710
188	976	1705
189	981	1700
190	986	1694
191	992	1689
192	997	1684
193	1002	1679
194	1007	1674
195	1013	1669
196	1018	1664
197	1023	1658
198	1028	1653
199	1033	1648
200	1038	1643
201	1043	1638
202	1049	1633
203	1054	1627
204	1059	1622
205	1064	1617
