iter	RMSE
0	1.233471946
1	1.230140733
2	1.227373974
3	1.224879241
4	1.221721085
5	1.218028344
6	1.214815182
7	1.21180689
8	1.2091613
9	1.205869576
10	1.202908098
11	1.199876114
12	1.197033634
13	1.194391287
14	1.192259424
15	1.189313481
16	1.187209525
17	1.184583164
18	1.182516889
19	1.179757384
20	1.176236438
21	1.17353626
22	1.170314969
23	1.167817637
24	1.165063769
25	1.163284884
26	1.160108252
27	1.158229699
28	1.155706393
29	1.153736295
30	1.151833254
31	1.149380483
32	1.146604203
33	1.143748194
34	1.14066956
35	1.138064741
36	1.135945983
37	1.133084862
38	1.130865622
39	1.128594446
40	1.12698989
41	1.125434289
42	1.12310828
43	1.120882517
44	1.118853103
45	1.116827606
46	1.114736023
47	1.112645238
48	1.110940343
49	1.109412009
50	1.106975796
51	1.104789348
52	1.103000047
53	1.101059693
54	1.099520889
55	1.097456971
56	1.09529835
57	1.093514699
58	1.092129544
59	1.090433772
60	1.088834016
61	1.087605872
62	1.085633988
63	1.083808285
64	1.082576806
65	1.080970657
66	1.079477876
67	1.078274748
68	1.076491603
69	1.074922182
70	1.073439086
71	1.072516001
72	1.070820602
73	1.069748243
74	1.068405417
75	1.066928621
76	1.065280111
77	1.063510565
78	1.062403955
79	1.061628941
80	1.060366933
81	1.059121152
82	1.057763805
83	1.056732926
84	1.055049366
85	1.05375793
86	1.052788325
87	1.051096494
88	1.049585581
89	1.048585295
90	1.047411324
91	1.046248206
92	1.04516354
93	1.043916853
94	1.042666648
95	1.04167538
96	1.04017495
97	1.039179424
98	1.037821545
99	1.036911147
100	1.035920519
101	1.034602131
102	1.033842352
103	1.032603472
104	1.031800778
105	1.030899928
106	1.030003715
107	1.028378893
108	1.027305551
109	1.026547901
110	1.025368485
111	1.024347188
112	1.023731561
113	1.023001525
114	1.022089644
115	1.021409283
116	1.020584007
117	1.01953109
118	1.018716376
119	1.017433499
120	1.016621442
121	1.015790053
122	1.014800827
123	1.014023184
124	1.013024501
125	1.011888195
126	1.011136816
127	1.010229304
128	1.009707621
129	1.008641789
130	1.008028369
131	1.007372236
132	1.006461255
133	1.005963847
134	1.005764653
135	1.005029762
136	1.004362957
137	1.003535729
138	1.002415936
139	1.001490988
140	1.000763129
141	0.9997162364
142	0.9987772442
143	0.9981158708
144	0.9979347117
145	0.9971343942
146	0.9964811416
147	0.9958607637
148	0.9950770693
149	0.9944004084
150	0.9936291214
151	0.992920559
152	0.992413435
153	0.9920153942
154	0.9915015519
155	0.9908828046
156	0.9902052696
157	0.9897941455
158	0.9892986865
159	0.9885907747
160	0.987825244
161	0.9873961592
162	0.9863668005
163	0.9858632273
164	0.9849787802
165	0.9843087081
166	0.9838525673
167	0.9832916537
168	0.982915494
169	0.9824172913
170	0.9817290531
171	0.9811430729
172	0.9807468458
173	0.9801397785
174	0.9796585304
175	0.9788247391
176	0.978432026
177	0.9776557513
178	0.9773202794
179	0.9771449321
180	0.9767113096
181	0.976178078
182	0.9753889724
183	0.9751677794
184	0.9748387054
185	0.9742962814
186	0.9737510308
187	0.9733847756
188	0.9728979431
189	0.9724476669
190	0.9721237597
191	0.9712413357
192	0.9708858799
193	0.9703426544
194	0.9699646754
195	0.9693526865
196	0.9688210783
197	0.9684695836
198	0.968035229
199	0.9676697605
200	0.9673426765
201	0.9669536294
202	0.966407943
203	0.9660279789
204	0.9656771081
205	0.9650840157
206	0.9646126092
207	0.9641332068
208	0.9638438385
209	0.9632876202
210	0.9628227629
211	0.9625418692
212	0.9621121877
213	0.9617939152
214	0.9611649532
215	0.9608158426
216	0.9606434276
217	0.9602296255
218	0.9599896267
219	0.9594890925
220	0.9590285005
221	0.9587030659
222	0.9585942029
223	0.9583374386
224	0.9579674893
225	0.9576280154
226	0.957299447
227	0.9570903137
228	0.9568966799
229	0.9565592917
230	0.9562713518
231	0.9560126743
232	0.9556587326
233	0.9553897877
234	0.9551373042
235	0.9548828373
236	0.9544903725
237	0.9539848812
238	0.9535678365
239	0.9530399069
240	0.9527489617
241	0.9522715007
242	0.9519378013
243	0.9515074322
244	0.9512588411
245	0.9510479298
246	0.9506985275
247	0.950437485
248	0.9503697511
249	0.9501504429
250	0.9496316098
251	0.9493659239
252	0.9492187748
253	0.9488713353
254	0.9483332414
255	0.9479890502
256	0.9477583776
257	0.9472878274
258	0.9468684252
259	0.9466271074
260	0.9462936827
261	0.9460666767
262	0.9457825651
263	0.9455191986
264	0.9451752485
265	0.9449818283
266	0.9447183092
267	0.9444956821
268	0.9441579569
269	0.9440636944
270	0.9437715653
271	0.9433424624
272	0.9431699466
273	0.9429982306
274	0.9428583737
275	0.9425556928
276	0.9424213527
277	0.942170905
278	0.9415606436
279	0.9412788303
280	0.941177984
281	0.9409499793
282	0.9405162138
283	0.9402391276
284	0.9401222823
285	0.9399135794
286	0.9395212158
287	0.9392731844
288	0.9390512106
289	0.9388386748
290	0.9386300917
291	0.9384328499
292	0.9380958512
293	0.9379941938
294	0.9378838564
295	0.9376187004
296	0.9373241921
297	0.9370707559
298	0.9368912236
299	0.9365268944
300	0.9362946746
301	0.9360888637
302	0.9358338068
303	0.9354128941
304	0.9351378018
305	0.9349178907
306	0.9347078199
307	0.9344909375
308	0.9342402169
309	0.9340870709
310	0.9339317791
311	0.9336623004
312	0.9334152198
313	0.933238863
314	0.933107833
315	0.9329520798
316	0.9327178849
317	0.9324177874
318	0.9321090643
319	0.9317283164
320	0.9314812322
321	0.9311896607
322	0.9311262431
323	0.9310067203
324	0.9306677294
325	0.9304289145
326	0.9303310165
327	0.9301599502
328	0.9300602574
329	0.9297743164
330	0.9294481884
331	0.929207318
332	0.9291483723
333	0.9287498424
334	0.9286393826
335	0.9283093
336	0.9281409196
337	0.9280322685
338	0.9278500763
339	0.9276497718
340	0.9275709951
341	0.927455799
342	0.9272328059
343	0.9270987455
344	0.9267840794
345	0.9266135359
346	0.926488946
347	0.9262899038
348	0.9261381113
349	0.9258585504
350	0.9255786734
351	0.9254432965
352	0.9253921077
353	0.9252360946
354	0.9250882147
355	0.9249616979
356	0.9247323901
357	0.9245633127
358	0.9243044379
359	0.9240272967
360	0.9238052607
361	0.9237079942
362	0.9235585056
363	0.9234576831
364	0.9231441678
365	0.9229763827
366	0.9227265992
367	0.9225459661
368	0.9222848329
369	0.9221094915
370	0.9218393855
371	0.9216961743
372	0.9216229239
373	0.9215463374
374	0.9214771762
375	0.9212804617
376	0.9210188779
377	0.9208803173
378	0.9207832689
379	0.9207472345
380	0.9205030624
381	0.9202623385
382	0.919985588
383	0.9198065774
384	0.9196717163
385	0.919533095
386	0.9193483292
387	0.9192839549
388	0.9190626125
389	0.9189052614
390	0.9187479573
391	0.9186013311
392	0.9184840812
393	0.9183877324
394	0.9181876242
395	0.9180773112
396	0.9178893344
397	0.9177849385
398	0.9176247337
399	0.9173739194
400	0.9173377708
401	0.9172244083
402	0.9170247225
403	0.9168320696
404	0.9166977156
405	0.916600158
406	0.9163694424
407	0.9162684317
408	0.9160969916
409	0.915906269
410	0.9157771513
411	0.9155905149
412	0.9154550705
413	0.9152753096
414	0.9152289981
415	0.9151198912
416	0.9149958291
417	0.9148381891
418	0.9146868701
419	0.9144534983
420	0.9143099891
421	0.9142268561
422	0.9141366912
423	0.9139357334
424	0.9138750291
425	0.9137083651
426	0.9135406349
427	0.9134148697
428	0.9133124425
429	0.9130331937
430	0.9129338944
431	0.9126877543
432	0.9126086738
433	0.9125548525
434	0.9123605496
435	0.9121881418
436	0.912020213
437	0.9119328441
438	0.9118024279
439	0.9117201124
440	0.9114549991
441	0.9113119176
442	0.911092366
443	0.9108977613
444	0.910794608
445	0.9106974757
446	0.9105338238
447	0.910363915
448	0.9101810365
449	0.9100707666
450	0.9100245022
451	0.9099419174
452	0.9097808285
453	0.9096849702
454	0.909537177
455	0.9094143031
456	0.9091975285
457	0.9091409915
458	0.9090609323
459	0.9089672536
460	0.9088879296
461	0.9087975875
462	0.9086651709
463	0.90850625
464	0.9084077244
465	0.9083245567
466	0.9082718396
467	0.9081699633
468	0.9080585479
469	0.9079344712
470	0.9077492203
471	0.9076908296
472	0.9075628213
473	0.907344441
474	0.9072421306
475	0.907154223
476	0.9070871051
477	0.9069539034
478	0.9067121183
479	0.9066120896
480	0.9065121803
481	0.9064836307
482	0.9064190051
483	0.9063057628
484	0.9062478591
485	0.9060605542
486	0.9059958284
487	0.9058410983
488	0.9057233837
489	0.9055320371
490	0.9054339208
491	0.9053348081
492	0.9051675775
493	0.9050382264
494	0.9049526517
495	0.9048344893
496	0.9047205532
497	0.9046288338
498	0.9044586618
499	0.9042476314
500	0.9041694813
501	0.9040539337
502	0.9039227814
503	0.9038773174
504	0.9037011847
505	0.9036219179
506	0.903567622
507	0.903397443
508	0.9032824182
509	0.9032045575
510	0.9031058643
511	0.9030211774
512	0.9029552081
513	0.9028736788
514	0.9026713876
515	0.9026048637
516	0.9025147192
517	0.9023467394
518	0.9022782964
519	0.9021839214
520	0.9020330416
521	0.901903474
522	0.9018105758
523	0.9017184943
524	0.901647383
525	0.9015587222
526	0.9014901726
527	0.9013247057
528	0.9012312836
529	0.9009911355
530	0.9008556551
531	0.9008190401
532	0.9006972165
533	0.9005794786
534	0.9004800062
535	0.9003885014
536	0.9001578432
537	0.9000772761
538	0.89994707
539	0.8999066387
540	0.8998391102
541	0.8997158139
542	0.8995687401
543	0.899484739
544	0.8993352846
545	0.8991688014
546	0.8990340978
547	0.898925045
548	0.8988118523
549	0.8987210097
550	0.8986202822
551	0.8985181463
552	0.8984392628
553	0.8983966145
554	0.8983281397
555	0.8982077688
