iter	RMSE
0	1.13909005
1	1.136917726
2	1.135175847
3	1.133103811
4	1.131209687
5	1.128982144
6	1.126832619
7	1.12495035
8	1.123092255
9	1.121048932
10	1.118729872
11	1.117293445
12	1.115454829
13	1.113561684
14	1.111687684
15	1.109640349
16	1.107842573
17	1.1060164
18	1.104284559
19	1.102693708
20	1.100975779
21	1.099159188
22	1.097327654
23	1.095781256
24	1.09425988
25	1.092366155
26	1.090731474
27	1.089175533
28	1.087513742
29	1.086282732
30	1.085070705
31	1.083844354
32	1.082158786
33	1.080553624
34	1.078837152
35	1.077396805
36	1.07581959
37	1.074159139
38	1.073362097
39	1.07203276
40	1.070739431
41	1.069718877
42	1.068198092
43	1.066976288
44	1.065555096
45	1.064473109
46	1.063280502
47	1.062118679
48	1.061078408
49	1.059815365
50	1.05878585
51	1.057819181
52	1.05661624
53	1.055652261
54	1.0545529
55	1.053498348
56	1.052538314
57	1.051498285
58	1.050359939
59	1.049968139
60	1.048917305
61	1.04771401
62	1.046616293
63	1.045587779
64	1.044435583
65	1.043706828
66	1.042989125
67	1.04196304
68	1.041207765
69	1.040258353
70	1.03920664
71	1.038154177
72	1.037304055
73	1.036337888
74	1.035233741
75	1.034505275
76	1.033808338
77	1.033175679
78	1.032271232
79	1.031381302
80	1.030681377
81	1.029760291
82	1.029121385
83	1.028449121
84	1.027753833
85	1.026913575
86	1.026091339
87	1.025428582
88	1.024627858
89	1.023920554
90	1.023087972
91	1.022470168
92	1.02166673
93	1.020997417
94	1.020435984
95	1.019878008
96	1.019186226
97	1.018405061
98	1.017891738
99	1.017172237
100	1.0164881
101	1.01582795
102	1.015145063
103	1.014592451
104	1.013940531
105	1.013362122
106	1.012709687
107	1.012173612
108	1.01161225
109	1.011323028
110	1.01075425
111	1.010239872
112	1.009707338
113	1.00941714
114	1.008754514
115	1.008151292
116	1.007668733
117	1.007123915
118	1.006572248
119	1.006047607
120	1.005711187
121	1.00528486
122	1.004823164
123	1.004324542
124	1.003986819
125	1.00356373
126	1.00317099
127	1.002616454
128	1.002230779
129	1.001706893
130	1.001243808
131	1.000797796
132	1.00048406
133	0.9999783681
134	0.9994801361
135	0.9989694697
136	0.9985030161
137	0.9981711348
138	0.9976883026
139	0.9972030817
140	0.9967276959
141	0.9962910785
142	0.9960125705
143	0.9956402424
144	0.9952518037
145	0.9949574818
146	0.9945136014
147	0.9941151887
