iter	Passed	Remaining
0	3	3690
1	5	2795
2	7	2487
3	9	2312
4	11	2195
5	12	2122
6	14	2069
7	16	2031
8	18	2003
9	19	1978
10	21	1965
11	23	1952
12	25	1934
13	27	1919
14	29	1907
15	30	1892
16	32	1879
17	34	1869
18	36	1862
19	37	1853
20	39	1845
21	41	1840
22	43	1834
23	44	1829
24	46	1823
25	48	1818
26	50	1816
27	52	1813
28	53	1807
29	55	1806
30	57	1803
31	59	1795
32	61	1793
33	63	1793
34	64	1788
35	66	1785
36	68	1783
37	70	1780
38	72	1776
39	73	1773
40	75	1771
41	77	1769
42	79	1767
43	81	1763
44	82	1760
45	84	1759
46	86	1758
47	88	1757
48	90	1756
49	92	1752
50	94	1750
51	95	1749
52	97	1747
53	99	1745
54	101	1744
55	103	1742
56	105	1741
57	107	1739
58	108	1737
59	110	1735
60	112	1733
61	114	1731
62	116	1730
63	118	1727
64	120	1726
65	121	1726
66	123	1723
67	125	1722
68	127	1720
69	129	1718
70	131	1716
71	133	1715
72	135	1714
73	136	1713
74	138	1711
75	140	1709
76	142	1707
77	144	1706
78	146	1704
79	148	1703
80	150	1702
81	151	1700
82	153	1699
83	155	1696
84	157	1695
85	159	1693
86	161	1692
87	163	1689
88	164	1688
89	166	1685
90	168	1684
91	170	1683
92	172	1681
93	174	1680
94	176	1678
95	178	1676
96	179	1674
97	181	1673
98	183	1671
99	185	1670
100	187	1668
101	189	1667
102	191	1666
103	192	1655
104	193	1653
105	195	1651
106	197	1649
107	199	1647
108	201	1645
109	203	1643
110	204	1641
111	206	1640
112	208	1637
113	210	1635
114	212	1634
115	214	1632
116	215	1630
117	217	1628
118	219	1626
119	221	1624
120	223	1622
121	225	1621
122	227	1619
123	228	1617
124	230	1615
125	232	1613
126	234	1612
127	236	1610
128	238	1609
129	240	1607
130	242	1605
131	243	1603
132	245	1601
133	247	1599
134	249	1597
135	251	1596
136	253	1594
137	254	1592
138	256	1590
139	258	1588
140	260	1586
141	262	1584
142	264	1582
143	265	1581
144	267	1579
145	269	1577
146	271	1575
147	273	1574
148	275	1572
149	277	1570
150	278	1568
151	280	1566
152	282	1565
153	284	1563
154	286	1560
155	288	1559
156	289	1557
157	291	1555
158	293	1553
159	295	1551
160	297	1549
161	299	1548
162	301	1546
163	302	1544
164	304	1542
165	306	1540
166	308	1538
167	310	1536
168	312	1534
169	313	1532
170	315	1531
171	317	1528
172	319	1527
173	321	1525
174	323	1523
175	325	1521
176	326	1519
177	328	1517
178	330	1516
179	332	1514
180	334	1512
181	336	1510
182	338	1509
183	339	1507
