iter	RMSE
0	1.418679661
1	1.409464369
2	1.395983355
3	1.384497442
4	1.377272001
5	1.370912216
6	1.364667182
7	1.35577387
8	1.346848387
9	1.341010154
10	1.333359372
11	1.329386622
12	1.323808726
13	1.317379624
14	1.30647883
15	1.299763139
16	1.28900236
17	1.276984689
18	1.27226855
19	1.264031406
20	1.260197273
21	1.249195093
22	1.242074241
23	1.234203087
24	1.230688419
25	1.230688419
26	1.224286219
27	1.218563906
28	1.209548111
29	1.209548111
30	1.200702249
31	1.195307906
32	1.188441442
33	1.188441442
34	1.182208738
35	1.17494875
36	1.170388664
37	1.164541058
38	1.158516577
39	1.153911995
40	1.149881418
41	1.149881418
42	1.143405991
43	1.138333586
44	1.129885608
45	1.126033924
46	1.120372763
47	1.120298576
48	1.118647448
49	1.111348049
50	1.10568464
51	1.099240787
52	1.093699177
53	1.089977567
54	1.086700256
55	1.0831481
56	1.075746644
57	1.06940812
58	1.066163254
59	1.064246385
60	1.0570337
61	1.053213666
62	1.0463893
63	1.044667355
64	1.036615332
65	1.030590813
66	1.02287816
67	1.018203801
68	1.013874247
69	1.008994788
70	1.003746807
71	0.997142804
72	0.9944588041
73	0.9880059725
74	0.9848854484
75	0.9811803161
76	0.9764770587
77	0.9693711946
78	0.9663053361
79	0.9621511612
80	0.9587375277
81	0.9587020862
82	0.9560595614
83	0.9513939596
84	0.948408093
85	0.9450686492
86	0.9396570408
87	0.9335388153
88	0.9286355983
89	0.9260004872
90	0.9202578189
91	0.9173358333
92	0.9122384244
93	0.906245839
94	0.9016722533
95	0.8961557284
96	0.8929129172
97	0.8870879056
98	0.8848281925
99	0.8798768574
100	0.8757277861
101	0.8716159532
102	0.8663319478
103	0.8622396323
104	0.8603927393
105	0.855593015
106	0.8524398475
107	0.8509214994
108	0.8469015712
109	0.843425951
110	0.8406000943
111	0.8373611507
112	0.8359078303
113	0.8318665207
114	0.8284040973
115	0.8245941545
116	0.8206663377
117	0.8193651084
118	0.8147500688
119	0.811154604
120	0.8072239062
121	0.8052277467
122	0.8028922613
123	0.8002988669
124	0.7975356821
125	0.7943499488
126	0.7910974459
127	0.7872669996
128	0.7872669989
129	0.783798333
130	0.7821702974
131	0.7799805241
132	0.7763552701
133	0.7745404417
134	0.7713046142
135	0.7688832061
136	0.7665424993
137	0.7648526559
138	0.7625421614
139	0.7619390632
140	0.76190705
141	0.7593827359
142	0.7565082742
143	0.7549206896
144	0.7527231816
145	0.7508763246
146	0.7498873903
147	0.7468444863
148	0.7455106152
149	0.7437839317
150	0.7415218223
151	0.7396570903
152	0.7383621019
153	0.7369001448
154	0.7340527525
155	0.7332495615
156	0.7310527845
157	0.7310527838
158	0.7309572727
159	0.7290522623
160	0.7264459957
161	0.7242187159
162	0.7232870875
163	0.721301773
164	0.7213017723
165	0.7180624492
166	0.7162168628
167	0.7152735655
168	0.7136909354
169	0.7109139555
170	0.7095031676
171	0.7072825862
172	0.705934339
173	0.703157509
174	0.7001872407
175	0.6983313052
176	0.6963948009
177	0.6938240409
178	0.693490896
179	0.6914625771
180	0.6896589131
181	0.6894875913
182	0.6880604447
183	0.685924335
184	0.6852037429
185	0.6831533194
186	0.6808365673
187	0.6788377574
188	0.6770434245
189	0.6756078584
190	0.6734975862
191	0.6720784485
192	0.6705730684
193	0.6689658305
194	0.6682639862
195	0.6665269698
196	0.664512024
197	0.6643968136
198	0.6636542473
199	0.6630787588
200	0.6623689675
201	0.6603488898
202	0.658139763
203	0.656355153
204	0.6555821096
205	0.6547101973
206	0.6539456697
207	0.6521045685
208	0.6498339741
209	0.6482539339
210	0.6464488119
211	0.6458217948
212	0.6458217941
213	0.644885663
214	0.6440804607
215	0.6430565497
216	0.6419008566
217	0.6407610012
218	0.6400082433
219	0.6393544035
220	0.6382245905
221	0.6375742572
222	0.6366630271
223	0.6346490642
224	0.6343928941
225	0.6341894657
226	0.6337244843
227	0.6319940134
228	0.630503301
229	0.6296576176
230	0.6290004115
231	0.6286080285
232	0.6280389652
233	0.6274992453
234	0.6274992446
235	0.625731628
236	0.6245106726
237	0.6237376677
238	0.623493611
239	0.6219428919
240	0.6200387872
241	0.618864502
242	0.6186036082
243	0.6182390989
244	0.6166595353
245	0.6159918383
246	0.6155114208
247	0.6148525235
248	0.6135616704
249	0.6126940204
250	0.6126830313
251	0.6118059525
252	0.6102994987
253	0.6091704426
254	0.6086905673
255	0.6086282558
256	0.6080778602
257	0.6073174958
258	0.606247411
259	0.6046365518
260	0.6039088399
261	0.6037464949
262	0.603727465
263	0.6033092674
264	0.6020279387
265	0.6005396661
266	0.5999080692
267	0.5993963658
268	0.5983191386
269	0.5980201444
270	0.5970282565
271	0.5961100154
272	0.5954228578
273	0.5950635376
274	0.5944287892
275	0.5931116826
276	0.5928909248
277	0.5918469567
278	0.5909405161
279	0.590521915
280	0.5898645973
281	0.5886762722
282	0.5884172874
283	0.5879847408
284	0.5876159586
285	0.5873222788
286	0.5861570013
287	0.5858781688
288	0.5852634274
289	0.5846283443
290	0.5844461096
291	0.5841553482
292	0.5836613575
293	0.5832132306
294	0.582558865
295	0.5811162479
296	0.580047612
297	0.5800464223
298	0.5796836897
299	0.5785383147
300	0.5785383145
301	0.5774770299
302	0.5768194636
303	0.5764731023
304	0.5756180321
305	0.5751418185
306	0.5748272368
307	0.5746155691
308	0.5739798698
309	0.5738095971
310	0.5734749175
311	0.5729747497
312	0.5724823452
313	0.5721761289
314	0.5711862149
315	0.5703765354
316	0.5693415427
317	0.5681893506
318	0.5681102302
319	0.5675387905
320	0.567431945
321	0.5672593737
322	0.5669598948
323	0.5660431168
324	0.5657752633
325	0.5655607506
326	0.5653864222
327	0.5643839369
328	0.5637916225
329	0.5635121894
330	0.5633588367
331	0.5632224491
332	0.5626938867
333	0.5624541416
334	0.5624541415
335	0.5620547666
336	0.5616114341
337	0.5605702083
338	0.5591896328
339	0.5589403106
340	0.5589212892
341	0.5584550373
342	0.5575931446
343	0.5570550242
344	0.5569542109
345	0.5564979499
346	0.5562928809
347	0.5552725711
348	0.5550456612
349	0.5545892185
350	0.5542695527
351	0.5539008765
352	0.5535640475
353	0.553461881
354	0.5534618809
355	0.553056738
356	0.5530567379
357	0.5529374949
358	0.5523765756
359	0.5518891141
360	0.5510942074
361	0.5510625562
362	0.5503828912
363	0.5501987082
364	0.5500516053
365	0.5490753807
