iter	RMSE
0	1.132627293
1	1.126878352
2	1.12140676
3	1.116292965
4	1.111203245
5	1.10623121
6	1.101053097
7	1.096331665
8	1.091347295
9	1.086601201
10	1.082099075
11	1.077439515
12	1.072835901
13	1.068633837
14	1.064578433
15	1.060464242
16	1.056534117
17	1.052733572
18	1.048865735
19	1.044973638
20	1.041373494
21	1.037679737
22	1.034280963
23	1.030851769
24	1.027257927
25	1.02403886
26	1.020696026
27	1.017335336
28	1.014109088
29	1.010978264
30	1.008028947
31	1.004975716
32	1.002002535
33	0.9992798526
34	0.9964594631
35	0.9938439682
36	0.9912417314
37	0.9885728555
38	0.9859961167
39	0.9834153457
40	0.9808998269
41	0.9785568613
42	0.9762253219
43	0.9738265561
44	0.9716310584
45	0.9693567557
46	0.9671138569
47	0.9650039143
48	0.9628808696
49	0.9608239293
50	0.9589177678
51	0.9568990285
52	0.954947113
53	0.9530230335
54	0.9510882943
55	0.9493564778
56	0.9475187561
57	0.9457019839
58	0.9439763392
59	0.9423046451
60	0.9406586897
61	0.9390083222
62	0.9374245742
63	0.9359621687
64	0.9344145556
65	0.9329356169
66	0.931545521
67	0.9300545417
68	0.9286802253
69	0.9272868553
70	0.9260084357
71	0.92467281
72	0.9234105642
73	0.9221784851
74	0.920864527
75	0.9196774369
76	0.9185409324
77	0.917437439
78	0.9162263791
79	0.9151286293
80	0.913995852
81	0.9129681885
82	0.9119685394
83	0.911004742
84	0.90991916
85	0.9088503906
86	0.9077800358
87	0.9068807574
88	0.905943023
89	0.9050770933
90	0.9041059103
91	0.9032099087
92	0.9022513343
93	0.901318669
94	0.9004879937
95	0.8995950451
96	0.8987085361
97	0.8978931193
98	0.8970616769
99	0.8962857038
100	0.8955674659
101	0.8947871653
102	0.8939502427
103	0.8932249102
104	0.8924962233
105	0.8917422768
106	0.8909881589
107	0.8903415938
108	0.889632111
109	0.8888987944
110	0.8882898563
111	0.8875690875
112	0.8868686019
113	0.8861572421
114	0.885562147
115	0.8849570658
116	0.8843330453
117	0.883784617
118	0.8832459541
119	0.8826202938
120	0.8820932566
121	0.8815216068
122	0.8810539833
123	0.8805048707
124	0.8799781553
125	0.8794083712
126	0.8789420818
127	0.8783850654
128	0.8778456284
129	0.8773390683
130	0.8769134682
131	0.8763377158
132	0.8758456794
133	0.8753367102
134	0.8748647881
135	0.8743741005
136	0.8739161495
137	0.8734761081
138	0.8730360227
139	0.8726068858
140	0.8721776073
141	0.8717335956
142	0.8713405293
143	0.8709171877
144	0.8705328735
145	0.8701389664
146	0.8697553185
147	0.8693810355
148	0.8689786457
149	0.8685446466
150	0.8681967238
151	0.867848754
152	0.867479138
153	0.8671451854
154	0.8667887125
155	0.866434045
156	0.8661022062
157	0.8657610263
158	0.8654944171
159	0.8651844841
160	0.864817689
161	0.8645197786
162	0.864185086
163	0.8638739646
164	0.8635939392
165	0.8632964567
166	0.8630164796
167	0.8627391818
168	0.8624628585
169	0.8621626035
170	0.8618784353
171	0.8616094263
172	0.8613566922
173	0.8610368101
174	0.8607589087
175	0.8604534319
176	0.8602032725
177	0.8599288524
178	0.8596882669
179	0.8594552399
180	0.8592174599
181	0.858979931
182	0.8587535945
183	0.858432875
184	0.8581731957
185	0.8579018958
186	0.8576854832
187	0.8574682869
188	0.8571912151
189	0.8569445462
190	0.8567162813
191	0.8565172866
192	0.8563298294
193	0.8561236859
194	0.8558981259
195	0.8556677315
196	0.8553854834
197	0.8550941179
198	0.8549004534
199	0.8547114756
200	0.8544353347
201	0.8542595612
202	0.8540523333
203	0.8538579274
204	0.8536670091
205	0.853501749
206	0.8532928899
207	0.8530763529
208	0.8529061704
209	0.8527489571
210	0.8525705155
211	0.8524077704
212	0.8522584378
213	0.8520299606
214	0.8517933606
215	0.8515349301
216	0.8513152034
217	0.8511154684
218	0.8509529072
219	0.8507847265
220	0.8506146761
221	0.8504030196
222	0.8502430624
223	0.8500491222
224	0.8498580138
225	0.8496902787
226	0.8495270388
227	0.8493139831
228	0.8491021682
229	0.8489308583
230	0.8487000372
231	0.8485536849
232	0.84835934
233	0.8481994745
234	0.8480158512
235	0.8478733288
236	0.8477467106
237	0.8475711212
238	0.8474258777
239	0.8472915153
240	0.8471722089
241	0.8470765886
242	0.8469233781
243	0.8467693087
244	0.84659765
245	0.8464614157
246	0.8463170043
247	0.846195565
248	0.8460871151
249	0.8459368729
250	0.8458152448
251	0.8456926505
252	0.8455270285
253	0.8453772455
254	0.845254131
255	0.8451301086
256	0.8450055918
257	0.8448778244
258	0.8447560713
259	0.8446325749
260	0.8445173552
261	0.8443962264
262	0.8442813387
263	0.8441154075
264	0.8439761197
265	0.8438610619
266	0.8437095922
267	0.8435982597
268	0.8434757207
269	0.8433783811
270	0.8432503447
271	0.8430878324
272	0.8429672235
273	0.8428416572
274	0.8427476634
275	0.8426139035
276	0.8425055838
277	0.8424147521
278	0.8422780473
279	0.842159871
280	0.8420557894
281	0.8419067419
282	0.8417663954
283	0.8416602274
284	0.8415573444
285	0.8414151719
286	0.8412701835
287	0.841161741
288	0.8410858315
289	0.8409702007
290	0.8408765114
291	0.8407635776
292	0.8405815482
293	0.8404762146
294	0.8403300975
295	0.8402309529
296	0.8401085953
297	0.8399927074
298	0.8398837822
299	0.8397801289
300	0.839634065
301	0.8395080505
302	0.8393922937
303	0.8392592678
304	0.8391518132
305	0.8390400672
306	0.838907657
307	0.8388431295
308	0.8386648534
309	0.8386029409
310	0.8385071918
311	0.838429708
312	0.8383055821
313	0.838187248
314	0.8380527333
315	0.8379986788
316	0.83785928
317	0.8377603288
318	0.8376372994
319	0.8375714096
320	0.8374905363
321	0.8374107515
322	0.8373178506
323	0.8372229484
324	0.8371546383
325	0.8370714636
326	0.8369994561
327	0.8368310924
328	0.8367795057
329	0.8366361866
330	0.836468733
331	0.8363447529
332	0.8362708274
333	0.8362091347
334	0.8361683467
335	0.836073535
336	0.8359249352
337	0.8357918118
338	0.8357502795
339	0.8356845864
340	0.8356269034
341	0.8355113059
342	0.8353979418
343	0.8352415888
344	0.8351690044
345	0.835110343
346	0.8349719979
347	0.8348595797
348	0.8347430716
349	0.8346360373
350	0.8345783787
351	0.8344976271
352	0.8344602908
353	0.8343317621
354	0.8342469261
355	0.8341307849
356	0.8340191618
357	0.8339015422
358	0.8338130431
359	0.833670658
360	0.8336110766
361	0.8335522511
362	0.833508714
363	0.8334152202
364	0.8333089409
365	0.8332795076
366	0.8332117902
367	0.8331255118
368	0.8330556615
369	0.8329691277
370	0.8328931372
371	0.8327489786
372	0.8326227879
373	0.8325035023
374	0.8324204491
375	0.8323688399
376	0.8323328703
377	0.8322543859
378	0.8321771205
379	0.8320643276
380	0.8319493297
381	0.8319254162
382	0.8318203039
383	0.8317852351
384	0.8317025995
385	0.8316323041
386	0.8315932933
387	0.8315405782
388	0.8314321447
389	0.8313348426
390	0.8312170678
391	0.8311098738
392	0.8310000059
393	0.8309148389
394	0.830781136
395	0.8306817872
396	0.8306088538
397	0.8304823667
398	0.8303831178
399	0.8303626852
400	0.8302840439
401	0.8302462517
402	0.8301917573
403	0.8300758503
404	0.8300350462
405	0.8299447704
406	0.8299029586
407	0.8298430418
408	0.8298028824
409	0.8297098886
410	0.8296206677
411	0.8295673745
412	0.8294561763
413	0.8293625318
414	0.829313024
415	0.8292631944
416	0.8292430223
417	0.8292143728
418	0.8291653723
419	0.8291170369
420	0.8290716045
421	0.8289980981
422	0.8288718671
423	0.8288380188
424	0.8287906792
425	0.8287708368
426	0.8287153229
427	0.8286956317
428	0.8285934548
429	0.8285548356
430	0.8284317368
431	0.8283553835
432	0.8283116962
433	0.8282648846
434	0.8281576478
435	0.8280773372
436	0.8280464659
437	0.8279676356
438	0.8279137193
439	0.8278689269
440	0.8278307741
441	0.827722931
442	0.827670506
443	0.8276330901
444	0.8275632935
445	0.8274949808
446	0.8273939305
447	0.8273589283
448	0.8272435336
449	0.8271451422
450	0.8270470651
451	0.8269411916
452	0.8268569518
453	0.8267798838
454	0.8267038197
455	0.8266100725
456	0.8265771645
457	0.8265578244
458	0.8265214734
459	0.826430028
460	0.8264109172
461	0.826391923
462	0.8263100439
463	0.8261828074
464	0.8260824816
465	0.8259847494
466	0.8259044035
467	0.8258700791
468	0.825827919
469	0.8257746684
470	0.8256927294
471	0.8255862797
472	0.8254983846
473	0.8253871952
474	0.8253683283
475	0.825304538
476	0.8252065375
477	0.8251225736
478	0.8250420673
479	0.8250198948
480	0.8249952064
481	0.8248880641
482	0.8248400011
483	0.8248050489
484	0.8247322838
485	0.8246725328
486	0.8246051122
487	0.8245037584
488	0.8244294093
489	0.8243999369
490	0.8243430515
491	0.8242429066
492	0.8241732383
493	0.8240628847
494	0.8240266091
495	0.8240080091
496	0.823922631
497	0.823829847
498	0.8237359834
499	0.8237036687
500	0.8236601077
501	0.8236162608
502	0.82353369
503	0.8235029593
504	0.823405151
505	0.8233401429
506	0.8233134889
507	0.8232513301
508	0.8232227215
509	0.8232042788
510	0.823114877
511	0.8230966211
512	0.822993748
513	0.8229529668
514	0.8228511067
515	0.8227820022
516	0.8227254686
517	0.8226960805
518	0.822661051
519	0.8226428107
520	0.8225654685
521	0.8224739235
522	0.8224325376
523	0.8223904595
524	0.8223722896
525	0.8223275262
526	0.8222607166
527	0.8222321475
528	0.8222143269
529	0.8221134421
530	0.8220957163
531	0.8220073144
532	0.8219372347
533	0.8218817766
534	0.8218523269
535	0.8217738383
536	0.8217313962
537	0.8216989241
538	0.8216157481
539	0.8215304799
540	0.8214478983
541	0.821366232
542	0.8212720839
543	0.8212382497
544	0.8212187609
545	0.8211313545
546	0.8210439206
547	0.8210164462
548	0.8209882653
549	0.8208929156
550	0.8208754688
551	0.8208420946
552	0.8207807032
553	0.8207633951
554	0.8207357466
555	0.8206715891
556	0.8205944465
557	0.8205310788
558	0.8204795888
559	0.8204623735
560	0.8203694193
561	0.8203424371
562	0.8202502529
563	0.8201868384
564	0.8201697508
565	0.820152716
566	0.8201255963
567	0.8200656383
568	0.8200256205
569	0.8200087202
570	0.8199820037
571	0.8199652621
572	0.8199369988
573	0.819897877
574	0.8198206408
575	0.8197318286
576	0.819710404
577	0.8196827054
578	0.8196550811
579	0.8196288222
580	0.819546988
581	0.8194624839
582	0.8193788016
583	0.8193621267
584	0.819336141
