iter	RMSE
0	1.962841092
1	1.961065225
2	1.958666432
3	1.956185265
4	1.953773552
5	1.951382311
6	1.949062706
7	1.946883567
8	1.944598449
9	1.942459248
10	1.940369986
11	1.938437873
12	1.935892779
13	1.933671318
14	1.931489214
15	1.929206892
16	1.927474142
17	1.925317718
18	1.923229956
19	1.921584188
20	1.919624949
21	1.91771456
22	1.915832072
23	1.914246961
24	1.912369672
25	1.910475645
26	1.908581438
27	1.90659903
28	1.90465145
29	1.903025788
30	1.901244517
31	1.899479203
32	1.897898313
33	1.89644741
34	1.894923803
35	1.893510387
36	1.892012117
37	1.890477393
38	1.888720829
39	1.887239016
40	1.885776723
41	1.884320161
42	1.88264691
43	1.881255434
44	1.879877982
45	1.878403071
46	1.877013987
47	1.875628357
48	1.874234235
49	1.872773681
50	1.871201564
51	1.869824111
52	1.868405925
53	1.866875278
54	1.865812188
55	1.864529767
56	1.863779819
57	1.862773737
58	1.8614951
59	1.860169241
60	1.858910062
61	1.85758074
62	1.856241278
63	1.854893987
64	1.853676454
65	1.852387953
66	1.851333823
67	1.85045539
68	1.849613673
69	1.84848799
70	1.847227295
71	1.846295598
72	1.845011756
73	1.84395964
74	1.842913008
75	1.842062519
76	1.840819814
77	1.839747895
78	1.838574825
79	1.837850517
80	1.836711467
81	1.835844412
82	1.834916523
83	1.834167426
84	1.833050782
85	1.832095949
86	1.831138699
87	1.829923759
88	1.82921315
89	1.828489132
90	1.827809743
91	1.826976348
92	1.825970404
93	1.825151142
94	1.824047789
95	1.823287291
96	1.822611226
97	1.821672794
98	1.820761921
99	1.82007725
100	1.819161503
101	1.818228671
102	1.817279312
103	1.816633372
104	1.815802238
105	1.814874603
106	1.814060416
107	1.813293363
108	1.812424126
109	1.811583966
110	1.810965254
111	1.810272579
112	1.809596958
113	1.808783486
114	1.808054194
115	1.807129054
116	1.806440661
117	1.805731963
118	1.805152259
119	1.804366779
120	1.803629165
121	1.802894699
122	1.802168366
123	1.801441062
124	1.800411649
125	1.799654439
126	1.798929586
127	1.798279453
128	1.797595879
129	1.796803894
130	1.796120524
131	1.795526891
132	1.794806236
133	1.79409566
134	1.793450634
135	1.792635303
136	1.79190763
137	1.791323555
138	1.790803195
139	1.789988723
140	1.789437018
141	1.788949562
142	1.788258152
143	1.787826479
144	1.787191833
145	1.786349503
146	1.785643788
147	1.785059363
148	1.784512775
149	1.784056376
150	1.783548249
151	1.782526926
152	1.781849103
153	1.781250345
154	1.780758922
155	1.78011969
156	1.779563323
157	1.779014136
158	1.778405187
159	1.777845984
160	1.777335911
161	1.776789699
162	1.776235404
163	1.775870729
164	1.775268315
165	1.774783659
166	1.774202548
167	1.773606643
168	1.772808411
169	1.772417728
170	1.771987959
171	1.771530902
172	1.771130076
173	1.770592466
174	1.769995317
175	1.769581471
176	1.769239431
177	1.768834519
178	1.768441502
179	1.767898503
180	1.767305484
181	1.766947201
182	1.766285123
183	1.765692211
184	1.765192595
185	1.76466968
186	1.764265317
187	1.763810617
188	1.763412506
189	1.762945461
190	1.762592907
191	1.76210408
192	1.761571991
193	1.761041908
194	1.760518847
195	1.760033568
196	1.759747406
197	1.759420923
198	1.759096531
199	1.758649371
200	1.758276805
201	1.7577746
202	1.757345678
203	1.757001552
204	1.756566827
205	1.756180026
206	1.755777668
207	1.75533996
208	1.755007446
209	1.754661249
210	1.754235242
211	1.753805394
212	1.753352758
213	1.752847491
214	1.752492305
215	1.751932785
216	1.751479489
217	1.750982173
218	1.750583363
219	1.750063774
220	1.749655973
221	1.749123481
222	1.748649606
223	1.748259081
224	1.747943562
225	1.747457057
226	1.74722078
227	1.746701322
228	1.746384601
229	1.745832755
230	1.74552423
231	1.745044076
232	1.744609885
233	1.744380727
234	1.744053673
235	1.74352773
236	1.742995034
237	1.742625876
238	1.74230968
239	1.742029086
240	1.741635954
241	1.741323557
242	1.740878701
243	1.740483154
244	1.73999371
245	1.739571883
246	1.739205082
247	1.738908238
248	1.738620344
249	1.738282131
250	1.737735163
251	1.7374648
252	1.737067914
253	1.736830267
254	1.736628796
255	1.736279702
256	1.735935611
257	1.735712775
258	1.735252204
259	1.734920263
260	1.734572411
261	1.73409421
262	1.733698681
263	1.733400262
264	1.732982876
265	1.732709604
266	1.732400284
267	1.73213708
268	1.731809711
269	1.731540371
270	1.731157907
271	1.730855342
272	1.730493706
273	1.730214742
274	1.729829711
275	1.729378014
276	1.72908834
277	1.72888185
278	1.728630132
279	1.728198089
280	1.727876806
281	1.727612799
282	1.727290915
283	1.726876833
284	1.726531103
285	1.726126604
286	1.725796833
287	1.725530599
288	1.725289078
289	1.724938461
290	1.724674896
291	1.724336593
292	1.723944304
293	1.723599173
294	1.72319615
295	1.722957848
296	1.722608167
297	1.72232505
298	1.722052778
299	1.721758929
300	1.721302666
301	1.72094433
302	1.720705313
303	1.720482758
304	1.720144793
305	1.71993389
306	1.719566964
307	1.71931663
308	1.719044102
309	1.718722769
310	1.71831728
311	1.718030681
312	1.717680722
313	1.717441838
314	1.717169105
315	1.716813312
316	1.716545075
317	1.716324815
318	1.715928034
319	1.715680495
320	1.715410753
321	1.715088925
322	1.714664826
323	1.714406659
324	1.714094702
325	1.713770368
326	1.713549666
327	1.713267824
328	1.713017035
329	1.712742848
330	1.712395948
331	1.712001036
332	1.711623394
333	1.711337172
334	1.711138191
335	1.710851227
