iter	RMSE
0	1.248154639
1	1.21502351
2	1.179971365
3	1.158001292
4	1.131211402
5	1.106964836
6	1.085310092
7	1.065915407
8	1.043916201
9	1.02144215
10	1.003831998
11	0.9832500812
12	0.9676335452
13	0.951308848
14	0.9398840424
15	0.9219427949
16	0.9128759869
17	0.8993339145
18	0.8876424761
19	0.8719350114
20	0.8623422602
21	0.8526001447
22	0.8472210134
23	0.838381908
24	0.8322039153
25	0.8242555098
26	0.8194005214
27	0.8124266508
28	0.8060904489
29	0.7996371405
30	0.7913930151
31	0.7834956065
32	0.7794372295
33	0.7764844288
34	0.7727436449
35	0.7680427664
36	0.7635568748
37	0.7615009052
38	0.7583115561
39	0.753691869
40	0.7485897628
41	0.7439284792
42	0.7404225713
43	0.7368243916
44	0.7318736406
45	0.7269757395
46	0.7235653993
47	0.7197968525
48	0.7175367089
49	0.7152941399
50	0.7132509017
51	0.7115628548
52	0.7088191535
53	0.7070756861
54	0.7054644373
55	0.7035482213
56	0.7020329504
57	0.7008830983
58	0.6986360669
59	0.6974366424
60	0.6962607466
61	0.6946517953
62	0.6936410558
63	0.6911058638
64	0.6904541667
65	0.6887757267
66	0.6875380736
67	0.6831508705
68	0.6819521292
69	0.6784441128
70	0.6756431247
71	0.6726247151
72	0.6719698197
73	0.6705233759
74	0.6697008235
75	0.6670300834
76	0.6657590586
77	0.6651278921
78	0.6645509897
79	0.6626314586
80	0.6605823405
81	0.65936144
82	0.6576842618
83	0.6570381833
84	0.6562862948
85	0.654964688
86	0.6532016265
87	0.6517005053
88	0.6512046592
89	0.6506584232
90	0.6496729477
91	0.6486438397
92	0.6473469401
93	0.6463610893
94	0.6447157813
95	0.6431746427
96	0.6416486968
97	0.6403136422
98	0.6396675162
99	0.6385911304
100	0.6380865341
101	0.6377519694
102	0.6365543289
103	0.6360027744
104	0.6356002372
105	0.634474629
106	0.6340912413
107	0.6337128786
108	0.6333414198
109	0.6319408815
110	0.6310764568
111	0.630218745
112	0.6291845996
113	0.6284084175
114	0.6278734586
115	0.6270532353
116	0.6262040139
117	0.6254745934
118	0.6249813654
119	0.6239581501
120	0.6230300925
121	0.6226114331
122	0.6210646211
123	0.6200866994
124	0.6188357132
125	0.6182702094
126	0.6174906921
127	0.6165460954
128	0.6158450991
129	0.6156713171
130	0.615137438
131	0.6140188142
132	0.6133522081
133	0.6125095629
134	0.6116161949
135	0.6111588667
136	0.6108938279
137	0.6095897045
138	0.6091273366
139	0.6078754463
140	0.607635369
141	0.6067624577
142	0.6058518348
143	0.605369437
144	0.6049879581
145	0.6044887628
146	0.6035117318
147	0.6022993785
148	0.6012924128
149	0.6009622755
150	0.6003723146
151	0.5997032894
152	0.5990386556
153	0.5986548113
154	0.5982511224
155	0.5976187484
156	0.5969037235
157	0.5962507025
158	0.5958100823
159	0.5951102736
160	0.5943954529
161	0.5937320735
162	0.5929363315
163	0.5920142346
164	0.5912836705
165	0.5907849673
166	0.5903579379
167	0.5894898708
168	0.5886711213
169	0.5878420161
170	0.5870581701
171	0.5864140223
172	0.5855709185
173	0.5850961618
174	0.5843492372
175	0.583723115
176	0.5824930282
177	0.5819007395
178	0.580947682
179	0.5802509352
180	0.5789696663
181	0.5777642504
182	0.5769480446
183	0.5760312383
184	0.5747533049
185	0.5740561444
186	0.5727941273
187	0.571899853
188	0.5708507474
189	0.5697257863
190	0.5688488157
191	0.5682758206
192	0.5675876466
193	0.5663862993
194	0.5654059254
195	0.5647313317
196	0.5636357161
197	0.5627956062
198	0.5619578072
199	0.5606940333
200	0.5598106501
201	0.5588552604
202	0.5579717129
203	0.5569571543
204	0.5560268662
205	0.5549858408
206	0.5540124591
207	0.5530943444
208	0.5519621132
209	0.5510295125
210	0.5498823984
211	0.5491538088
212	0.5479498472
213	0.5469521383
214	0.5461002271
215	0.5454051012
216	0.5447563825
217	0.5437906463
218	0.5427471835
219	0.5418538328
220	0.5410409223
221	0.540192577
222	0.5393419865
223	0.5386787955
224	0.5379795372
225	0.5371325268
226	0.5366069427
227	0.5358360624
228	0.5350674156
229	0.53425557
230	0.5333121165
231	0.5319887966
232	0.5315201766
233	0.5306994936
234	0.5297213772
235	0.529100357
236	0.5283687262
237	0.5273871951
238	0.5265230737
239	0.5252885821
240	0.5244618882
241	0.5237128312
242	0.5230441834
243	0.5222198112
244	0.5214985995
245	0.5209716372
246	0.5204310059
247	0.5199277986
248	0.519214354
249	0.5185436352
250	0.5179228209
251	0.5172308602
252	0.5162564111
253	0.5155718304
254	0.5152380948
255	0.514825588
256	0.5142545721
257	0.5138284347
258	0.5128379793
259	0.5121793343
260	0.5113789363
261	0.5104738916
262	0.5097868136
263	0.5089842978
264	0.5084464852
265	0.5080457133
266	0.5075399785
267	0.5071770654
268	0.5067530739
269	0.5064084988
270	0.5058594125
271	0.5054378725
272	0.5048943109
273	0.5042889024
274	0.5037381913
275	0.5032318854
276	0.5025395755
277	0.5021820182
278	0.5016153956
279	0.501073191
280	0.5006016405
281	0.4999405928
282	0.4994687167
283	0.4990855274
284	0.4986753271
285	0.4978283284
286	0.4972841352
287	0.4968351113
288	0.4963064079
289	0.4957365624
290	0.4953657148
291	0.494525003
292	0.4939685928
293	0.4933924714
294	0.4929302165
295	0.4924886905
296	0.4918956763
297	0.4912395882
298	0.4909308327
299	0.4903696017
300	0.4899808315
301	0.4893475554
302	0.4889344095
303	0.4883338764
304	0.4875905019
305	0.4870263769
306	0.4866048009
307	0.4861381035
308	0.4857286711
309	0.485317262
310	0.484925806
311	0.4843627522
312	0.4839160344
313	0.4833916096
314	0.4829523419
315	0.4824602949
316	0.4817525783
317	0.4812251475
318	0.4807023323
319	0.4803208087
320	0.4799293262
321	0.4794725694
322	0.4790552337
323	0.4786011743
324	0.4780947292
325	0.4776813188
326	0.4772241171
327	0.4767646622
328	0.4764969468
329	0.4761512389
330	0.4756885625
331	0.4750667545
332	0.4746967889
333	0.4742679669
334	0.4738799008
335	0.4734186471
336	0.4731232862
337	0.4726999266
338	0.4721637989
339	0.4717486216
340	0.4713069089
341	0.4710112762
342	0.4705514917
343	0.4701847747
344	0.4698280827
345	0.4696329
346	0.4693249183
347	0.4688023718
348	0.4683723262
349	0.4679616143
350	0.4675169496
351	0.4671177796
352	0.4668185856
353	0.4663677637
354	0.4660593338
355	0.4656181129
356	0.4651487875
357	0.4647301141
358	0.4643876721
359	0.4640562783
360	0.4636605411
361	0.4630698413
362	0.4627250878
363	0.4622975475
364	0.4618193357
365	0.4613996538
366	0.4610203907
367	0.4605127304
368	0.4602612204
369	0.4599323921
370	0.4595141051
371	0.4591348846
372	0.4588366555
373	0.4584640857
374	0.4580431854
375	0.4576192971
376	0.4571143328
377	0.4567105514
378	0.4563141937
379	0.4560123717
380	0.4555932793
381	0.4553613807
382	0.4551259186
383	0.4546983271
384	0.4543031268
385	0.4539191111
386	0.4535233978
387	0.4531848044
388	0.4528028227
389	0.4525003687
390	0.4520970428
391	0.4518899042
392	0.4514999555
393	0.4511996655
394	0.4509271375
395	0.4506443864
396	0.4503810808
397	0.4501236304
398	0.4497202616
399	0.4492931308
400	0.4488424328
401	0.4485670779
402	0.4481585432
403	0.4478282392
404	0.4475352825
405	0.4472385005
406	0.44696627
407	0.4466526724
408	0.4463339732
409	0.4459935379
410	0.445639304
411	0.4454073406
412	0.4451961992
413	0.4450023003
414	0.444684834
415	0.444450409
416	0.4442345937
417	0.4439650805
418	0.4436205979
419	0.4434249988
420	0.4432504754
421	0.4430719632
422	0.4428266912
423	0.4425515746
424	0.4423179866
425	0.4420328075
426	0.4417314746
427	0.4412803387
428	0.4409968547
429	0.4406582923
430	0.440391162
431	0.4401140031
