iter	Passed	Remaining
0	3	10313
1	6	9226
2	10	9583
3	14	9288
4	16	8943
5	20	9265
6	23	8984
7	26	8801
8	30	9032
9	33	8992
10	37	9084
11	40	8836
12	42	8719
13	45	8579
14	48	8460
15	51	8467
16	54	8461
17	58	8564
18	61	8495
19	63	8421
20	66	8380
21	69	8338
22	72	8284
23	75	8229
24	77	8191
25	80	8178
26	83	8140
27	86	8081
28	89	8070
29	91	8048
30	94	8005
31	97	7993
32	100	7988
33	103	7965
34	105	7919
35	108	7891
36	111	7870
37	113	7837
38	116	7823
39	119	7810
40	122	7789
41	125	7784
42	127	7779
43	130	7752
44	133	7722
45	135	7701
46	138	7692
47	141	7680
48	144	7690
49	147	7686
50	150	7679
51	153	7670
52	155	7658
53	158	7644
54	161	7631
55	164	7618
56	167	7627
57	169	7613
58	172	7589
59	175	7578
60	177	7574
61	180	7571
62	183	7565
63	186	7545
64	189	7542
65	194	7645
66	197	7642
67	200	7634
68	203	7628
69	206	7621
70	209	7613
71	211	7599
72	214	7590
73	218	7628
74	221	7624
75	224	7610
76	226	7604
77	229	7603
78	233	7604
79	235	7594
80	238	7595
81	241	7579
82	244	7574
83	246	7558
84	249	7558
85	252	7534
86	254	7528
87	257	7517
88	260	7510
89	263	7501
90	265	7493
91	268	7478
92	271	7477
93	274	7475
94	276	7465
95	279	7461
96	282	7447
97	284	7432
98	287	7426
99	289	7408
100	292	7402
101	295	7397
102	298	7393
103	300	7384
104	303	7382
105	306	7379
106	309	7371
107	312	7365
108	314	7358
109	317	7354
110	320	7346
111	323	7340
112	325	7329
113	327	7316
114	331	7316
115	333	7313
116	336	7306
117	339	7301
118	342	7304
119	345	7305
120	348	7298
121	351	7293
122	353	7289
123	356	7278
124	359	7280
125	362	7277
126	367	7326
127	370	7320
128	373	7313
129	375	7305
130	378	7303
131	381	7296
132	383	7286
133	386	7282
134	389	7276
135	391	7263
136	394	7260
137	397	7255
138	400	7250
139	402	7240
140	405	7234
141	407	7224
142	410	7219
143	413	7211
144	415	7199
145	418	7192
146	420	7178
147	423	7174
148	425	7169
149	428	7164
150	431	7155
151	433	7148
152	436	7142
153	439	7138
154	441	7126
155	444	7119
156	446	7111
157	449	7107
158	452	7102
159	454	7099
160	457	7091
161	459	7083
162	462	7082
163	465	7075
164	468	7070
165	470	7063
166	473	7060
167	477	7070
168	480	7076
169	482	7065
170	485	7058
171	488	7052
172	490	7044
173	493	7039
174	496	7036
175	498	7031
176	501	7026
177	504	7021
178	506	7015
179	509	7013
180	512	7011
181	515	7009
182	517	7002
183	520	6997
184	523	6995
185	526	6990
186	528	6983
187	531	6982
188	534	6979
189	536	6971
190	539	6966
191	542	6959
192	544	6952
193	547	6946
194	549	6936
