iter	RMSE
0	0.3901855685
1	0.3855538458
2	0.3817846024
3	0.3780139879
4	0.3745278258
5	0.3710018781
6	0.3679607178
7	0.3645461503
8	0.3614341418
9	0.3591755962
10	0.3562596506
11	0.3535782475
12	0.3512246963
13	0.3488245723
14	0.3459128746
15	0.3437109525
16	0.3412314192
17	0.3390556867
18	0.337206158
19	0.3349964388
20	0.3329065856
21	0.3309887517
22	0.3291419109
23	0.3275603946
24	0.3259826579
25	0.3244848773
26	0.3231896988
27	0.3218088272
28	0.3210854438
29	0.3198706669
30	0.3185640807
31	0.3173966982
32	0.3162383612
33	0.3151875318
34	0.3141430025
35	0.3132127581
36	0.3123785958
37	0.3113580501
38	0.310411474
39	0.3093817756
40	0.3085862536
41	0.3077025765
42	0.3068223477
43	0.3059475816
44	0.3052780895
45	0.3045312877
46	0.3039418246
47	0.3031473942
48	0.3026084069
49	0.3019307398
50	0.3012746187
51	0.3003078348
52	0.2996374822
53	0.2992700986
54	0.2987812098
55	0.2982598677
56	0.2977096993
57	0.297208024
58	0.2967953586
59	0.2963030856
60	0.2957286428
61	0.2953706128
62	0.2949902327
63	0.2944814993
64	0.2941857456
65	0.2937466868
66	0.2934079094
67	0.2931379863
68	0.2927211104
69	0.2924816443
70	0.2921315985
71	0.2917499053
72	0.2913546831
73	0.2910549381
74	0.2907833751
75	0.2905285356
76	0.2901787075
77	0.2899382672
78	0.2896548793
79	0.2893952777
80	0.2892388871
81	0.2889176062
82	0.2886952915
83	0.2884753532
84	0.2881388554
85	0.2879049128
86	0.2877630258
87	0.2874124036
88	0.287230347
89	0.2871135049
90	0.2868975948
91	0.2866907261
92	0.286417336
93	0.2862284056
94	0.2860367981
95	0.2857577393
96	0.2856128814
97	0.2854264428
98	0.2852524638
99	0.2850553825
100	0.2849035658
101	0.2847936998
102	0.28464913
103	0.2844515459
104	0.2843495961
105	0.2841516415
106	0.2839801606
107	0.2837979187
108	0.2836303461
109	0.2834541812
110	0.2832980845
111	0.2831096061
112	0.2829578704
113	0.2828558458
114	0.2826839193
115	0.2825725315
116	0.282479189
117	0.2823598698
118	0.282243143
119	0.2821297369
120	0.2819524269
121	0.2817496818
122	0.2816044985
123	0.2814551649
124	0.2814009931
125	0.2813316166
126	0.2812387133
127	0.28103072
128	0.2808105351
129	0.2806428131
130	0.2805124127
131	0.2803466142
132	0.2802279411
133	0.2801294639
134	0.2800224274
135	0.2798919385
136	0.27982091
137	0.2797323584
138	0.2795686298
139	0.2794887971
140	0.2793922817
141	0.2792163736
142	0.279111786
143	0.2789856266
144	0.2788480012
145	0.2787659848
146	0.2786660733
147	0.2785530098
148	0.2784576108
149	0.2783802472
150	0.2782873439
151	0.2782038166
152	0.2781106283
153	0.2780332715
154	0.2779429941
155	0.2778718769
156	0.2778188338
157	0.2777216146
158	0.2776812772
159	0.2775717732
160	0.2774854118
161	0.2774398776
162	0.2773927945
163	0.2772963135
164	0.2772311123
165	0.2771119219
166	0.2770229041
167	0.2769232425
168	0.2767772633
169	0.2767123288
170	0.2766007386
171	0.2765292189
172	0.2764895565
173	0.2764185867
174	0.2762994417
175	0.2761744378
176	0.2760449584
177	0.2759890274
178	0.275912897
179	0.2758224783
180	0.2757569654
181	0.275652521
182	0.2755887508
183	0.2755274663
184	0.2754497349
185	0.275350203
186	0.2752815781
187	0.2751529643
188	0.2751119341
189	0.2750570542
190	0.2750163386
191	0.2749654716
192	0.2749141087
193	0.274809924
194	0.274721491
195	0.2746418046
196	0.2745904156
197	0.2745392977
198	0.2744965196
199	0.2743848077
200	0.2743054179
201	0.2742518099
202	0.274163596
203	0.2741062261
204	0.2739895386
205	0.2739113672
206	0.2737643238
207	0.2735860268
208	0.2735020477
209	0.2734474299
210	0.2733618885
211	0.2733133321
212	0.2732693497
213	0.2731360741
214	0.2730543453
215	0.2729847453
216	0.272906134
217	0.2728495812
218	0.2727878897
219	0.2727220401
220	0.2726255701
221	0.2725457322
222	0.2724737934
223	0.2724004995
224	0.2723477209
225	0.2722285894
226	0.2721665219
227	0.2720928584
228	0.2719475663
229	0.2719084785
230	0.2718259339
231	0.2717823848
232	0.2717208752
233	0.2716398322
234	0.2715905952
235	0.2715101728
236	0.2714661
237	0.271340317
238	0.2712532704
239	0.2711923183
240	0.2711292561
241	0.271084297
242	0.2710251498
243	0.2709415594
244	0.2708201551
245	0.2707408275
246	0.2706935663
247	0.2706228605
248	0.2705561669
249	0.2704126019
250	0.2703143871
251	0.270230183
252	0.2701597843
253	0.2700747588
254	0.2699888365
255	0.2699083972
256	0.2698535668
257	0.2697777349
258	0.2697336873
259	0.2696123734
260	0.2695599995
261	0.2695301492
262	0.2694479834
263	0.269386625
264	0.2693222714
265	0.2692766558
266	0.2692055845
267	0.2691172853
268	0.2690121347
269	0.2689407093
270	0.2688012619
271	0.2687420868
272	0.2686913969
273	0.2686456877
274	0.2685920884
275	0.2685167391
276	0.2684383909
277	0.2683668933
278	0.2683303528
279	0.2682849056
280	0.268186391
281	0.2681268813
282	0.2680437858
283	0.2679692331
284	0.2678895911
285	0.2678470973
286	0.2678024017
287	0.267713906
288	0.2676539169
289	0.2675741509
290	0.2675024267
291	0.2674420414
292	0.2673675237
293	0.267285396
294	0.2671865508
295	0.2671388142
296	0.2670451662
297	0.2669962671
298	0.2669489416
299	0.2668868897
300	0.2668199736
301	0.2667949442
302	0.2667570083
303	0.2666734841
304	0.2666172143
305	0.2665548032
306	0.2665144393
307	0.2664616865
308	0.266424539
309	0.2663758968
310	0.2662693078
311	0.2662207425
312	0.2661181924
313	0.2660491941
314	0.2659313044
315	0.2658838909
316	0.2658298166
317	0.2657716903
318	0.2656671077
319	0.2656414488
320	0.2655909253
321	0.265505644
322	0.2654350978
323	0.2653472833
324	0.2653147961
325	0.2652649744
326	0.2652365061
327	0.2651937015
328	0.265151122
329	0.265120836
330	0.2650465571
331	0.2650001561
332	0.2649540166
333	0.2649191214
334	0.2648302515
335	0.264764234
336	0.2647375772
337	0.2647247672
338	0.2646311783
339	0.2645569491
340	0.2645150647
341	0.2644434584
342	0.2644061051
343	0.2643769805
344	0.2643049731
345	0.2642233702
346	0.2641793932
347	0.2641430127
348	0.2640894333
349	0.2640124563
350	0.2638990597
351	0.2638223238
352	0.2637246479
353	0.2636933026
354	0.2636289537
355	0.2635569151
356	0.2635176962
357	0.2634834923
358	0.2633906138
359	0.2633479225
360	0.2633244966
361	0.2632265152
362	0.2631815297
363	0.2631594441
364	0.2630909737
365	0.263036893
366	0.2629536218
367	0.2629026575
368	0.2628766278
369	0.2628362056
370	0.2627507763
371	0.2626954616
372	0.2624786478
373	0.2624462652
374	0.2624257049
375	0.2622175764
376	0.262159478
377	0.2621112082
378	0.2620463944
379	0.2619840207
380	0.2619569223
381	0.2619069212
382	0.2618663849
383	0.2618181996
384	0.2617681152
385	0.2617086937
386	0.2616834685
387	0.2615212824
388	0.2613871351
389	0.2613519997
390	0.2613353383
391	0.2613010329
392	0.2610623873
393	0.2609475938
394	0.2608995093
395	0.2607912222
396	0.2607407461
397	0.2606439986
398	0.2605173201
399	0.2604171968
400	0.2604088885
401	0.2603531655
402	0.2602216379
403	0.2601662896
404	0.2601159147
405	0.2600675868
406	0.2600429574
407	0.2600246005
408	0.2599718359
409	0.2599348444
410	0.259916256
411	0.2598766659
412	0.259841838
413	0.2598161294
414	0.2597861625
415	0.2597730223
416	0.2596271403
417	0.2596057377
418	0.2595557193
419	0.2595201873
420	0.259512942
421	0.2592929249
422	0.2591824164
423	0.2591255389
424	0.2590815332
425	0.2589717516
426	0.2589333605
427	0.2588552372
428	0.2588105931
429	0.2586429625
430	0.2585055739
431	0.2584712878
432	0.2583186084
433	0.258123127
434	0.2579137229
435	0.2578737483
436	0.2577641448
437	0.2577220529
438	0.2577061299
439	0.2576068466
440	0.257504057
441	0.2573942593
442	0.2572797486
443	0.2572460672
444	0.2572237724
445	0.2570779657
446	0.257045422
447	0.2570176923
448	0.2570036707
449	0.2569208549
450	0.2568293189
451	0.2567997886
452	0.256748043
453	0.2566684597
454	0.2566346844
455	0.2565132012
456	0.2564833791
457	0.2563419492
458	0.2562886162
459	0.2562085084
460	0.2561918329
461	0.2560770296
462	0.2559630482
463	0.2559476552
464	0.2558366246
465	0.2556327523
466	0.255587066
467	0.2555096921
468	0.25545042
469	0.2554334987
470	0.2553321959
471	0.2552828744
472	0.2552633854
473	0.2552413714
474	0.2551955811
475	0.255083614
476	0.2549773955
477	0.2549557899
478	0.2547602363
479	0.2546775746
480	0.2546201459
481	0.2545157176
482	0.2544317573
483	0.2543821247
484	0.2543209789
485	0.2542457678
486	0.2542041212
487	0.2540436009
488	0.2540183958
489	0.2539963609
