iter	Passed	Remaining
0	2	987
1	3	863
2	4	803
3	6	776
4	7	756
5	9	743
6	10	733
7	12	724
8	13	713
9	14	706
10	16	696
11	17	691
12	18	687
13	20	683
14	21	685
15	23	682
16	24	679
17	25	676
18	27	674
19	28	671
20	29	669
21	31	666
22	32	664
23	34	662
24	35	662
25	36	659
26	38	657
27	39	653
28	41	653
29	42	650
30	43	648
31	45	647
32	46	645
33	48	644
34	49	641
35	50	640
36	52	638
37	53	636
38	54	635
39	56	633
40	57	631
41	58	629
42	60	627
43	61	626
44	63	624
45	64	623
46	65	621
47	67	619
48	68	617
49	70	616
50	71	615
51	72	613
52	74	612
53	75	610
54	77	609
55	78	608
56	79	606
57	81	605
58	82	603
59	84	602
60	85	600
61	86	599
62	88	597
63	89	596
64	91	595
65	92	593
66	93	592
67	95	590
68	96	589
69	97	587
70	99	586
71	100	585
72	102	583
73	103	582
74	105	581
75	106	579
76	107	578
77	109	576
78	110	575
79	112	574
80	113	573
81	114	571
82	116	571
83	117	569
84	119	568
85	120	567
86	122	566
87	123	564
88	125	563
89	126	562
90	128	561
91	129	559
92	130	558
93	132	556
94	133	555
95	135	554
96	136	553
97	137	551
98	139	550
99	140	549
100	142	548
101	143	546
102	145	545
103	146	544
104	148	543
105	149	541
106	150	540
107	152	539
108	153	538
109	155	536
110	156	535
111	158	533
112	159	532
113	161	531
114	162	530
115	164	529
116	165	527
117	167	526
118	168	525
119	170	524
120	171	522
121	172	521
122	174	520
123	175	518
124	177	517
125	178	516
126	180	514
127	181	513
128	183	512
129	184	510
130	185	509
131	187	508
132	188	506
133	190	505
134	191	504
135	193	503
136	194	501
137	196	500
138	197	498
139	198	497
140	200	496
141	201	494
142	203	493
143	204	492
144	206	490
145	207	489
146	209	488
147	210	486
148	212	485
149	213	484
150	215	482
151	216	481
152	218	480
153	219	478
154	220	477
155	222	476
156	223	475
157	225	473
158	226	472
159	228	471
160	229	469
161	231	468
162	232	467
163	234	465
164	235	464
165	237	463
166	238	461
167	240	460
168	241	459
169	243	457
170	244	456
171	246	455
172	247	453
173	249	452
174	250	451
175	252	449
176	253	448
177	255	447
178	256	445
179	258	444
180	259	443
181	261	441
182	262	440
183	263	438
184	265	437
185	266	436
186	268	434
187	269	433
188	271	431
189	272	430
190	274	429
191	275	427
192	277	426
193	278	424
194	279	423
195	281	421
196	282	420
197	284	419
198	285	417
199	287	416
200	288	414
201	289	413
202	291	411
203	292	410
204	294	408
205	295	407
206	297	406
207	298	404
208	299	403
209	301	401
210	302	400
211	304	399
212	305	397
213	307	396
214	308	395
215	310	393
216	311	392
217	313	390
218	314	389
219	316	387
220	317	386
221	318	385
222	320	383
223	321	382
224	323	380
225	324	379
226	326	378
227	327	376
228	329	375
229	330	373
230	332	372
231	333	370
232	335	369
233	336	368
234	337	366
235	339	365
236	340	363
237	342	362
238	343	360
239	345	359
240	346	358
241	348	356
242	349	355
243	350	353
244	352	352
245	353	350
246	355	349
247	356	347
248	357	346
249	359	344
250	360	343
251	362	342
252	363	340
253	365	339
254	366	337
255	368	336
256	369	335
257	370	333
258	372	332
259	373	330
260	375	329
261	376	327
262	378	326
263	379	324
264	380	323
265	382	321
266	383	320
267	385	319
268	386	317
269	388	316
270	389	314
271	391	313
272	392	312
273	393	310
274	395	309
275	396	307
276	398	306
277	399	304
278	401	303
279	402	302
280	404	300
281	405	299
282	407	297
283	408	296
284	410	294
285	411	293
286	412	292
287	414	290
288	415	289
289	417	287
290	418	286
291	420	284
292	421	283
293	422	281
294	424	280
295	425	279
296	427	277
297	428	276
298	430	274
299	431	273
300	433	271
301	434	270
302	435	268
303	436	267
304	438	265
305	439	264
306	441	263
307	442	261
308	444	260
309	445	258
310	447	257
311	448	255
312	450	254
313	451	253
314	453	251
315	454	250
316	456	248
317	457	247
318	458	246
319	460	244
320	461	243
321	463	241
322	464	240
323	466	238
324	467	237
325	469	236
326	470	234
327	472	233
328	473	231
329	474	230
330	476	228
331	477	227
332	479	225
333	480	224
334	481	222
335	483	221
