iter	RMSE
0	0.2585861847
1	0.2583099524
2	0.258061337
3	0.257758056
4	0.257486671
5	0.2572492371
6	0.256963089
7	0.2567978044
8	0.2565390904
9	0.2562657432
10	0.2560004668
11	0.2557073151
12	0.2554579892
13	0.2552148524
14	0.254941135
15	0.2547133232
16	0.2544809932
17	0.2542098535
18	0.2539357052
19	0.2536718585
20	0.2535829449
21	0.2533093119
22	0.2530313603
23	0.2527574585
24	0.2527574585
25	0.2525193558
26	0.2522548908
27	0.2519882366
28	0.2517723156
29	0.2514935694
30	0.2512436272
31	0.250988674
32	0.2509178494
33	0.2506770663
34	0.2506133215
35	0.2503361993
36	0.2503361993
37	0.2500846346
38	0.2498168539
39	0.2495385678
40	0.2492776899
41	0.2490128234
42	0.2490128234
43	0.2487440218
44	0.2484940014
45	0.2482195573
46	0.2479735861
47	0.2477206054
48	0.2474755317
49	0.2472471649
50	0.2470316989
51	0.246787587
52	0.246787587
53	0.2465283554
54	0.246274931
55	0.246046019
56	0.2458057911
57	0.2455726832
58	0.2453405583
59	0.2452698431
60	0.2450302908
61	0.2448754482
62	0.2448754482
63	0.2446323541
64	0.2443854769
65	0.2441702331
66	0.2439321718
67	0.2437086771
68	0.2434644073
69	0.243227504
70	0.2430660582
71	0.2428389703
72	0.2425894447
73	0.2423542996
74	0.2421331917
75	0.2419050689
76	0.2416803076
77	0.2415092971
78	0.241350554
79	0.2411292966
80	0.2409680913
81	0.2407331514
82	0.2405327946
83	0.240305707
84	0.2400815762
85	0.2400815761
86	0.2398362912
87	0.2396677136
88	0.2396677135
89	0.2394388069
90	0.2392249072
91	0.2390200857
92	0.2387943252
93	0.2385900361
94	0.238590036
95	0.2383626755
96	0.2381401937
97	0.2379154216
98	0.2377133946
99	0.2374828233
100	0.237249961
101	0.2370492552
102	0.2368363242
103	0.2367326987
104	0.2365157635
105	0.2363921829
106	0.2361711653
107	0.2359506589
108	0.2358326044
109	0.2356046376
110	0.2356046375
111	0.2354093418
112	0.2352260003
113	0.2350126463
114	0.2347897939
115	0.2347119723
116	0.2346024257
117	0.234499434
118	0.2342940867
119	0.2340726305
120	0.2339557025
121	0.2337868634
122	0.2336574721
123	0.2334670607
124	0.2332861376
125	0.2332200267
126	0.2330057699
127	0.2328288649
128	0.2326235648
129	0.2324607151
130	0.2324119004
131	0.232248087
132	0.2320522832
133	0.2318647939
134	0.2316696256
135	0.2314839901
136	0.2313378169
137	0.2311759979
138	0.2309821949
139	0.2308307516
140	0.2306332757
141	0.2304300206
142	0.2302388248
143	0.2300315747
144	0.2299317945
145	0.2297358672
146	0.2295260595
147	0.2294339989
148	0.2294339987
149	0.2292385603
150	0.2290835872
151	0.2289077455
152	0.2287264746
153	0.2285984167
154	0.2284438565
155	0.2282547939
156	0.2281533821
157	0.2280966315
158	0.2279141774
159	0.2277767558
160	0.2275850087
161	0.2274094628
162	0.2273661987
163	0.2272475092
164	0.2271342929
165	0.2269400494
166	0.2267415281
167	0.226556695
168	0.2263741977
169	0.2261868891
170	0.2259998708
171	0.2258294279
172	0.2256999326
173	0.2255244845
174	0.2253554353
175	0.2251841861
176	0.225020158
177	0.2248665548
178	0.224855937
179	0.2246936342
180	0.2244941286
181	0.2244941283
182	0.2243682118
183	0.2241751756
184	0.2241751753
185	0.2240211018
186	0.2238516294
187	0.2236885008
188	0.223514735
189	0.2233294323
190	0.2231474445
191	0.222983932
192	0.2228260391
193	0.222669131
194	0.2224766352
195	0.2223113131
196	0.2221610922
197	0.221966888
198	0.2219636988
199	0.2217954204
200	0.2216525825
201	0.2214810585
202	0.2213049461
203	0.2211516964
204	0.2210965661
205	0.2209357564
206	0.2207605319
207	0.2205955185
208	0.2205955182
209	0.2204412069
210	0.2203154788
211	0.2201827444
212	0.2200075372
213	0.2199575762
214	0.2198157278
215	0.2196716808
216	0.2195598666
217	0.2194044997
218	0.2192652617
219	0.2192588614
220	0.2190983328
221	0.2189578608
222	0.218826428
223	0.2186647118
224	0.2185029522
225	0.2183442876
226	0.2182075997
227	0.2180255732
228	0.2179312212
229	0.2177798838
230	0.2176236911
231	0.2174553218
232	0.2173552531
233	0.2172009743
234	0.2170378138
235	0.2168909273
236	0.2167383221
237	0.2166060265
238	0.21649616
239	0.2163805706
240	0.2162214818
241	0.216076679
242	0.2159099848
243	0.2157994502
244	0.2156569799
245	0.2155430366
246	0.2153935414
247	0.2152489683
248	0.2151047933
249	0.2149715333
250	0.2148146682
251	0.2146878573
252	0.2146498834
253	0.2145027793
254	0.2143963108
255	0.2142806555
256	0.2141114264
257	0.2139838286
258	0.2139006424
259	0.213731855
260	0.2135944825
261	0.2134685484
262	0.21332179
263	0.2131955306
264	0.2130664602
265	0.2129197984
266	0.2128774109
267	0.2127259333
268	0.2126152289
269	0.2124653947
270	0.2124472637
271	0.2122999353
272	0.2121491752
273	0.2120020341
274	0.211856786
275	0.2117102893
276	0.2115647398
277	0.211416874
278	0.2113090403
279	0.2111774614
280	0.2110520323
281	0.2109387019
282	0.2108584309
283	0.2107145138
284	0.2106263909
285	0.2105049266
286	0.2103802196
287	0.2102632523
288	0.2101403852
289	0.2100222515
290	0.2099127087
291	0.2098257005
292	0.2097685527
293	0.2096378451
294	0.2094950443
295	0.2094081918
296	0.2092862479
297	0.2091530889
298	0.2090047954
299	0.2088886694
300	0.2087364322
301	0.2087364318
302	0.2086237124
303	0.2085258603
304	0.2084055133
305	0.2082710835
306	0.2081583576
307	0.2081174291
308	0.2080062238
309	0.2078781598
310	0.2077600652
311	0.2076503884
312	0.2075315284
313	0.207418351
314	0.2073034564
315	0.2071656421
316	0.2070154392
317	0.2068970686
318	0.2067979749
319	0.2066845336
320	0.2065627476
321	0.2064634794
322	0.2063242903
323	0.206206107
324	0.2060835644
325	0.2059728437
326	0.2059370428
327	0.2058168761
328	0.2056992966
329	0.2055807784
330	0.2054719436
331	0.205362968
332	0.205260645
333	0.2051344456
334	0.205134445
335	0.2050041189
336	0.2048762161
337	0.2047517078
338	0.2046986195
339	0.2045842774
340	0.2044480468
