iter	Passed	Remaining
0	12	12076
1	16	8051
2	20	6664
3	24	6042
4	28	5621
5	32	5346
6	36	5169
7	40	5002
8	44	4871
9	48	4771
10	52	4686
11	56	4613
12	60	4557
13	64	4510
14	67	4462
15	71	4418
16	75	4389
17	79	4363
18	83	4330
19	87	4300
20	91	4282
21	95	4256
22	99	4239
23	103	4222
24	107	4207
25	111	4190
26	115	4171
27	119	4156
28	123	4141
29	127	4131
30	131	4113
31	135	4102
32	139	4090
33	143	4076
34	147	4067
35	151	4062
36	155	4049
37	159	4034
38	163	4023
39	167	4014
40	171	4008
41	175	3997
42	179	3989
43	183	3980
44	187	3971
45	191	3962
46	194	3952
47	199	3947
48	203	3940
49	207	3934
50	211	3926
51	214	3919
52	219	3913
53	222	3905
54	226	3898
55	230	3889
56	234	3883
57	238	3874
58	242	3869
59	246	3863
60	250	3856
61	254	3851
62	258	3844
63	262	3838
64	266	3834
65	270	3826
66	274	3818
67	278	3812
68	282	3805
69	285	3798
70	289	3791
71	293	3786
72	297	3780
73	301	3775
74	305	3769
75	309	3763
76	313	3759
77	317	3752
78	321	3746
79	325	3742
80	329	3738
81	333	3731
82	337	3725
83	341	3718
84	344	3712
85	348	3706
86	352	3699
87	356	3694
88	360	3689
89	364	3685
90	368	3680
91	372	3676
92	376	3671
93	380	3665
94	384	3661
95	388	3658
96	392	3651
97	396	3645
98	399	3640
99	403	3635
100	407	3630
101	411	3625
102	415	3621
103	419	3616
104	423	3611
105	427	3606
106	431	3602
107	435	3597
108	439	3592
109	443	3587
110	447	3582
111	451	3576
112	455	3572
113	459	3567
114	463	3564
115	467	3560
116	471	3555
117	475	3550
118	478	3545
119	482	3540
120	486	3536
121	490	3531
122	494	3528
123	498	3524
124	502	3519
125	506	3514
126	510	3509
127	514	3505
128	518	3501
129	522	3496
130	526	3491
131	530	3486
132	534	3483
133	538	3478
134	542	3474
135	546	3470
136	550	3466
137	554	3460
138	557	3455
139	561	3451
140	565	3446
141	569	3442
142	573	3437
143	577	3433
144	581	3429
145	585	3424
146	589	3420
147	593	3416
148	597	3411
149	601	3407
150	605	3402
151	608	3396
152	612	3392
153	616	3387
154	620	3382
155	624	3378
156	628	3373
157	632	3368
158	636	3364
159	639	3359
160	643	3355
161	647	3351
162	651	3346
163	655	3342
164	659	3338
165	663	3333
166	667	3329
167	671	3324
168	675	3319
169	679	3315
170	682	3311
171	686	3305
172	690	3301
173	694	3297
174	698	3292
175	702	3287
176	706	3283
177	709	3278
178	714	3275
179	717	3270
180	721	3266
181	725	3262
182	729	3257
183	733	3253
184	737	3248
185	741	3244
186	745	3239
187	748	3234
188	752	3231
189	756	3226
190	760	3223
191	764	3218
192	768	3214
193	772	3210
194	776	3205
195	780	3201
196	784	3197
197	788	3193
198	792	3189
