iter	RMSE
0	0.2512802417
1	0.2503525757
2	0.249447468
3	0.2485745431
4	0.2477082963
5	0.2468530062
6	0.2460280834
7	0.2452577653
8	0.2444781082
9	0.2437400524
10	0.2429643744
11	0.2422288661
12	0.2415062026
13	0.2408067108
14	0.2400923832
15	0.2394048955
16	0.2387538751
17	0.2380895245
18	0.2374561816
19	0.2368069263
20	0.2361846792
21	0.2355893117
22	0.2349807255
23	0.2343615415
24	0.2337893224
25	0.2332416158
26	0.2326682205
27	0.2321377115
28	0.231617133
29	0.231108369
30	0.2305421682
31	0.2300496831
32	0.229554036
33	0.2290701062
34	0.2285711084
35	0.2281106945
36	0.2276033516
37	0.2271658719
38	0.2267104366
39	0.226273439
40	0.2258600967
41	0.2254445796
42	0.2250352357
43	0.2245963781
44	0.2241882537
45	0.2237559926
46	0.2233759163
47	0.2230001493
48	0.2226444176
49	0.2222802475
50	0.2219242747
51	0.2215770199
52	0.2212429883
53	0.2209158907
54	0.2205873389
55	0.220260476
56	0.2199489924
57	0.2196103259
58	0.219303557
59	0.2189934799
60	0.2186714284
61	0.2183781935
62	0.218068901
63	0.2177879744
64	0.2174744304
65	0.2172028832
66	0.2169379576
67	0.2166525527
68	0.2163728991
69	0.2161309679
70	0.2158469493
71	0.2156086246
72	0.2153687957
73	0.2151356118
74	0.214857092
75	0.2146072387
76	0.214382027
77	0.2141517481
78	0.2139351234
79	0.2137225744
80	0.2135115029
81	0.2133085928
82	0.2130724189
83	0.2128762869
84	0.212679934
85	0.2124559603
86	0.2122484753
87	0.2120436719
88	0.2118701783
89	0.2116937318
90	0.2115177828
91	0.2113030823
92	0.2110816062
93	0.2109101138
94	0.2107424598
95	0.2105308076
96	0.2103595278
97	0.2101423076
98	0.2099798187
99	0.2098287181
100	0.2096724065
101	0.2094973865
102	0.2093602223
103	0.2091713082
104	0.2089739711
105	0.208781159
106	0.2085927719
107	0.2084335689
108	0.2083075464
109	0.2081712455
110	0.2080380605
111	0.2078930752
112	0.2077612855
113	0.2076336989
114	0.2074822541
115	0.2073138338
116	0.2071937187
117	0.2070796191
118	0.2069467349
119	0.2068383369
120	0.2066820151
121	0.2065702195
122	0.2064189783
123	0.2063146253
124	0.2062098537
125	0.2061060222
126	0.2059594847
127	0.2058546888
128	0.205727218
129	0.2056120211
130	0.2055199431
131	0.205429182
132	0.2053135089
133	0.2051797152
134	0.2050781405
135	0.2049853267
136	0.2048675971
137	0.2047635226
138	0.2046840066
139	0.2045765238
140	0.2044958621
141	0.2043752573
142	0.2042694464
143	0.2041574366
144	0.2040480381
145	0.2039663951
146	0.203882358
147	0.2038017569
148	0.2036989129
149	0.2036006767
150	0.2035046459
151	0.2034104545
152	0.203333368
153	0.2032414928
154	0.2031519393
155	0.2030476667
156	0.202958363
157	0.2028943673
158	0.2028221501
159	0.2027389415
160	0.2026812088
161	0.2026034989
162	0.2025234664
163	0.2024581142
164	0.202396106
165	0.2022969822
166	0.2022395143
167	0.20216753
168	0.2020845556
169	0.2020126978
170	0.2019555834
171	0.2018925591
172	0.201821184
173	0.2017700498
174	0.2017200574
175	0.20165101
176	0.2015926501
177	0.2015256647
178	0.201467252
179	0.2014184743
180	0.2013574634
181	0.2013099778
182	0.2012475965
183	0.2011886961
184	0.2011276039
185	0.2010825851
186	0.2010336743
187	0.2009798652
188	0.2009291904
189	0.2008464167
190	0.2007880476
191	0.2007463937
192	0.2007065758
193	0.200663762
194	0.200617532
195	0.2005635834
196	0.200509257
197	0.2004711981
198	0.2004271759
199	0.200383255
200	0.2003313636
201	0.2002823831
202	0.200233744
203	0.200198686
204	0.2001555798
205	0.2001037264
206	0.2000506781
207	0.1999864714
208	0.1999410322
209	0.1999100162
210	0.1998730483
211	0.1998287013
212	0.1997926159
213	0.1997509051
214	0.1997113202
215	0.1996684499
216	0.1996318451
217	0.1995958142
218	0.1995585323
219	0.1995321743
220	0.1994953265
221	0.199466233
222	0.199433666
223	0.19937217
224	0.1993477595
225	0.1993141902
226	0.1992877122
227	0.1992488474
228	0.1992079048
229	0.1991757143
230	0.199148548
231	0.1991198133
232	0.1990904795
233	0.199051264
234	0.1989992993
235	0.1989698733
236	0.1989077524
237	0.1988822804
238	0.1988373007
239	0.1988024066
240	0.1987730719
241	0.1987165891
242	0.198689047
243	0.1986461822
244	0.1986272113
245	0.1985854059
246	0.1985464671
247	0.1985219455
248	0.198492657
249	0.1984696359
250	0.198446162
251	0.1984201471
252	0.1983781686
253	0.198351899
254	0.1983260382
255	0.1982887248
256	0.1982455277
257	0.1982142139
258	0.1981952212
259	0.1981717713
260	0.1981410671
261	0.1980893796
262	0.1980645351
263	0.1980432073
264	0.1980222428
265	0.1979993652
266	0.1979714699
267	0.1979356287
268	0.19791946
269	0.1978779097
270	0.1978487881
271	0.1978278608
272	0.1977975165
273	0.1977575131
274	0.1977263316
275	0.1976927755
276	0.1976466058
277	0.197624011
278	0.1975758119
279	0.1975286226
280	0.1975089803
281	0.1974835902
282	0.1974615356
283	0.1974249298
284	0.1973953343
285	0.1973743588
286	0.1973600451
287	0.1973143667
288	0.1972684679
289	0.1972446125
290	0.1972221258
291	0.1972021849
292	0.1971828398
293	0.1971590073
294	0.1971416849
295	0.1971294953
296	0.1971100255
297	0.1970940555
298	0.1970746977
299	0.1970515226
300	0.1970482733
301	0.1970134055
302	0.1969875522
303	0.1969481579
304	0.1969051413
305	0.1968927856
306	0.1968817865
307	0.1968639293
308	0.1968162903
309	0.1967968223
310	0.1967549101
311	0.1967416104
312	0.1967069016
313	0.1966886795
314	0.1966852182
315	0.1966661952
316	0.1966484769
317	0.1966354894
318	0.1966130234
319	0.1966020468
320	0.1965613357
321	0.1965410956
322	0.1965215806
323	0.1965066532
324	0.1964874563
325	0.1964669694
326	0.1964259386
327	0.1963850229
328	0.1963449944
329	0.1963334984
330	0.1963250444
331	0.1963123144
332	0.1963067285
333	0.1962897811
334	0.1962752815
335	0.1962520991
336	0.1962319321
337	0.1962186371
338	0.1962046751
339	0.1961786653
340	0.1961530913
341	0.1961113325
342	0.19609443
343	0.1960813969
344	0.1960564991
345	0.1960440128
346	0.196024658
347	0.1959866364
348	0.1959619294
349	0.1959515825
350	0.1959143922
351	0.1958981076
352	0.1958608286
353	0.1958496773
354	0.1958392368
355	0.195795423
356	0.1957844727
357	0.1957494748
358	0.1957067142
359	0.1956814465
360	0.1956512438
361	0.1956402011
362	0.1956180012
363	0.195594554
364	0.1955662457
365	0.1955429605
366	0.1955260113
367	0.1954915348
368	0.1954633322
369	0.195434564
370	0.1954107001
371	0.1954003976
372	0.195379595
373	0.1953495925
374	0.1953186164
375	0.1952769289
376	0.1952545226
377	0.1952195789
378	0.1952104616
379	0.1951885265
380	0.1951717774
381	0.1951500928
382	0.1951344385
383	0.1951005281
384	0.1950915696
385	0.1950769083
386	0.1950672309
387	0.1950274738
388	0.1949912538
389	0.1949756878
390	0.194960461
391	0.1949393137
392	0.1949065234
393	0.1948812602
394	0.1948572289
395	0.1948487495
396	0.1948380888
397	0.194824232
398	0.1947931158
399	0.1947848065
400	0.1947693985
401	0.1947314339
402	0.194714708
403	0.1947003123
404	0.1946864996
405	0.194655209
406	0.1946418215
407	0.1946213805
408	0.1946078672
409	0.1945868728
410	0.1945646869
411	0.194542421
412	0.1945093771
413	0.1944878073
414	0.1944574824
415	0.1944331628
416	0.1944200039
417	0.1944052182
418	0.1943760634
419	0.1943675099
420	0.1943409177
421	0.1943271667
422	0.1943139966
423	0.1942947025
424	0.1942757209
425	0.1942602565
426	0.1942323734
427	0.1942098404
428	0.1941955764
429	0.1941824106
430	0.194162453
431	0.1941332649
432	0.1941101139
433	0.1940950572
434	0.1940764543
435	0.1940683385
436	0.1940491077
437	0.194017717
438	0.1939900894
439	0.1939753686
440	0.1939280922
441	0.1938930772
442	0.193879199
443	0.193861806
444	0.1938481321
445	0.1938195798
446	0.1937979165
447	0.1937836457
448	0.1937713665
449	0.1937634381
450	0.1937437767
451	0.1937238585
452	0.1937043815
453	0.1936898055
454	0.1936634335
455	0.1936437707
456	0.193627682
457	0.1936116739
458	0.1935764012
459	0.1935685727
460	0.1935490798
461	0.1935220885
462	0.193508748
463	0.1934924824
464	0.193472603
465	0.1934606432
466	0.1934451302
467	0.1934296278
468	0.1934084395
469	0.1933960888
470	0.1933830363
471	0.1933379491
472	0.1933107315
473	0.1932976253
474	0.1932899799
475	0.193277058
476	0.1932332184
477	0.1932196086
478	0.1931982924
479	0.1931907242
480	0.193179041
481	0.193158238
482	0.19314553
483	0.193138056
484	0.1931306443
485	0.1931192741
486	0.1931015266
487	0.1930839477
488	0.1930603622
489	0.1930393224
490	0.193026876
491	0.1930196223
492	0.1930058462
493	0.1929845098
494	0.19297723
495	0.1929617731
496	0.1929330159
497	0.192925794
498	0.1929144039
499	0.1928900518
