iter	Passed	Remaining
0	3	2662
1	5	2221
2	7	2051
3	9	1998
4	11	1939
5	13	1898
6	14	1864
7	16	1845
8	18	1830
9	20	1812
10	22	1803
11	24	1792
12	26	1780
13	28	1773
14	30	1768
15	32	1762
16	34	1755
17	36	1750
18	38	1745
19	40	1742
20	42	1736
21	44	1730
22	46	1724
23	48	1724
24	50	1724
25	52	1721
26	54	1719
27	56	1716
28	58	1713
29	60	1709
30	62	1706
31	64	1703
32	66	1699
33	68	1695
34	70	1693
35	72	1689
36	73	1685
37	75	1682
38	77	1680
39	79	1677
40	81	1674
41	83	1672
42	85	1670
43	87	1667
44	89	1665
45	91	1662
46	93	1660
47	95	1657
48	97	1655
49	99	1654
50	101	1652
51	103	1650
52	105	1647
53	107	1644
54	109	1642
55	111	1641
56	113	1638
57	115	1636
58	117	1634
59	119	1632
60	121	1630
61	123	1628
62	125	1627
63	127	1625
64	129	1621
65	131	1618
66	133	1617
67	135	1615
68	137	1613
69	139	1610
70	141	1609
71	143	1606
72	145	1604
73	147	1603
74	149	1601
75	151	1599
76	153	1597
77	155	1595
78	157	1593
79	159	1591
80	161	1589
81	163	1586
82	165	1584
83	167	1583
84	168	1580
85	170	1578
86	172	1575
87	174	1573
88	176	1571
89	178	1569
90	180	1567
91	182	1565
92	184	1562
93	186	1559
94	188	1557
95	190	1556
96	192	1554
97	194	1553
98	196	1550
99	198	1548
100	200	1545
101	202	1543
102	204	1541
103	206	1539
104	208	1536
105	210	1534
106	212	1532
107	214	1531
108	216	1529
109	218	1527
110	220	1525
111	222	1523
112	224	1521
113	226	1519
114	228	1517
115	230	1515
116	232	1513
117	234	1511
118	236	1509
119	238	1507
120	239	1505
121	241	1503
122	243	1501
123	245	1499
124	247	1496
125	249	1495
126	251	1493
127	253	1491
128	255	1489
129	257	1487
130	259	1485
131	261	1482
132	263	1480
133	265	1478
134	267	1476
135	269	1474
136	271	1473
137	273	1470
138	275	1468
139	277	1466
140	279	1464
141	281	1463
142	283	1461
143	285	1458
144	287	1456
145	289	1454
146	291	1452
147	293	1449
148	295	1447
149	297	1445
150	299	1444
151	301	1442
152	303	1440
153	305	1438
154	307	1436
155	309	1434
156	311	1432
157	313	1430
158	314	1428
159	316	1426
160	318	1424
161	320	1422
162	322	1420
163	324	1418
164	326	1416
165	328	1415
166	331	1413
167	333	1411
168	335	1409
169	336	1407
170	338	1405
171	340	1403
172	342	1401
173	344	1399
174	346	1397
175	348	1395
176	350	1393
177	352	1391
178	354	1389
179	356	1387
180	358	1385
181	360	1383
182	362	1381
183	364	1379
184	366	1377
185	368	1375
186	370	1373
187	372	1371
188	374	1370
189	376	1367
190	378	1365
191	380	1364
192	382	1361
193	384	1359
194	386	1358
195	388	1356
196	390	1354
197	392	1352
198	394	1350
199	401	1363
200	403	1362
201	405	1359
202	407	1357
203	409	1355
204	411	1353
205	413	1351
206	414	1349
207	416	1347
208	418	1344
209	420	1342
210	422	1340
211	424	1338
212	426	1336
213	428	1334
214	430	1332
215	432	1330
216	434	1328
217	436	1326
218	438	1323
219	440	1321
220	442	1319
221	444	1317
222	446	1315
223	448	1313
224	450	1311
225	452	1309
226	454	1306
227	456	1304
228	458	1302
229	460	1300
230	462	1298
231	464	1296
232	466	1294
233	468	1292
234	470	1290
235	472	1288
236	474	1286
237	476	1284
238	478	1282
239	480	1280
240	481	1277
241	483	1275
242	485	1273
243	487	1271
244	489	1269
245	491	1267
246	493	1265
247	495	1263
248	497	1261
249	499	1259
250	501	1257
251	503	1255
252	505	1253
253	507	1251
254	509	1249
255	511	1247
256	513	1245
257	515	1243
258	517	1240
259	519	1238
260	521	1236
261	523	1234
262	525	1232
263	527	1230
264	529	1228
265	531	1226
266	533	1224
267	535	1222
268	537	1220
269	539	1218
270	541	1216
271	543	1214
272	545	1212
273	547	1210
274	549	1208
275	551	1206
276	553	1204
277	555	1202
278	557	1200
279	559	1198
280	561	1196
281	563	1194
282	565	1192
283	567	1190
284	569	1188
285	571	1186
286	572	1183
287	574	1181
288	576	1179
289	578	1177
290	580	1175
291	582	1173
292	584	1171
293	586	1169
294	588	1167
295	590	1165
296	592	1163
297	594	1161
298	596	1159
299	598	1157
300	600	1155
301	602	1153
302	604	1151
303	606	1149
304	608	1147
305	610	1145
306	612	1143
307	614	1141
308	616	1139
309	618	1137
310	620	1135
311	622	1133
312	624	1131
313	626	1129
314	628	1127
315	630	1125
316	632	1123
317	634	1121
318	636	1119
319	638	1117
320	640	1115
321	642	1113
322	644	1111
323	646	1109
324	648	1107
325	650	1105
326	652	1103
327	654	1101
328	656	1099
329	658	1097
330	660	1095
331	662	1093
332	664	1091
333	666	1089
334	668	1087
335	670	1085
336	672	1083
337	674	1081
338	676	1079
339	678	1077
340	680	1075
341	682	1073
342	684	1071
343	686	1069
344	688	1067
345	690	1065
346	692	1063
347	694	1061
348	696	1059
349	698	1057
350	700	1055
351	702	1053
352	704	1051
353	706	1049
354	708	1047
355	710	1045
356	712	1043
357	714	1041
358	716	1039
359	718	1037
360	720	1036
361	723	1035
362	725	1033
363	727	1031
364	729	1029
365	731	1027
366	733	1025
367	735	1023
368	737	1021
369	739	1019
370	741	1017
371	743	1014
372	745	1012
373	747	1010
374	749	1008
375	751	1006
376	753	1004
377	755	1002
378	757	1000
379	759	998
380	761	996
381	763	994
382	764	992
383	766	990
384	768	988
385	770	986
386	772	984
387	774	982
388	776	980
389	778	978
390	780	976
391	782	974
392	784	972
393	786	970
394	788	968
395	790	966
396	792	964
397	794	962
398	796	960
399	798	958
400	800	956
401	802	954
402	804	952
403	806	950
404	808	948
405	810	946
406	812	944
407	814	942
408	816	940
409	818	938
410	820	936
411	822	934
412	824	932
413	826	930
414	828	928
415	830	926
416	832	924
417	834	921
418	836	919
419	838	917
420	840	916
421	842	914
422	844	912
423	846	910
424	848	908
425	850	906
426	852	904
427	854	902
428	856	900
429	858	898
430	860	896
431	862	894
432	864	892
433	866	890
434	868	888
435	870	886
436	872	884
437	874	882
438	876	880
439	878	878
440	880	876
441	882	874
442	884	872
443	886	870
444	888	868
445	890	866
446	892	864
447	894	862
448	896	860
449	898	858
450	900	856
451	902	854
452	904	852
453	906	850
454	907	848
455	909	846
456	911	844
457	913	842
458	915	840
459	917	837
460	919	835
461	921	834
462	923	831
463	925	829
464	927	827
465	929	825
466	931	823
467	933	821
468	935	819
469	937	817
470	939	815
471	941	813
472	943	811
473	945	809
474	947	807
475	949	805
476	951	803
477	953	801
478	955	799
479	957	797
480	959	795
481	961	793
482	963	791
483	965	789
484	967	787
485	968	785
486	970	783
487	972	781
488	974	779
489	976	777
490	978	775
491	980	773
492	982	771
493	984	769
494	986	767
495	988	765
496	990	763
497	992	761
498	994	759
499	996	757
500	998	755
501	1000	753
502	1002	751
503	1004	749
504	1006	747
505	1008	745
506	1010	743
507	1012	741
508	1014	739
509	1016	737
510	1021	737
511	1023	735
512	1024	733
513	1026	731
514	1028	729
515	1030	727
516	1032	725
517	1034	723
518	1036	721
519	1038	719
520	1040	717
521	1042	715
522	1044	713
523	1046	711
524	1048	709
525	1050	707
526	1052	705
527	1054	703
528	1056	701
529	1058	698
530	1060	696
531	1062	694
532	1064	692
533	1066	690
534	1068	688
535	1070	686
536	1072	684
537	1074	682
538	1076	680
539	1078	678
540	1080	676
541	1082	674
542	1084	672
543	1086	670
544	1088	668
545	1090	666
546	1091	664
547	1094	662
548	1096	660
549	1098	658
550	1099	656
551	1102	654
552	1104	652
553	1106	650
554	1107	648
555	1109	646
556	1111	644
557	1113	642
558	1116	640
559	1117	638
560	1119	636
561	1121	634
562	1124	632
563	1126	630
564	1128	628
565	1130	626
566	1131	624
567	1133	622
568	1135	620
569	1137	618
570	1139	616
571	1141	614
572	1143	612
573	1145	610
574	1147	608
575	1149	606
576	1151	604
577	1153	602
578	1155	600
579	1157	598
580	1159	596
581	1162	595
582	1164	592
583	1166	591
584	1168	589
585	1169	586
586	1171	584
587	1173	582
588	1175	580
589	1178	579
590	1179	576
591	1181	575
592	1183	572
593	1185	571
594	1187	569
595	1190	567
596	1192	565
597	1194	563
598	1196	561
599	1198	559
600	1200	557
601	1202	555
602	1203	553
603	1205	551
604	1208	549
605	1209	547
606	1211	545
607	1213	543
608	1215	540
609	1217	539
610	1219	537
611	1221	535
612	1223	532
613	1225	531
614	1227	528
615	1229	526
616	1231	525
617	1233	522
618	1235	520
619	1237	518
620	1239	516
621	1241	514
622	1243	512
623	1245	510
624	1247	508
625	1249	506
626	1251	504
627	1253	502
628	1255	500
629	1257	498
630	1259	496
631	1261	494
632	1263	492
633	1265	490
634	1267	488
635	1269	486
636	1271	484
637	1272	482
638	1274	480
639	1276	478
640	1278	476
641	1280	474
642	1282	472
643	1284	470
644	1286	468
645	1288	466
646	1290	464
647	1292	462
648	1294	460
649	1296	458
650	1298	456
651	1300	454
652	1302	452
653	1306	451
654	1308	449
655	1310	447
656	1312	445
657	1314	443
658	1316	441
659	1318	439
660	1320	437
661	1322	435
662	1324	433
663	1326	431
664	1328	429
665	1330	427
666	1332	425
667	1334	423
668	1336	421
669	1338	419
670	1340	417
671	1342	415
672	1344	413
673	1346	411
674	1348	409
675	1350	407
676	1352	405
677	1354	403
678	1356	401
679	1358	399
680	1360	397
681	1362	395
682	1364	393
683	1366	391
684	1368	389
685	1370	387
686	1372	385
687	1374	383
688	1376	381
689	1378	379
690	1380	377
691	1382	375
692	1384	373
693	1386	371
694	1388	369
695	1390	367
696	1392	365
697	1394	363
698	1396	361
699	1398	359
700	1400	357
701	1402	355
702	1404	353
703	1406	351
704	1408	349
705	1410	347
706	1412	345
707	1414	343
708	1416	341
709	1418	339
710	1420	337
711	1422	335
712	1424	333
713	1426	331
714	1428	329
