iter	RMSE
0	0.2340324109
1	0.2336763868
2	0.2331653855
3	0.2326026382
4	0.2320712464
5	0.2315471325
6	0.2310762409
7	0.2305418254
8	0.230077911
9	0.2295757382
10	0.229013003
11	0.2285779134
12	0.2281677359
13	0.2277285626
14	0.2273077801
15	0.2268385354
16	0.2263254567
17	0.2259229498
18	0.2254845704
19	0.2250937821
20	0.2247250137
21	0.2243245914
22	0.2239446418
23	0.2236177697
24	0.2231360587
25	0.222734617
26	0.2222898569
27	0.2219009632
28	0.2215531798
29	0.2211351374
30	0.2207548318
31	0.2203951605
32	0.2200366546
33	0.2196835403
34	0.2194370521
35	0.2190549018
36	0.2187285477
37	0.2183722098
38	0.2180884781
39	0.21766192
40	0.2173124564
41	0.2171422663
42	0.2167774872
43	0.2164320955
44	0.2161878517
45	0.2158489728
46	0.2155427499
47	0.2153452023
48	0.2150351776
49	0.2147126793
50	0.214478138
51	0.2141584771
52	0.2138609282
53	0.2136166728
54	0.2132962182
55	0.2130668107
56	0.2127146204
57	0.2124040008
58	0.2121370397
59	0.2118658394
60	0.2115781721
61	0.2113489274
62	0.2110489195
63	0.2108101771
64	0.210532949
65	0.2102773194
66	0.2100031512
67	0.2097294612
68	0.2094832811
69	0.2092704601
70	0.2090107064
71	0.2087466935
72	0.2085178561
73	0.2083004952
74	0.2080335158
75	0.2077794146
76	0.2075792662
77	0.2073730326
78	0.2073281493
79	0.2071399388
80	0.2069954486
81	0.2067633847
82	0.2066337825
83	0.2064180715
84	0.2062114973
85	0.2059778951
86	0.2058149209
87	0.205654488
88	0.2056112477
89	0.2054275098
90	0.2052319822
91	0.2050462114
92	0.204864054
93	0.2047601107
94	0.2045407812
95	0.2044091328
96	0.2042092719
97	0.204018902
98	0.2038490936
99	0.2037396752
100	0.2035931256
101	0.2034332406
102	0.2032702415
103	0.203140724
104	0.2029471346
105	0.2027841218
106	0.2026397826
107	0.2024957406
108	0.2023078842
109	0.202210222
110	0.202070295
111	0.201947321
112	0.201810237
113	0.2017027078
114	0.2015698762
115	0.2014156014
116	0.2013061919
117	0.2011410945
