[I 2026-07-17 11:09:35,402] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:09:57,401] Trial 0 finished with value: -0.18445276487382878 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.00020907617066698157, 'max_depth': 3, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0009873519074907252, 'reg_lambda': 0.07395252641459764, 'gamma': 0.3144921327192625}. Best is trial 0 with value: -0.18445276487382878.
[I 2026-07-17 11:10:14,594] Trial 1 finished with value: -0.1808117913422128 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1150, 'learning_rate': 0.000619215881172848, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.10844226055031118, 'reg_lambda': 0.0006821197288556616, 'gamma': 0.00015760572981556335}. Best is trial 0 with value: -0.18445276487382878.
[I 2026-07-17 11:10:17,325] Trial 3 finished with value: -0.230441739718636 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.327362438883697, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00010287395853891103, 'reg_lambda': 1.2740548243139301e-06, 'gamma': 0.0024172067955721007}. Best is trial 3 with value: -0.230441739718636.
[I 2026-07-17 11:10:24,792] Trial 2 finished with value: -0.2130073964815955 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 950, 'learning_rate': 0.3353329964419478, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 5.622695706345945, 'reg_lambda': 89.30303504897444, 'gamma': 2.9905131299125102e-05}. Best is trial 3 with value: -0.230441739718636.
[I 2026-07-17 11:10:26,187] Trial 4 finished with value: -0.1740387882641855 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.013252672577218376, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 1.27678023234899, 'reg_lambda': 0.042069505358461504, 'gamma': 2.772104343050806}. Best is trial 3 with value: -0.230441739718636.
[I 2026-07-17 11:10:28,770] Trial 5 finished with value: -0.17727870866030462 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1400, 'learning_rate': 0.013118839559984389, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 30.16201882995127, 'reg_lambda': 2.888044512729136, 'gamma': 1.0622884675266941}. Best is trial 3 with value: -0.230441739718636.
[I 2026-07-17 11:11:01,745] Trial 6 finished with value: -0.19021754422076323 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.00023665557319801545, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 1.8363883053155023e-05, 'reg_lambda': 3.696727896228742e-05, 'gamma': 1.5492785459176846e-05}. Best is trial 3 with value: -0.230441739718636.
[I 2026-07-17 11:11:26,921] Trial 7 finished with value: -0.1737671257117529 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.00263813569697904, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 5.700966931982426e-05, 'reg_lambda': 0.0040495285554516085, 'gamma': 0.021359445652561548}. Best is trial 3 with value: -0.230441739718636.
[I 2026-07-17 11:11:30,103] Trial 8 finished with value: -0.19270352198630036 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.004001020411882114, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 75.62196021125682, 'reg_lambda': 0.0014480892830316717, 'gamma': 20.799583821597647}. Best is trial 3 with value: -0.230441739718636.
[I 2026-07-17 11:11:33,120] Trial 9 finished with value: -0.18656209893306158 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1000, 'learning_rate': 0.1952631317044525, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.019520422086949894, 'reg_lambda': 1.4634605979902892e-05, 'gamma': 7.865232311815955e-05}. Best is trial 3 with value: -0.230441739718636.
[I 2026-07-17 11:11:34,804] Trial 10 finished with value: -0.17026099406232081 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.12228358574468481, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 7.115289477119437e-05, 'reg_lambda': 1.360478365272354e-05, 'gamma': 1.5426585256102174}. Best is trial 3 with value: -0.230441739718636.
