[I 2026-07-17 11:27:56,151] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:28:23,736] Trial 1 finished with value: -0.1972023771568172 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.00042707875515191193, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 8.839949020829236, 'reg_lambda': 0.002208730195610644, 'gamma': 0.0001415173750767683}. Best is trial 1 with value: -0.1972023771568172.
[I 2026-07-17 11:28:31,447] Trial 0 finished with value: -0.2181264611904657 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.0005449598328587554, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 5.399985182228201e-05, 'reg_lambda': 3.541745943185661e-05, 'gamma': 0.00016709545119086177}. Best is trial 0 with value: -0.2181264611904657.
[I 2026-07-17 11:28:50,356] Trial 2 finished with value: -0.18741447363025462 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.0023551293850423436, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.3730560913354573, 'reg_lambda': 77.30840438102231, 'gamma': 0.0219139968930196}. Best is trial 0 with value: -0.2181264611904657.
[I 2026-07-17 11:28:51,976] Trial 4 finished with value: -0.19772783221656914 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.12129655270082634, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0001191705356577097, 'reg_lambda': 36.9650458606714, 'gamma': 2.0361007306528957e-06}. Best is trial 0 with value: -0.2181264611904657.
[I 2026-07-17 11:29:00,212] Trial 3 finished with value: -0.18778601129354439 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.04228283110541993, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 5.844441406799499e-05, 'reg_lambda': 1.1554305338487527, 'gamma': 0.05274433812957802}. Best is trial 0 with value: -0.2181264611904657.
[I 2026-07-17 11:29:05,333] Trial 5 finished with value: -0.1837457799125359 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.011405949916232531, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 2.631386940546182e-05, 'reg_lambda': 0.003352040496921653, 'gamma': 0.10695456826661592}. Best is trial 0 with value: -0.2181264611904657.
[I 2026-07-17 11:29:22,527] Trial 6 finished with value: -0.22243673504979153 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.056763194332492176, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.26329976241287867, 'reg_lambda': 0.0019289576617379015, 'gamma': 1.5895739710859425e-05}. Best is trial 6 with value: -0.22243673504979153.
[I 2026-07-17 11:29:51,716] Trial 7 finished with value: -0.1904609556688597 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.0045233208958767816, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 1.0920598233491215e-06, 'reg_lambda': 15.617097253418457, 'gamma': 0.003717037908488055}. Best is trial 6 with value: -0.22243673504979153.
[I 2026-07-17 11:29:59,067] Trial 8 finished with value: -0.19411051900526266 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 400, 'learning_rate': 0.025228316738941263, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 1.7375350837893167e-06, 'reg_lambda': 6.749492897736705e-05, 'gamma': 0.010999280415857434}. Best is trial 6 with value: -0.22243673504979153.
[I 2026-07-17 11:30:12,359] Trial 9 finished with value: -0.18713771892602768 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1000, 'learning_rate': 0.0026599764312105496, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00017962067486262877, 'reg_lambda': 0.028126828841114726, 'gamma': 1.4666825836689636e-06}. Best is trial 6 with value: -0.22243673504979153.
[I 2026-07-17 11:30:13,756] Trial 10 finished with value: -0.19712667629666006 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1300, 'learning_rate': 0.3736809515828194, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 41.028141930045145, 'reg_lambda': 0.16911243590443414, 'gamma': 0.00022723953865619082}. Best is trial 6 with value: -0.22243673504979153.
[I 2026-07-17 11:30:18,560] Trial 11 finished with value: -0.20253478774788602 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1250, 'learning_rate': 0.4715939869621253, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.014919127413840827, 'reg_lambda': 0.0001456344401640383, 'gamma': 1.1294254403076585}. Best is trial 6 with value: -0.22243673504979153.
[I 2026-07-17 11:30:23,404] Trial 12 finished with value: -0.1839963414062596 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1450, 'learning_rate': 0.003461867299466826, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.009590555147494302, 'reg_lambda': 0.01938643507386616, 'gamma': 0.07863742684502295}. Best is trial 6 with value: -0.22243673504979153.
[I 2026-07-17 11:30:37,471] Trial 13 finished with value: -0.23375108934659206 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1050, 'learning_rate': 0.00011963375422529623, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.014996552057094485, 'reg_lambda': 4.080512239714292e-05, 'gamma': 0.005200699982541201}. Best is trial 13 with value: -0.23375108934659206.
[I 2026-07-17 11:30:57,767] Trial 14 finished with value: -0.1928995752339569 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.0015736150769004122, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 1.5722541728381747, 'reg_lambda': 1.5203631209935323e-05, 'gamma': 0.010260819790815348}. Best is trial 13 with value: -0.23375108934659206.
[I 2026-07-17 11:31:02,162] Trial 15 finished with value: -0.22339699785236256 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2150, 'learning_rate': 0.0003471452169661359, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.002660077943432959, 'reg_lambda': 0.0004431756836520522, 'gamma': 50.57879368904164}. Best is trial 13 with value: -0.23375108934659206.
[I 2026-07-17 11:31:03,422] Trial 16 finished with value: -0.19406428211135215 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 200, 'learning_rate': 0.15296530558613244, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.7680446602322697, 'reg_lambda': 2.5233497258150235e-05, 'gamma': 4.943281507762908e-05}. Best is trial 13 with value: -0.23375108934659206.
[I 2026-07-17 11:31:06,310] Trial 17 finished with value: -0.2242892222229508 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.4853952088978787, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.019801456096314663, 'reg_lambda': 3.6075880576296743e-06, 'gamma': 76.90030597393246}. Best is trial 13 with value: -0.23375108934659206.
[I 2026-07-17 11:31:10,200] Trial 18 finished with value: -0.2331811908582734 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.00011649258321633346, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.01639695000117054, 'reg_lambda': 1.0969098413849956e-06, 'gamma': 18.044951417315687}. Best is trial 13 with value: -0.23375108934659206.
[I 2026-07-17 11:32:08,205] Trial 19 finished with value: -0.22582986073024974 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.00011432051480085222, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.012501349033547536, 'reg_lambda': 2.6784327612505077e-06, 'gamma': 5.2672924600856266e-05}. Best is trial 13 with value: -0.23375108934659206.
[I 2026-07-17 11:32:51,607] Trial 20 finished with value: -0.21281838761274424 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.00025159623243716157, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.005619886231424212, 'reg_lambda': 1.114767481528468e-06, 'gamma': 4.7857997168510313e-05}. Best is trial 13 with value: -0.23375108934659206.
[I 2026-07-17 11:32:54,341] Trial 21 finished with value: -0.24380815428015054 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2050, 'learning_rate': 0.00015705594229226374, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.06999903705238222, 'reg_lambda': 2.4323201483653526e-06, 'gamma': 96.58225981498231}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:32:57,879] Trial 22 finished with value: -0.23473191980280284 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2200, 'learning_rate': 0.00010636300084155497, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.02811909734589043, 'reg_lambda': 1.0555443388928104e-06, 'gamma': 42.52031563752198}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:33:01,347] Trial 23 finished with value: -0.23467510938113073 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2150, 'learning_rate': 0.00010883733823215924, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.004362825153644249, 'reg_lambda': 1.190686015772526e-06, 'gamma': 41.07865477634428}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:33:04,502] Trial 24 finished with value: -0.23591987737103187 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.00010144208341070413, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.003813922760942236, 'reg_lambda': 0.0003391127391630353, 'gamma': 44.396395518785575}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:33:07,692] Trial 25 finished with value: -0.22981206495550804 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.00021143150447311944, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.052188818642083495, 'reg_lambda': 1.4030781141114615e-06, 'gamma': 42.83464912968045}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:33:13,516] Trial 26 finished with value: -0.22990613998285303 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.00010764502702604387, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.002383414913216977, 'reg_lambda': 1.1204739623679739e-06, 'gamma': 2.0749399436285993}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:33:17,522] Trial 27 finished with value: -0.23244360359467103 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.00010269748662257398, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.001995424159132838, 'reg_lambda': 3.3393347459692565e-06, 'gamma': 4.119202362400299}. Best is trial 21 with value: -0.24380815428015054.
[I 2026-07-17 11:33:30,102] Trial 28 finished with value: -0.23048462403780837 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1750, 'learning_rate': 0.00010266595986190076, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0010167949143399897, 'reg_lambda': 3.7486519016655834e-06, 'gamma': 1.088691039822708}. Best is trial 21 with value: -0.24380815428015054.
