[I 2026-07-17 11:27:58,447] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:28:15,072] Trial 1 finished with value: -0.20982913962222516 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.0008871395634763522, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 5.181266583484836e-05, 'reg_lambda': 0.0029733997290671394, 'gamma': 0.16038375833669577}. Best is trial 1 with value: -0.20982913962222516.
[I 2026-07-17 11:28:18,198] Trial 0 finished with value: -0.35751465230997637 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.0009262733727516047, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00038086919528587015, 'reg_lambda': 0.22940375597688717, 'gamma': 0.03701130922951937}. Best is trial 0 with value: -0.35751465230997637.
[I 2026-07-17 11:28:29,424] Trial 2 finished with value: -0.11585772002585454 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.02625481796504797, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 7.651710505110931e-06, 'reg_lambda': 0.054800348626880685, 'gamma': 4.900827606807978e-06}. Best is trial 0 with value: -0.35751465230997637.
[I 2026-07-17 11:28:32,320] Trial 3 finished with value: -0.1482719217884657 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.06030219372153711, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.3201449804399479, 'reg_lambda': 0.001026951220964386, 'gamma': 2.487291879592924}. Best is trial 0 with value: -0.35751465230997637.
[I 2026-07-17 11:28:34,769] Trial 4 finished with value: -0.3618337865289328 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.0008955339210500923, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 5.587077025875709e-06, 'reg_lambda': 0.001649505471266784, 'gamma': 1.3350170154396157e-06}. Best is trial 4 with value: -0.3618337865289328.
[I 2026-07-17 11:28:41,280] Trial 5 finished with value: -0.35486134289603777 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 850, 'learning_rate': 0.00021030604049632467, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.04268094662814727, 'reg_lambda': 16.268258687441826, 'gamma': 6.659847122102139e-06}. Best is trial 4 with value: -0.3618337865289328.
[I 2026-07-17 11:28:45,713] Trial 6 finished with value: -0.36600848114569223 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1200, 'learning_rate': 0.00010388882460673712, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 1.4568994856409315e-05, 'reg_lambda': 0.00011015870792454334, 'gamma': 5.669576010669957}. Best is trial 6 with value: -0.36600848114569223.
[I 2026-07-17 11:28:49,785] Trial 7 finished with value: -0.12391337696231032 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 900, 'learning_rate': 0.013257731722099143, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 5.3997404024969207e-05, 'reg_lambda': 1.6674066302409635e-05, 'gamma': 0.10204374874033026}. Best is trial 6 with value: -0.36600848114569223.
[I 2026-07-17 11:29:29,381] Trial 8 finished with value: -0.2987942890925692 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.00018361763878602122, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00011625950683303206, 'reg_lambda': 3.978779740010769e-06, 'gamma': 0.0035136110271290536}. Best is trial 6 with value: -0.36600848114569223.
[I 2026-07-17 11:29:51,063] Trial 10 finished with value: -0.14779815087862927 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.19236004635170698, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.02307484818496296, 'reg_lambda': 0.000865326956860128, 'gamma': 0.0013821212828793673}. Best is trial 6 with value: -0.36600848114569223.
[I 2026-07-17 11:29:51,355] Trial 9 finished with value: -0.11883025739498207 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.006600768078260693, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.37619487961440823, 'reg_lambda': 0.9851172857780948, 'gamma': 0.0871152467943309}. Best is trial 6 with value: -0.36600848114569223.
