[I 2026-07-17 11:29:43,064] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:29:51,962] Trial 1 finished with value: -0.19366827457123584 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.016283177023822086, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 68.8542609564766, 'reg_lambda': 97.36512841320047, 'gamma': 2.9574799789503833e-06}. Best is trial 1 with value: -0.19366827457123584.
[I 2026-07-17 11:30:06,170] Trial 0 finished with value: -0.1568781797825095 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.0010971371254425383, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 2.278241608104346, 'reg_lambda': 0.20682448113110485, 'gamma': 4.5835985622981164e-05}. Best is trial 1 with value: -0.19366827457123584.
[I 2026-07-17 11:30:10,986] Trial 2 finished with value: -0.17656600296596914 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1000, 'learning_rate': 0.0022149702223102064, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 13.438754213478264, 'reg_lambda': 1.8549172136575347e-05, 'gamma': 1.2738377596292553e-06}. Best is trial 1 with value: -0.19366827457123584.
[I 2026-07-17 11:30:12,843] Trial 3 finished with value: -0.1195187815324021 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 750, 'learning_rate': 0.07459804802592607, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 27.329518499266154, 'reg_lambda': 73.58747386831979, 'gamma': 3.290185098985748e-06}. Best is trial 1 with value: -0.19366827457123584.
[I 2026-07-17 11:30:17,313] Trial 4 finished with value: -0.32546430023126066 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.0004986755313300104, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 17.26536587615783, 'reg_lambda': 7.27145813750061e-05, 'gamma': 0.007118444216460201}. Best is trial 4 with value: -0.32546430023126066.
[I 2026-07-17 11:30:19,768] Trial 5 finished with value: -0.12035516088833845 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 900, 'learning_rate': 0.19984750884773642, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 4.029600254382949, 'reg_lambda': 0.03280880740429156, 'gamma': 0.5839883347564325}. Best is trial 4 with value: -0.32546430023126066.
[I 2026-07-17 11:30:21,467] Trial 6 finished with value: -0.3820873549857242 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 300, 'learning_rate': 0.0001176687848410731, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 6.457544787671253e-05, 'reg_lambda': 9.846456420889748, 'gamma': 0.33062638319482185}. Best is trial 6 with value: -0.3820873549857242.
[I 2026-07-17 11:30:26,116] Trial 7 finished with value: -0.2989451003872662 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.00043786678368748613, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 76.5553782399263, 'reg_lambda': 4.3352006245195126e-06, 'gamma': 0.0005744021564894364}. Best is trial 6 with value: -0.3820873549857242.
[I 2026-07-17 11:30:28,058] Trial 8 finished with value: -0.20075759091121193 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1200, 'learning_rate': 0.13194506546756024, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 94.39276909327012, 'reg_lambda': 66.55011144964793, 'gamma': 0.0040284571784105164}. Best is trial 6 with value: -0.3820873549857242.
[I 2026-07-17 11:30:40,145] Trial 9 finished with value: -0.2092538003417291 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.0005877462721719706, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.025389539725474055, 'reg_lambda': 3.1056182168761395, 'gamma': 0.0008705950739175597}. Best is trial 6 with value: -0.3820873549857242.
[I 2026-07-17 11:30:49,845] Trial 10 finished with value: -0.09880729171154934 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.00815067467321611, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.051861120995602195, 'reg_lambda': 0.0016576204075800806, 'gamma': 0.00010896006140929764}. Best is trial 6 with value: -0.3820873549857242.
