[I 2026-07-17 11:36:52,867] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:37:07,871] Trial 1 finished with value: -0.06330221374528056 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.04250632444272636, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.655821543205675e-06, 'reg_lambda': 4.487302320414905e-06, 'gamma': 0.47820063652838607}. Best is trial 1 with value: -0.06330221374528056.
[I 2026-07-17 11:37:11,679] Trial 0 finished with value: -0.06527533423525696 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.20760904078743642, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 8.76052628960204e-05, 'reg_lambda': 0.014049157370464914, 'gamma': 0.5365571722889194}. Best is trial 0 with value: -0.06527533423525696.
[I 2026-07-17 11:37:14,474] Trial 2 finished with value: -0.10611324780661124 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2000, 'learning_rate': 0.023473672466706695, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 2.2945132520844056, 'reg_lambda': 9.686625237991966e-05, 'gamma': 94.26051155537007}. Best is trial 2 with value: -0.10611324780661124.
[I 2026-07-17 11:37:21,148] Trial 3 finished with value: -0.1038274107004681 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.0002853411254603237, 'max_depth': 3, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.007102943760562786, 'reg_lambda': 0.0010517995509346238, 'gamma': 0.6586318935516416}. Best is trial 2 with value: -0.10611324780661124.
[I 2026-07-17 11:37:22,900] Trial 4 finished with value: -0.13167983212143286 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.00012737453943239616, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 55.526520125717916, 'reg_lambda': 1.122317528633647e-06, 'gamma': 2.74400944455776}. Best is trial 4 with value: -0.13167983212143286.
[I 2026-07-17 11:37:26,537] Trial 5 finished with value: -0.06429560079223239 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 750, 'learning_rate': 0.06004167878427376, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.1262002754434861, 'reg_lambda': 0.002335627070255654, 'gamma': 0.1059419684728484}. Best is trial 4 with value: -0.13167983212143286.
[I 2026-07-17 11:37:35,789] Trial 6 finished with value: -0.06201186598297368 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.004658774106297058, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.011692920995848321, 'reg_lambda': 0.014792379136228644, 'gamma': 0.3225247020889699}. Best is trial 4 with value: -0.13167983212143286.
[I 2026-07-17 11:37:49,787] Trial 7 finished with value: -0.07325846021080887 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1000, 'learning_rate': 0.1245594254594747, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 3.809163170688609e-05, 'reg_lambda': 2.577803147164055e-05, 'gamma': 0.035668029734527956}. Best is trial 4 with value: -0.13167983212143286.
[I 2026-07-17 11:38:05,627] Trial 8 finished with value: -0.12625615388910583 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.00011678278471673317, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.2564152432130099, 'reg_lambda': 1.9210155808313938e-05, 'gamma': 3.7701394964052077e-06}. Best is trial 4 with value: -0.13167983212143286.
[I 2026-07-17 11:38:32,837] Trial 9 finished with value: -0.06389837392979893 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1750, 'learning_rate': 0.0023104699529516693, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.08390545027969086, 'reg_lambda': 0.15399613488008596, 'gamma': 0.008946816513109416}. Best is trial 4 with value: -0.13167983212143286.
[I 2026-07-17 11:38:33,426] Trial 10 finished with value: -0.08326071840854489 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 400, 'learning_rate': 0.0046841093870964605, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.03451579240344549, 'reg_lambda': 75.39566993944507, 'gamma': 0.014963759273732752}. Best is trial 4 with value: -0.13167983212143286.
[I 2026-07-17 11:38:36,619] Trial 11 finished with value: -0.06489933421076956 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2000, 'learning_rate': 0.15095900329353248, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 1.7108183751192718e-05, 'reg_lambda': 0.5763468468557416, 'gamma': 2.1219284968908094}. Best is trial 4 with value: -0.13167983212143286.
[I 2026-07-17 11:38:39,375] Trial 12 finished with value: -0.13473690343427222 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.00017981009504005284, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 3.26871297986286e-06, 'reg_lambda': 5.542778972245352e-05, 'gamma': 1.9303238596949425e-06}. Best is trial 12 with value: -0.13473690343427222.
