[I 2026-07-17 11:42:43,519] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:42:48,137] Trial 1 finished with value: -0.21876587556225058 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 900, 'learning_rate': 0.0006601430372337424, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.40124300772354526, 'reg_lambda': 3.010993780895597e-06, 'gamma': 48.90057423733425}. Best is trial 1 with value: -0.21876587556225058.
[I 2026-07-17 11:43:04,393] Trial 0 finished with value: -0.19455766895885773 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.000738252706797318, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0256074028641749, 'reg_lambda': 3.2502479747354265, 'gamma': 0.012601228332946466}. Best is trial 1 with value: -0.21876587556225058.
[I 2026-07-17 11:43:16,005] Trial 2 finished with value: -0.1800542881646554 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.021903343411949414, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.399056678412646, 'reg_lambda': 19.695083284250103, 'gamma': 3.4172088372422356e-06}. Best is trial 1 with value: -0.21876587556225058.
[I 2026-07-17 11:43:44,493] Trial 3 finished with value: -0.17279094938114936 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2250, 'learning_rate': 0.0011139605794357947, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 8.573498895631439e-06, 'reg_lambda': 6.653984151318805, 'gamma': 0.009465631758281549}. Best is trial 1 with value: -0.21876587556225058.
[I 2026-07-17 11:43:50,026] Trial 4 finished with value: -0.18491760695821072 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.0005851022080073924, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.5198698322734409, 'reg_lambda': 0.014021589414465305, 'gamma': 0.01986868093082326}. Best is trial 1 with value: -0.21876587556225058.
[I 2026-07-17 11:43:53,431] Trial 5 finished with value: -0.18826984357913668 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1600, 'learning_rate': 0.001056977995568872, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.006683843348286628, 'reg_lambda': 0.02202390218727419, 'gamma': 7.8149535580262866}. Best is trial 1 with value: -0.21876587556225058.
[I 2026-07-17 11:44:17,032] Trial 6 finished with value: -0.22148992645804708 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2100, 'learning_rate': 0.10194868067114968, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 4.12298091039665e-06, 'reg_lambda': 0.0004497001948315327, 'gamma': 1.840101578711658e-06}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:44:22,649] Trial 7 finished with value: -0.16961792396055222 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.004982284012254235, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.47108327657937366, 'reg_lambda': 8.195389114247063e-06, 'gamma': 0.00027222058086100767}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:44:26,753] Trial 8 finished with value: -0.18550750032011537 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.020152766467155494, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0004140330312219503, 'reg_lambda': 1.8510916958888306e-05, 'gamma': 8.509120943784442}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:44:30,896] Trial 9 finished with value: -0.1720244293882967 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 300, 'learning_rate': 0.018540417669825508, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0005063972954943459, 'reg_lambda': 0.04703492299075877, 'gamma': 1.1041421010241309e-05}. Best is trial 6 with value: -0.22148992645804708.
[I 2026-07-17 11:45:05,301] Trial 10 finished with value: -0.1767345309810997 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2100, 'learning_rate': 0.005328559209877452, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.1227544372660674e-05, 'reg_lambda': 0.00013934166138485375, 'gamma': 0.001119171523011517}. Best is trial 6 with value: -0.22148992645804708.
