[I 2026-07-17 11:44:07,700] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:44:13,130] Trial 0 finished with value: -0.19450422903553194 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.0008613690452062254, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0003482949549975798, 'reg_lambda': 1.3420345667047882, 'gamma': 20.28437974475419}. Best is trial 0 with value: -0.19450422903553194.
[I 2026-07-17 11:44:19,141] Trial 1 finished with value: -0.16635226968609287 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.0026768945027456086, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 24.66348857714077, 'reg_lambda': 0.0003100212679408226, 'gamma': 1.7459444876399394e-05}. Best is trial 0 with value: -0.19450422903553194.
[I 2026-07-17 11:45:17,846] Trial 2 finished with value: -0.17974749148326039 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.008252013094626452, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 2.5413242041759786e-06, 'reg_lambda': 4.474031764999592, 'gamma': 0.0006698896357200673}. Best is trial 0 with value: -0.19450422903553194.
[I 2026-07-17 11:45:29,981] Trial 4 finished with value: -0.17097187275709458 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1050, 'learning_rate': 0.0014106000071195644, 'max_depth': 12, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 1.4315395835462652e-05, 'reg_lambda': 0.12435266051304911, 'gamma': 0.103498511229261}. Best is trial 0 with value: -0.19450422903553194.
[I 2026-07-17 11:45:38,929] Trial 3 finished with value: -0.18593217665013065 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.0007283974590907667, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0005586021926811218, 'reg_lambda': 0.0019007880084872246, 'gamma': 0.03970017694608199}. Best is trial 0 with value: -0.19450422903553194.
[I 2026-07-17 11:46:09,126] Trial 5 finished with value: -0.1773576861762702 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.016276578211488375, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.13850442431136167, 'reg_lambda': 0.01729068532917936, 'gamma': 3.500900792034471e-05}. Best is trial 0 with value: -0.19450422903553194.
[I 2026-07-17 11:46:09,411] Trial 6 finished with value: -0.17105064399401337 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1200, 'learning_rate': 0.06153368428620041, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 10.109939361035321, 'reg_lambda': 0.40003352211900856, 'gamma': 1.3020474362613932}. Best is trial 0 with value: -0.19450422903553194.
[I 2026-07-17 11:46:15,760] Trial 7 finished with value: -0.16148725959357413 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.005420777046181946, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.2843499699106776, 'reg_lambda': 9.887075581820457e-06, 'gamma': 0.00048196761407261104}. Best is trial 0 with value: -0.19450422903553194.
[I 2026-07-17 11:46:20,940] Trial 8 finished with value: -0.18605712116711154 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2850, 'learning_rate': 0.009047596043107148, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0001510272583658078, 'reg_lambda': 18.805685175165234, 'gamma': 22.305627718839045}. Best is trial 0 with value: -0.19450422903553194.
[I 2026-07-17 11:46:22,249] Trial 9 finished with value: -0.19061676399664312 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1000, 'learning_rate': 0.03650742683475942, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 42.69430201819021, 'reg_lambda': 7.259004182858947e-05, 'gamma': 6.036966958813929}. Best is trial 0 with value: -0.19450422903553194.
[I 2026-07-17 11:46:33,598] Trial 10 finished with value: -0.1684886141266057 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.030822655447532203, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 4.243665822958873e-05, 'reg_lambda': 1.4321471043721483, 'gamma': 2.3575788986918662e-06}. Best is trial 0 with value: -0.19450422903553194.
