[I 2026-07-17 11:46:45,729] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:46:49,993] Trial 1 finished with value: -0.7514599596066118 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 200, 'learning_rate': 0.001298142952992779, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 6.136621834896204, 'reg_lambda': 0.0390962248708459, 'gamma': 1.0902380802661817}. Best is trial 1 with value: -0.7514599596066118.
[I 2026-07-17 11:46:56,625] Trial 0 finished with value: -0.6480217853551653 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.0024949072453878452, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.014445386057382261, 'reg_lambda': 0.0007621479981206541, 'gamma': 1.1567412564292667}. Best is trial 1 with value: -0.7514599596066118.
[I 2026-07-17 11:47:01,701] Trial 4 finished with value: -0.7292473834163903 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1700, 'learning_rate': 0.4573733026663899, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.08666685653256548, 'reg_lambda': 0.48673845327897747, 'gamma': 0.6998155179131956}. Best is trial 1 with value: -0.7514599596066118.
[I 2026-07-17 11:47:02,795] Trial 2 finished with value: -0.7128995000264701 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 200, 'learning_rate': 0.0024886544431919535, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 4.273614885078878, 'reg_lambda': 0.0010597517925877216, 'gamma': 0.017240134439332873}. Best is trial 1 with value: -0.7514599596066118.
[I 2026-07-17 11:47:07,729] Trial 3 finished with value: -0.6787606087061144 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.0414711126930385, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.000188834188579422, 'reg_lambda': 0.01090757238315977, 'gamma': 5.7297480174785774e-05}. Best is trial 1 with value: -0.7514599596066118.
[I 2026-07-17 11:47:25,420] Trial 5 finished with value: -0.8978101165223421 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.17855923813292468, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 6.802451781548751e-06, 'reg_lambda': 8.812258112637808e-05, 'gamma': 0.002042532514530903}. Best is trial 5 with value: -0.8978101165223421.
[I 2026-07-17 11:47:38,829] Trial 6 finished with value: -0.6553761493732857 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.026539468398888197, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0016402262827874556, 'reg_lambda': 1.511772750772615, 'gamma': 0.250328190215153}. Best is trial 5 with value: -0.8978101165223421.
[I 2026-07-17 11:47:51,973] Trial 7 finished with value: -0.636265845123607 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.0016357504562294278, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 1.6727422539383114, 'reg_lambda': 3.0060621133571518e-05, 'gamma': 0.02308595937817198}. Best is trial 5 with value: -0.8978101165223421.
[I 2026-07-17 11:47:54,262] Trial 8 finished with value: -0.7624569045102116 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.00036545943305356637, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0005923897376482484, 'reg_lambda': 2.2396451592441458, 'gamma': 75.78319773070605}. Best is trial 5 with value: -0.8978101165223421.
[I 2026-07-17 11:47:57,484] Trial 9 finished with value: -0.6833725205561578 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.0008414904827465393, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.1278703952747057, 'reg_lambda': 9.745718291793075, 'gamma': 0.9205775374848507}. Best is trial 5 with value: -0.8978101165223421.
[I 2026-07-17 11:48:00,510] Trial 10 finished with value: -0.7045606623403893 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.04764975814428712, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.7826947162833019, 'reg_lambda': 1.240551556591816, 'gamma': 29.254689338418235}. Best is trial 5 with value: -0.8978101165223421.
