[I 2026-07-17 11:47:39,713] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:47:51,807] Trial 0 finished with value: -1.4964456642327404 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 650, 'learning_rate': 0.2567376623218067, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 8.032915757539469, 'reg_lambda': 62.92087148830389, 'gamma': 2.7238390827074434e-06}. Best is trial 0 with value: -1.4964456642327404.
[I 2026-07-17 11:47:53,529] Trial 1 finished with value: -1.3819389136583557 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 850, 'learning_rate': 0.19102164169567148, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.1730190285656e-06, 'reg_lambda': 0.003393621352084653, 'gamma': 16.05868976051239}. Best is trial 0 with value: -1.4964456642327404.
[I 2026-07-17 11:47:57,417] Trial 3 finished with value: -1.3363484039222682 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1900, 'learning_rate': 0.1325369869915772, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.734212104248873, 'reg_lambda': 1.6612050200054282, 'gamma': 4.821998647935851}. Best is trial 0 with value: -1.4964456642327404.
[I 2026-07-17 11:48:21,090] Trial 2 finished with value: -1.3876213023215824 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.0004102308179319657, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 6.238643545281557e-06, 'reg_lambda': 0.0002334768707789707, 'gamma': 2.3748139696181882e-06}. Best is trial 0 with value: -1.4964456642327404.
[I 2026-07-17 11:49:11,798] Trial 4 finished with value: -1.2871090400028216 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.0006015921557265252, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.009764294949388285, 'reg_lambda': 6.848391275003654, 'gamma': 0.0014604043135715361}. Best is trial 0 with value: -1.4964456642327404.
[I 2026-07-17 11:49:20,384] Trial 5 finished with value: -1.356308690265797 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.3283773676994636, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 3.166169883545341e-05, 'reg_lambda': 0.052741506328851454, 'gamma': 0.5042418867573587}. Best is trial 0 with value: -1.4964456642327404.
[I 2026-07-17 11:49:24,637] Trial 6 finished with value: -1.37896189128175 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2900, 'learning_rate': 0.46461455678147734, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 74.88558310450134, 'reg_lambda': 0.003203688891524858, 'gamma': 0.00036699799926208907}. Best is trial 0 with value: -1.4964456642327404.
[I 2026-07-17 11:49:37,262] Trial 7 finished with value: -1.2187626248105559 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.0015263184293263093, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0169662512897999, 'reg_lambda': 41.89625177144153, 'gamma': 0.30003941887135255}. Best is trial 0 with value: -1.4964456642327404.
[I 2026-07-17 11:49:43,776] Trial 8 finished with value: -1.38889035770802 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.0004609670201785476, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 1.6690462417265992, 'reg_lambda': 13.314488548468317, 'gamma': 1.3117929207142867}. Best is trial 0 with value: -1.4964456642327404.
[I 2026-07-17 11:49:58,081] Trial 9 finished with value: -1.8739445148417475 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.2536582855025335, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 5.218236704573565e-05, 'reg_lambda': 0.008404993793283386, 'gamma': 0.0007617764022688643}. Best is trial 9 with value: -1.8739445148417475.
[I 2026-07-17 11:50:04,168] Trial 10 finished with value: -1.2625475319965704 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.010489214707083002, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 29.479125966662167, 'reg_lambda': 5.802321043943821e-06, 'gamma': 1.180605820981304e-05}. Best is trial 9 with value: -1.8739445148417475.
