[I 2026-07-17 11:57:42,900] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 11:57:54,139] Trial 0 finished with value: -0.1121994738701093 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.2663397490177159, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0006442182779528708, 'reg_lambda': 20.426151584978598, 'gamma': 0.002149226815851538}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:57:54,439] Trial 1 finished with value: -0.05933731544669867 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 200, 'learning_rate': 0.0018493425468620263, 'max_depth': 3, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.038551719748626055, 'reg_lambda': 0.41824862853008143, 'gamma': 39.37961159029829}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:57:55,757] Trial 2 finished with value: -0.058937160728702045 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.0003556175977012031, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 3.5780154389404206e-06, 'reg_lambda': 0.24283181700454942, 'gamma': 2.381586004516321e-06}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:57:58,676] Trial 3 finished with value: -0.05933662139515912 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2500, 'learning_rate': 0.00011379385270951172, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 27.553950046034377, 'reg_lambda': 5.1078134180239785e-06, 'gamma': 0.0023531452035165045}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:58:00,567] Trial 4 finished with value: -0.05905824492069947 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.0001621895599809733, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 2.4069189237341556e-06, 'reg_lambda': 4.972971363250842, 'gamma': 0.34536031918179216}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:58:16,011] Trial 5 finished with value: -0.07361614788211936 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.01361420939314878, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 7.181631043587094e-06, 'reg_lambda': 0.8615921576459642, 'gamma': 0.002143862605529467}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:58:28,961] Trial 6 finished with value: -0.05861519433213185 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2150, 'learning_rate': 0.00011256153578760667, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 4.258364229969688e-06, 'reg_lambda': 0.016532800026510416, 'gamma': 0.0001611836984682805}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:58:30,928] Trial 7 finished with value: -0.06482879904735844 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 800, 'learning_rate': 0.025418121468744056, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.007476203197359113, 'reg_lambda': 0.05336359486737005, 'gamma': 6.618998198722469e-06}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:58:45,399] Trial 8 finished with value: -0.059044001710998786 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1500, 'learning_rate': 0.00012484974472091177, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.20506020704652012, 'reg_lambda': 0.0052659198402381325, 'gamma': 0.0008457465678535592}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:58:45,936] Trial 9 finished with value: -0.06884612990832448 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.1561735550024342, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0013861405065669484, 'reg_lambda': 0.00017354116287172968, 'gamma': 4.8364815615974756e-06}. Best is trial 0 with value: -0.1121994738701093.
[I 2026-07-17 11:58:49,627] Trial 10 finished with value: -0.05865507931706128 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1950, 'learning_rate': 0.00014265858682410473, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.06882023683388183, 'reg_lambda': 5.8839796710941405e-05, 'gamma': 0.0005356455225286463}. Best is trial 0 with value: -0.1121994738701093.
