[I 2026-07-17 12:07:29,063] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 12:07:44,656] Trial 1 finished with value: -0.07923282032572379 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1050, 'learning_rate': 0.010816667878218169, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 5.231637415470405e-06, 'reg_lambda': 4.5438919090574746e-05, 'gamma': 0.001597060832737645}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:07:59,441] Trial 0 finished with value: -0.06625205753312444 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1900, 'learning_rate': 0.0073771577214531234, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.008865178464056277, 'reg_lambda': 3.9423038498047434e-05, 'gamma': 1.2390726988254078e-05}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:08:02,067] Trial 2 finished with value: -0.05646387459172938 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1550, 'learning_rate': 0.0050247186719976815, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0003521893367864711, 'reg_lambda': 0.287683136237456, 'gamma': 0.08908457038922504}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:08:04,035] Trial 3 finished with value: -0.05831861572129211 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1600, 'learning_rate': 0.10193919059374641, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 3.0884654441532704, 'reg_lambda': 3.122675160806906e-06, 'gamma': 1.2026054377954938}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:08:10,603] Trial 4 finished with value: -0.058171216645085344 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.004154198705151387, 'max_depth': 12, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 7.015497851083318, 'reg_lambda': 5.615838277219463, 'gamma': 1.912608274855372e-06}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:08:11,746] Trial 5 finished with value: -0.05789767181552948 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.07484971048110749, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 2.3569033194096876, 'reg_lambda': 0.3831140764630355, 'gamma': 0.09818795774967375}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:08:14,607] Trial 6 finished with value: -0.05829821238170167 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2300, 'learning_rate': 0.3229563216590062, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 8.699655845315288e-05, 'reg_lambda': 1.4222389336690151e-05, 'gamma': 0.7000696920124296}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:08:16,058] Trial 7 finished with value: -0.0581166325017676 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.00011154332735269867, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 2.422645259976654e-06, 'reg_lambda': 5.2806858920922304e-05, 'gamma': 0.0053263772465238215}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:08:26,555] Trial 8 finished with value: -0.057360922246392006 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.0002323138075464849, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 1.8796922251455443, 'reg_lambda': 0.002984660420815568, 'gamma': 1.5822542214274136e-05}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:08:29,040] Trial 9 finished with value: -0.05829868136353422 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1950, 'learning_rate': 0.07409415695416324, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.11510318800668741, 'reg_lambda': 0.004508185074525414, 'gamma': 19.47527003551784}. Best is trial 1 with value: -0.07923282032572379.
[I 2026-07-17 12:08:32,430] Trial 10 finished with value: -0.05829821238170167 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2800, 'learning_rate': 0.2100480964231614, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 4.866353811876689e-06, 'reg_lambda': 83.98058730390305, 'gamma': 1.1839990142212657}. Best is trial 1 with value: -0.07923282032572379.
