[I 2026-07-17 12:33:01,460] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 12:33:22,248] Trial 2 finished with value: -0.06691840404450357 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2000, 'learning_rate': 0.00018195599476407214, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 8.765906008215206e-05, 'reg_lambda': 1.8195845665970694, 'gamma': 7.080649375942698e-06}. Best is trial 2 with value: -0.06691840404450357.
[I 2026-07-17 12:33:22,518] Trial 1 finished with value: -0.06736367528461487 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.08169877137177091, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 30.421672880394848, 'reg_lambda': 0.04036818636472602, 'gamma': 1.729550546114133e-06}. Best is trial 1 with value: -0.06736367528461487.
[I 2026-07-17 12:33:24,689] Trial 0 finished with value: -0.06737038011821724 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.0012058813454845587, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 33.34125074624846, 'reg_lambda': 0.006862641964726537, 'gamma': 7.878262309539764e-05}. Best is trial 0 with value: -0.06737038011821724.
[I 2026-07-17 12:33:30,843] Trial 4 finished with value: -0.1288089905092453 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.22635578893495922, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.1063514516963002, 'reg_lambda': 6.848822687630295e-05, 'gamma': 4.987157187801775e-06}. Best is trial 4 with value: -0.1288089905092453.
[I 2026-07-17 12:33:33,515] Trial 3 finished with value: -0.06737919540216075 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.0021753686716365654, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 2.320607927492192e-05, 'reg_lambda': 20.839127456333355, 'gamma': 2.6220208324312706}. Best is trial 4 with value: -0.1288089905092453.
[I 2026-07-17 12:33:45,488] Trial 6 finished with value: -0.08728820316195599 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.32489135749518155, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 6.638874443391007, 'reg_lambda': 0.00012030159870809806, 'gamma': 2.2262462651482566e-06}. Best is trial 4 with value: -0.1288089905092453.
[I 2026-07-17 12:33:45,518] Trial 5 finished with value: -0.06606443965218715 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.0003609339089696723, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.3301563661863937e-06, 'reg_lambda': 0.00012704949915089592, 'gamma': 0.0023595585227865106}. Best is trial 4 with value: -0.1288089905092453.
[I 2026-07-17 12:33:53,380] Trial 7 finished with value: -0.11316422234994948 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.11970200274469653, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00011403147487934668, 'reg_lambda': 6.265904390422621e-05, 'gamma': 7.65880740758364e-05}. Best is trial 4 with value: -0.1288089905092453.
[I 2026-07-17 12:33:55,591] Trial 8 finished with value: -0.06738998657789144 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1750, 'learning_rate': 0.005018517962994299, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 75.19787900097512, 'reg_lambda': 1.791979006082083e-06, 'gamma': 0.42508398651975177}. Best is trial 4 with value: -0.1288089905092453.
[I 2026-07-17 12:33:57,064] Trial 9 finished with value: -0.09623741108349898 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.29512324813901375, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 2.2419156175078553e-05, 'reg_lambda': 8.18805782082589, 'gamma': 0.005038106030904079}. Best is trial 4 with value: -0.1288089905092453.
[I 2026-07-17 12:34:09,454] Trial 10 finished with value: -0.06731863223684886 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.001060884067700293, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 2.5563387338444616e-06, 'reg_lambda': 28.218096528359112, 'gamma': 0.009446331364548748}. Best is trial 4 with value: -0.1288089905092453.
[I 2026-07-17 12:34:13,169] Trial 11 finished with value: -0.06706434348801092 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.00023698540325513097, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 2.614520733160954e-06, 'reg_lambda': 4.042771238220795, 'gamma': 4.613580546818682e-06}. Best is trial 4 with value: -0.1288089905092453.
[I 2026-07-17 12:34:16,452] Trial 12 finished with value: -0.12961639741707526 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1150, 'learning_rate': 0.2847674644804576, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 6.60742713551599e-05, 'reg_lambda': 0.015742525717846154, 'gamma': 4.940181143613645e-05}. Best is trial 12 with value: -0.12961639741707526.
