[I 2026-07-17 13:38:07,105] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 13:38:13,224] Trial 1 finished with value: -0.03257729296998807 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2300, 'learning_rate': 0.2955989377180688, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.018083549151423968, 'reg_lambda': 0.0012155782385690904, 'gamma': 85.21013982584653}. Best is trial 1 with value: -0.03257729296998807.
[I 2026-07-17 13:38:13,694] Trial 0 finished with value: -0.031593794557391294 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 350, 'learning_rate': 0.0039343792327854715, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 17.262354009799772, 'reg_lambda': 1.052237771566433, 'gamma': 0.2931083005943558}. Best is trial 1 with value: -0.03257729296998807.
[I 2026-07-17 13:38:25,662] Trial 3 finished with value: -0.030738662821301676 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.00021644623805975417, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0009511110473898668, 'reg_lambda': 0.7485342539618466, 'gamma': 0.0014364668935957072}. Best is trial 1 with value: -0.03257729296998807.
[I 2026-07-17 13:38:38,590] Trial 2 finished with value: -0.0681206337262454 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.4215907988249041, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 2.4707299058279547e-06, 'reg_lambda': 3.167740462458141e-05, 'gamma': 0.0014422394935787938}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:38:43,128] Trial 4 finished with value: -0.026959093384066758 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.00456580281973464, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 4.5115613161143466e-05, 'reg_lambda': 13.983678250393009, 'gamma': 1.340541719078711e-06}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:38:45,263] Trial 5 finished with value: -0.03242599091081989 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.0008225230188089903, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 6.210155897250062e-06, 'reg_lambda': 0.00036037335515308407, 'gamma': 3.2771453727763022}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:38:58,342] Trial 6 finished with value: -0.03870940491421108 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.02193694139131636, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.21744581438985675, 'reg_lambda': 0.00013079248314678212, 'gamma': 0.016510406414742336}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:38:59,779] Trial 7 finished with value: -0.03252146569266721 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1300, 'learning_rate': 0.48734191930158777, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 3.8659851815453057, 'reg_lambda': 67.611124471851, 'gamma': 3.610967843700189}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:39:00,079] Trial 8 finished with value: -0.03255775905314606 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 350, 'learning_rate': 0.018516948623424977, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 6.677990641913576e-06, 'reg_lambda': 0.00044613091160397046, 'gamma': 5.196261229874676}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:39:04,218] Trial 9 finished with value: -0.030861901500091406 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.00021602575218917887, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.128970022564821, 'reg_lambda': 4.313915825906494e-06, 'gamma': 1.443649639937721e-06}. Best is trial 2 with value: -0.0681206337262454.
[I 2026-07-17 13:39:12,455] Trial 10 finished with value: -0.029294148824858694 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.0005987896088431609, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00016879606838635057, 'reg_lambda': 0.0002378636050211445, 'gamma': 0.0003201570694011612}. Best is trial 2 with value: -0.0681206337262454.
