[I 2026-07-17 13:58:41,678] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 13:58:48,849] Trial 1 finished with value: -0.026322936672237666 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2850, 'learning_rate': 0.00013289856668144827, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 13.226859901833008, 'reg_lambda': 0.0004292109428336026, 'gamma': 0.9998008082350528}. Best is trial 1 with value: -0.026322936672237666.
[I 2026-07-17 13:58:50,774] Trial 0 finished with value: -0.026301832501125166 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.008926907763464423, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 28.82556586361742, 'reg_lambda': 1.3937106501874594e-06, 'gamma': 0.016526746326499947}. Best is trial 1 with value: -0.026322936672237666.
[I 2026-07-17 13:58:51,273] Trial 3 finished with value: -0.026301517823570417 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 400, 'learning_rate': 0.024813709659576494, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 3.1988364180575863e-06, 'reg_lambda': 9.921686936074597e-05, 'gamma': 6.24447956073699}. Best is trial 1 with value: -0.026322936672237666.
[I 2026-07-17 13:58:52,613] Trial 2 finished with value: -0.026325946270888564 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.033685703735461134, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.247783542618128e-05, 'reg_lambda': 62.03200869395918, 'gamma': 44.43303692568223}. Best is trial 2 with value: -0.026325946270888564.
[I 2026-07-17 13:58:53,610] Trial 4 finished with value: -0.026333722926111126 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.002109633155431807, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.551265134271361, 'reg_lambda': 8.651463482870496e-05, 'gamma': 45.861763929527044}. Best is trial 4 with value: -0.026333722926111126.
[I 2026-07-17 13:58:54,438] Trial 5 finished with value: -0.02575443080628566 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 750, 'learning_rate': 0.001067386898720977, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.4596320157543147, 'reg_lambda': 1.932158315451128e-06, 'gamma': 1.4013672025111563}. Best is trial 4 with value: -0.026333722926111126.
[I 2026-07-17 13:58:57,351] Trial 6 finished with value: -0.02454771787290619 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 350, 'learning_rate': 0.00290553549697654, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0694317831963228, 'reg_lambda': 6.229307193778362e-06, 'gamma': 0.03231829246538896}. Best is trial 4 with value: -0.026333722926111126.
[I 2026-07-17 13:58:59,955] Trial 7 finished with value: -0.02632359468753277 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.005721936193734085, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 81.28391509641784, 'reg_lambda': 0.005959497383421354, 'gamma': 0.0006516308773647944}. Best is trial 4 with value: -0.026333722926111126.
[I 2026-07-17 13:59:03,199] Trial 8 finished with value: -0.024929935514161675 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.0006008838358607656, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 7.474273253923345, 'reg_lambda': 3.721562811543421e-05, 'gamma': 0.20819616709990493}. Best is trial 4 with value: -0.026333722926111126.
[I 2026-07-17 13:59:18,460] Trial 9 finished with value: -0.08972691733842333 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.3431028444658219, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0011297926926014047, 'reg_lambda': 6.444718956249293, 'gamma': 6.943156198600863e-06}. Best is trial 9 with value: -0.08972691733842333.
[I 2026-07-17 13:59:19,615] Trial 10 finished with value: -0.024779965179474017 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 850, 'learning_rate': 0.0027947899710899595, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.5515325500992391, 'reg_lambda': 5.064239891630663, 'gamma': 0.6053850097319955}. Best is trial 9 with value: -0.08972691733842333.
