[I 2026-07-17 15:00:36,259] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:00:45,702] Trial 1 finished with value: -0.15574750752360875 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.26691041929956366, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.029941128592128677, 'reg_lambda': 2.440537808598825, 'gamma': 2.3474282265568946e-05}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:00:49,066] Trial 0 finished with value: -0.0576244327303611 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.32933248954409405, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 8.083196806234204, 'reg_lambda': 0.00047602024649516625, 'gamma': 2.455305625871359e-05}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:00:57,253] Trial 2 finished with value: -0.07474216378029087 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1300, 'learning_rate': 0.0561926353204373, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 4.994706403979618e-06, 'reg_lambda': 0.0007093581731034572, 'gamma': 0.0024847095147261297}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:01:06,395] Trial 3 finished with value: -0.054371559973818984 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1250, 'learning_rate': 0.00010619644477403508, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00020344061189807246, 'reg_lambda': 5.934683368003486e-05, 'gamma': 0.11984825038566504}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:01:07,410] Trial 4 finished with value: -0.05440779914954899 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1000, 'learning_rate': 0.008319451323275823, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.004413799544360422, 'reg_lambda': 0.15711042040503956, 'gamma': 12.2902975237272}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:01:09,041] Trial 5 finished with value: -0.05442316444257156 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.0024485750731480537, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.4981456772796635, 'reg_lambda': 0.0004084802089656652, 'gamma': 14.084512839498696}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:01:25,280] Trial 6 finished with value: -0.05438014097872865 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.00011834028642312352, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.5654680769318245, 'reg_lambda': 0.0017559647578959602, 'gamma': 6.101695119448687e-05}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:01:26,659] Trial 7 finished with value: -0.05440365929366647 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.08489680247529197, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.026824125629383085, 'reg_lambda': 10.601747601586112, 'gamma': 6.798926679944345}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:01:49,031] Trial 8 finished with value: -0.055137190246915255 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.0006279783664563908, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 1.7455621037595407e-06, 'reg_lambda': 57.91225540884704, 'gamma': 0.0019326050882339525}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:01:49,366] Trial 9 finished with value: -0.0544221880114422 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.0002334434814639989, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 97.97247193170251, 'reg_lambda': 0.0015760473107453011, 'gamma': 54.59210803820314}. Best is trial 1 with value: -0.15574750752360875.
[I 2026-07-17 15:01:51,711] Trial 10 finished with value: -0.05441961692210373 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2100, 'learning_rate': 0.00033248248013518226, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.3362071465833856e-05, 'reg_lambda': 0.013336392602048268, 'gamma': 50.38946768470746}. Best is trial 1 with value: -0.15574750752360875.
