[I 2026-07-17 15:03:41,491] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:04:06,136] Trial 2 finished with value: -0.030353507727892384 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.01379421596638243, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.20124206215374377, 'reg_lambda': 1.986204990178491, 'gamma': 1.5821910091011537e-06}. Best is trial 2 with value: -0.030353507727892384.
[I 2026-07-17 15:04:07,040] Trial 1 finished with value: -0.019329463523894724 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1000, 'learning_rate': 0.03834467608750669, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 2.340506260451231e-05, 'reg_lambda': 1.3352611004745651e-06, 'gamma': 1.087934741697455}. Best is trial 2 with value: -0.030353507727892384.
[I 2026-07-17 15:04:10,449] Trial 0 finished with value: -0.024328994036216342 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 850, 'learning_rate': 0.03133156612414915, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.11222166783050877, 'reg_lambda': 0.44720969408463923, 'gamma': 0.11465285826362032}. Best is trial 2 with value: -0.030353507727892384.
[I 2026-07-17 15:04:13,453] Trial 5 finished with value: -0.019333741618439308 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.011732919518335713, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 5.396680506248087, 'reg_lambda': 0.03527643687158089, 'gamma': 0.23640819323797185}. Best is trial 2 with value: -0.030353507727892384.
[I 2026-07-17 15:04:30,055] Trial 3 finished with value: -0.03738744303876147 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2300, 'learning_rate': 0.10359987818856248, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0179171837354998, 'reg_lambda': 1.1536288074117265, 'gamma': 0.0015222492224770165}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:04:32,522] Trial 4 finished with value: -0.019341325518619973 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.26680190009979615, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.283710458781911, 'reg_lambda': 0.3096357650406696, 'gamma': 9.220901472531935}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:04:34,888] Trial 6 finished with value: -0.019344575397716317 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.00014724284889507257, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 1.3085205782436092e-05, 'reg_lambda': 2.0903783501092553e-06, 'gamma': 10.276662451675877}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:04:39,619] Trial 7 finished with value: -0.0193018899295145 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2100, 'learning_rate': 0.00020338939348975895, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 1.1420533333960733e-06, 'reg_lambda': 7.228338342371659e-05, 'gamma': 0.00027070934616714416}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:04:42,351] Trial 8 finished with value: -0.019343580723080782 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.00040728968189934143, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00014312657175171074, 'reg_lambda': 0.14641774965443158, 'gamma': 0.0001248148972661608}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:04:46,985] Trial 9 finished with value: -0.02891605656015522 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.11105057143317075, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0011183620022297597, 'reg_lambda': 0.03500438157178422, 'gamma': 0.002107193440748509}. Best is trial 3 with value: -0.03738744303876147.
[I 2026-07-17 15:04:54,166] Trial 10 finished with value: -0.026971263252903856 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2550, 'learning_rate': 0.03314307983978485, 'max_depth': 6, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.005266989949960261, 'reg_lambda': 2.7087613619154127, 'gamma': 3.248980155685365e-05}. Best is trial 3 with value: -0.03738744303876147.
