[I 2026-07-17 15:29:03,708] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:29:18,547] Trial 1 finished with value: -0.033172066863804237 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.04788933467006293, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 5.122860923845961e-05, 'reg_lambda': 3.294214592215157, 'gamma': 3.933194579584511e-06}. Best is trial 1 with value: -0.033172066863804237.
[I 2026-07-17 15:29:19,385] Trial 0 finished with value: -0.01905101135016514 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.010068711447288974, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0006353550042451336, 'reg_lambda': 2.5929525374281072e-05, 'gamma': 46.10330035022843}. Best is trial 1 with value: -0.033172066863804237.
[I 2026-07-17 15:29:31,855] Trial 3 finished with value: -0.04129735177058909 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.1724420456058817, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.4001609074904646, 'reg_lambda': 0.00011867795743162079, 'gamma': 1.793857302010248e-06}. Best is trial 3 with value: -0.04129735177058909.
[I 2026-07-17 15:29:33,042] Trial 2 finished with value: -0.019033945889715003 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1150, 'learning_rate': 0.05734915547773227, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.003405943666921078, 'reg_lambda': 0.046995210743103207, 'gamma': 2.9683747424720393}. Best is trial 3 with value: -0.04129735177058909.
[I 2026-07-17 15:29:34,140] Trial 4 finished with value: -0.0190301857400712 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.0006967562471571624, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 2.9424212931865967e-06, 'reg_lambda': 0.8282693207196677, 'gamma': 0.26076724767270393}. Best is trial 3 with value: -0.04129735177058909.
[I 2026-07-17 15:29:35,500] Trial 5 finished with value: -0.019057050319553744 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.054160531698280986, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.11410448920072953, 'reg_lambda': 1.994388433094454e-05, 'gamma': 8.3944219397994}. Best is trial 3 with value: -0.04129735177058909.
[I 2026-07-17 15:29:39,478] Trial 6 finished with value: -0.01903036103455283 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 600, 'learning_rate': 0.00034313535301513194, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 5.012998656027796e-06, 'reg_lambda': 2.6301062306530518e-05, 'gamma': 1.8326699176938029e-06}. Best is trial 3 with value: -0.04129735177058909.
[I 2026-07-17 15:29:41,084] Trial 7 finished with value: -0.0190461685614211 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1700, 'learning_rate': 0.30137871249446174, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 3.4659696610362993, 'reg_lambda': 4.1220814126247234e-05, 'gamma': 1.0690252725046132}. Best is trial 3 with value: -0.04129735177058909.
[I 2026-07-17 15:29:43,248] Trial 8 finished with value: -0.019047604736992338 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1950, 'learning_rate': 0.004028349557368631, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 53.0889866671555, 'reg_lambda': 0.0001914563592513661, 'gamma': 0.0028131178912622797}. Best is trial 3 with value: -0.04129735177058909.
[I 2026-07-17 15:29:46,337] Trial 9 finished with value: -0.019045136920420876 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2900, 'learning_rate': 0.0018948352305806853, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 56.252453634817805, 'reg_lambda': 0.015371851707353994, 'gamma': 1.3019772603947658e-05}. Best is trial 3 with value: -0.04129735177058909.
[I 2026-07-17 15:29:54,388] Trial 10 finished with value: -0.032405582995365154 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.33975914670768814, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.000941400087489414, 'reg_lambda': 3.0079715566220617e-05, 'gamma': 0.002746335282483955}. Best is trial 3 with value: -0.04129735177058909.
[I 2026-07-17 15:30:03,460] Trial 11 finished with value: -0.02007165943871785 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.004274755154170562, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 4.253395823235675, 'reg_lambda': 0.030693279537270957, 'gamma': 2.2535406844953617e-06}. Best is trial 3 with value: -0.04129735177058909.
[I 2026-07-17 15:30:07,403] Trial 12 finished with value: -0.046325413326799444 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.35897883017294935, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0139703434972228, 'reg_lambda': 2.7829861506662636, 'gamma': 0.15600707658659566}. Best is trial 12 with value: -0.046325413326799444.
