[I 2026-07-17 15:36:30,422] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:36:37,445] Trial 1 finished with value: -0.04968424025318834 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2900, 'learning_rate': 0.004266318933342861, 'max_depth': 6, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.057292634699273065, 'reg_lambda': 0.028594616512200063, 'gamma': 2.1015697077323625}. Best is trial 1 with value: -0.04968424025318834.
[I 2026-07-17 15:36:45,078] Trial 0 finished with value: -0.07911518312460711 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2250, 'learning_rate': 0.31249939959099327, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 3.4243156489819623e-06, 'reg_lambda': 0.015335733242265413, 'gamma': 0.004578080503650586}. Best is trial 0 with value: -0.07911518312460711.
[I 2026-07-17 15:36:45,694] Trial 2 finished with value: -0.049026731093248746 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.005432205217625635, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00047902237525398024, 'reg_lambda': 34.91229060186073, 'gamma': 0.001133518615919998}. Best is trial 0 with value: -0.07911518312460711.
[I 2026-07-17 15:37:05,283] Trial 3 finished with value: -0.05325519629905637 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.0015336390301503178, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.011395414869017791, 'reg_lambda': 1.2825081857936817e-06, 'gamma': 2.034055654158612e-06}. Best is trial 0 with value: -0.07911518312460711.
[I 2026-07-17 15:37:05,839] Trial 4 finished with value: -0.05926437855868811 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.2537338585595145, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.03244328120380948, 'reg_lambda': 3.703611419333347e-05, 'gamma': 0.006068519162671401}. Best is trial 0 with value: -0.07911518312460711.
[I 2026-07-17 15:37:08,565] Trial 5 finished with value: -0.04852026303999327 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.0013519315216670481, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.0995769336322638, 'reg_lambda': 17.360669218311454, 'gamma': 0.1431907649611581}. Best is trial 0 with value: -0.07911518312460711.
[I 2026-07-17 15:37:13,665] Trial 6 finished with value: -0.04835308957581445 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2550, 'learning_rate': 0.0005701456364470609, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.3141766089948483, 'reg_lambda': 3.4612217397565425e-06, 'gamma': 0.000198700028957}. Best is trial 0 with value: -0.07911518312460711.
[I 2026-07-17 15:37:16,429] Trial 7 finished with value: -0.049318179639693226 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.0006319199763500134, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0018490061799616366, 'reg_lambda': 0.0019589345947407964, 'gamma': 1.3350561633955507e-06}. Best is trial 0 with value: -0.07911518312460711.
[I 2026-07-17 15:37:19,343] Trial 8 finished with value: -0.04967098394994185 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.001031310113259427, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.039159482462445716, 'reg_lambda': 0.0008184606212316963, 'gamma': 7.312701983640425}. Best is trial 0 with value: -0.07911518312460711.
[I 2026-07-17 15:37:21,509] Trial 9 finished with value: -0.07151985755618744 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 850, 'learning_rate': 0.16444617283892893, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.009211250636292315, 'reg_lambda': 2.4391553622919427e-05, 'gamma': 0.00020603493880936647}. Best is trial 0 with value: -0.07911518312460711.
[I 2026-07-17 15:37:28,176] Trial 10 finished with value: -0.07109212624171803 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.02413518480721469, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.01459409779745177, 'reg_lambda': 5.520127416993033e-05, 'gamma': 1.2731232214654444e-05}. Best is trial 0 with value: -0.07911518312460711.
