[I 2026-07-17 15:56:31,847] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:56:37,088] Trial 0 finished with value: -0.24369437451371384 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.08667556654303092, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 8.714109861711534e-05, 'reg_lambda': 0.3755186095825931, 'gamma': 6.045550983807519}. Best is trial 0 with value: -0.24369437451371384.
[I 2026-07-17 15:56:38,450] Trial 1 finished with value: -0.24372271499173523 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1400, 'learning_rate': 0.00011053262268250276, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0024502770729790445, 'reg_lambda': 2.252865470240592, 'gamma': 7.948646851327379}. Best is trial 1 with value: -0.24372271499173523.
[I 2026-07-17 15:56:39,455] Trial 2 finished with value: -0.240009693426241 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.003846624528420078, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00010458303508097732, 'reg_lambda': 11.865111936431553, 'gamma': 0.01046372407349355}. Best is trial 1 with value: -0.24372271499173523.
[I 2026-07-17 15:56:43,174] Trial 3 finished with value: -0.24043137667155257 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.001236085891890777, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.464432242063987, 'reg_lambda': 22.099824566350648, 'gamma': 0.6066259838493996}. Best is trial 1 with value: -0.24372271499173523.
[I 2026-07-17 15:57:10,324] Trial 4 finished with value: -0.3641381427724627 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.008227179819232712, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 1.1707064331728384e-06, 'reg_lambda': 0.029042950830472633, 'gamma': 0.00022372420009057872}. Best is trial 4 with value: -0.3641381427724627.
[I 2026-07-17 15:57:13,074] Trial 5 finished with value: -0.24375331574487125 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2150, 'learning_rate': 0.07710089279447518, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.19198255752086701, 'reg_lambda': 0.35288204252235095, 'gamma': 2.5372194747326913}. Best is trial 4 with value: -0.3641381427724627.
[I 2026-07-17 15:57:15,430] Trial 6 finished with value: -0.2822902111524177 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 600, 'learning_rate': 0.05677892621879448, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.006190827234938206, 'reg_lambda': 1.4875938855179197e-06, 'gamma': 4.7284400646998064e-05}. Best is trial 4 with value: -0.3641381427724627.
[I 2026-07-17 15:57:17,169] Trial 7 finished with value: -0.24355756193007833 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2050, 'learning_rate': 0.001991835132785974, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.023331165569783156, 'reg_lambda': 37.86077014446219, 'gamma': 4.0761803172306585}. Best is trial 4 with value: -0.3641381427724627.
[I 2026-07-17 15:57:19,115] Trial 8 finished with value: -0.24368066994622112 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.0027808973887314963, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.31030617687469275, 'reg_lambda': 0.007683982716530833, 'gamma': 45.992959182577486}. Best is trial 4 with value: -0.3641381427724627.
[I 2026-07-17 15:57:26,280] Trial 9 finished with value: -0.40792682137443037 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2500, 'learning_rate': 0.14008475589816105, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.005440179533929067, 'reg_lambda': 0.23726418800644236, 'gamma': 0.0031560319775599892}. Best is trial 9 with value: -0.40792682137443037.
[I 2026-07-17 15:57:33,818] Trial 10 finished with value: -0.2402242240286593 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2900, 'learning_rate': 0.0008138958803912632, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0025498035237445384, 'reg_lambda': 0.006722941367099014, 'gamma': 0.19871731479407093}. Best is trial 9 with value: -0.40792682137443037.
[I 2026-07-17 15:57:48,853] Trial 12 finished with value: -0.24354730329387442 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.027726188680413735, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00037005717977294493, 'reg_lambda': 0.0002814564241610013, 'gamma': 79.65457768188014}. Best is trial 9 with value: -0.40792682137443037.
[I 2026-07-17 15:57:49,657] Trial 11 finished with value: -0.47253119439516655 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.29259523626020917, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0006541877792971682, 'reg_lambda': 0.00022728248429567955, 'gamma': 1.7039473332196243e-05}. Best is trial 11 with value: -0.47253119439516655.
[I 2026-07-17 15:57:50,097] Trial 13 finished with value: -0.24354105009820123 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 500, 'learning_rate': 0.002139939602548027, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00982495001527301, 'reg_lambda': 71.77457575218807, 'gamma': 1.407231582161417}. Best is trial 11 with value: -0.47253119439516655.
[I 2026-07-17 15:57:59,842] Trial 14 finished with value: -0.2515669404743965 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.003911808165774454, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 2.3861915900119982e-05, 'reg_lambda': 40.49768832810251, 'gamma': 0.0008700020646164756}. Best is trial 11 with value: -0.47253119439516655.
[I 2026-07-17 15:58:02,495] Trial 15 finished with value: -0.2435421211149013 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.017374961582077606, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 83.26705545595993, 'reg_lambda': 0.2857931736752043, 'gamma': 1.928977276850699}. Best is trial 11 with value: -0.47253119439516655.
[I 2026-07-17 15:58:05,136] Trial 16 finished with value: -0.24358797857660552 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.0030988790230189536, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 6.02257803637456, 'reg_lambda': 0.0005913403859641811, 'gamma': 9.247933563262006}. Best is trial 11 with value: -0.47253119439516655.
[I 2026-07-17 15:58:06,203] Trial 17 finished with value: -0.24388013176574536 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.48116571953564063, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 78.72962662844904, 'reg_lambda': 6.39787149673467e-05, 'gamma': 4.767681896080062e-06}. Best is trial 11 with value: -0.47253119439516655.
[I 2026-07-17 15:58:09,313] Trial 18 finished with value: -0.24384403051045023 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2500, 'learning_rate': 0.4671826967305901, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 59.74768330848899, 'reg_lambda': 0.004447172891379808, 'gamma': 0.0002646345651725464}. Best is trial 11 with value: -0.47253119439516655.
[I 2026-07-17 15:58:14,556] Trial 19 finished with value: -0.3863196468574481 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.37507300006629973, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 1.7250450690043505e-06, 'reg_lambda': 0.012033946163805879, 'gamma': 8.101631761521196e-05}. Best is trial 11 with value: -0.47253119439516655.
