[I 2026-07-17 16:08:51,444] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 16:09:03,680] Trial 1 finished with value: -0.762398256608795 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.05766228000543743, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.15170097367078586, 'reg_lambda': 4.3317310864244786e-05, 'gamma': 0.0001461621717532146}. Best is trial 1 with value: -0.762398256608795.
[I 2026-07-17 16:09:14,417] Trial 0 finished with value: -1.0947675987400631 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1100, 'learning_rate': 0.052610198276800704, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.800318672236568, 'reg_lambda': 0.017957711223882063, 'gamma': 6.145149893897404e-05}. Best is trial 0 with value: -1.0947675987400631.
[I 2026-07-17 16:09:17,898] Trial 3 finished with value: -0.4975429172578694 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.006364039503600021, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.005696610422477961, 'reg_lambda': 0.00012055803051998755, 'gamma': 5.527827169907956e-06}. Best is trial 0 with value: -1.0947675987400631.
[I 2026-07-17 16:09:20,969] Trial 2 finished with value: -0.8166690572260805 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.38549917475052986, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00011069102878106624, 'reg_lambda': 0.00012017807951614749, 'gamma': 2.0919227914494966e-05}. Best is trial 0 with value: -1.0947675987400631.
[I 2026-07-17 16:09:28,250] Trial 4 finished with value: -0.732373657498818 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1200, 'learning_rate': 0.07103706077424939, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00044899645932879024, 'reg_lambda': 1.5980452885367855e-05, 'gamma': 0.00033620036114558743}. Best is trial 0 with value: -1.0947675987400631.
[I 2026-07-17 16:09:33,224] Trial 5 finished with value: -0.5135107126608957 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 750, 'learning_rate': 0.0004534258452082679, 'max_depth': 11, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.000264625990567408, 'reg_lambda': 0.11530365076869051, 'gamma': 0.023075530453461956}. Best is trial 0 with value: -1.0947675987400631.
[I 2026-07-17 16:09:34,138] Trial 6 finished with value: -0.48505529258513613 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.25947102616365886, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 3.034842449893942e-05, 'reg_lambda': 0.0362599486333343, 'gamma': 0.3964647803831777}. Best is trial 0 with value: -1.0947675987400631.
[I 2026-07-17 16:09:35,937] Trial 7 finished with value: -0.5291040904320955 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.0012114550990591452, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 6.296408925730391e-06, 'reg_lambda': 0.0011958471822197901, 'gamma': 60.67187852164807}. Best is trial 0 with value: -1.0947675987400631.
[I 2026-07-17 16:09:41,323] Trial 8 finished with value: -0.6480164448880236 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.06605441470247558, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.002736914409684328, 'reg_lambda': 6.601732096592348, 'gamma': 0.04689309121517856}. Best is trial 0 with value: -1.0947675987400631.
[I 2026-07-17 16:10:00,954] Trial 9 finished with value: -0.5276202597061995 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.0016674597988623403, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.019501459851752327, 'reg_lambda': 1.6927652561701154, 'gamma': 1.9179797616619336e-05}. Best is trial 0 with value: -1.0947675987400631.
[I 2026-07-17 16:10:02,738] Trial 10 finished with value: -0.5291762576284657 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1450, 'learning_rate': 0.08574482385228122, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 3.314364872699509e-06, 'reg_lambda': 1.2498975851017136, 'gamma': 17.534455825980746}. Best is trial 0 with value: -1.0947675987400631.
