iter	RMSE
0	2.223999214
1	2.177303748
2	2.131184287
3	2.088929406
4	2.044652868
5	2.004770268
6	1.961906775
7	1.924264036
8	1.887566496
9	1.852364962
10	1.817929539
11	1.796356955
12	1.758937432
13	1.722054688
14	1.687719661
15	1.653348877
16	1.633055825
17	1.599885452
18	1.567807853
19	1.539753147
20	1.507737235
21	1.480985239
22	1.452681068
23	1.423312035
24	1.407468389
25	1.383801399
26	1.357108097
27	1.331813605
28	1.307830805
29	1.286716247
30	1.261997244
31	1.239237095
32	1.216621582
33	1.204152815
34	1.181524525
35	1.161483956
36	1.140294079
37	1.121053427
38	1.104001106
39	1.086214001
40	1.07024361
41	1.051610529
42	1.033415559
43	1.015219193
44	0.9988008655
45	0.9845858257
46	0.9760238033
47	0.9596672583
48	0.9465316896
49	0.9309145165
50	0.9155163671
51	0.9013029106
52	0.8878422811
53	0.87410671
54	0.8604956963
55	0.8473804266
56	0.8354285321
57	0.8228860271
58	0.8116446857
59	0.799956848
60	0.7936838091
61	0.7814637937
62	0.7699149683
63	0.7588796246
64	0.7490943793
65	0.7407561235
66	0.7325492609
67	0.7229131093
68	0.7151604967
69	0.7063354705
70	0.6976962142
71	0.6930739785
72	0.6887478478
73	0.6798291399
74	0.6713725163
75	0.664701306
76	0.6582884923
77	0.6504476179
78	0.6434537209
79	0.636273353
80	0.6306072276
81	0.6231818317
82	0.6160835204
83	0.6094688661
84	0.6030512352
85	0.5967882248
86	0.5914262146
87	0.5855531839
88	0.5794727128
89	0.5737157014
90	0.5680756693
91	0.5629561288
92	0.5587105681
93	0.5535252581
94	0.5487549276
95	0.5437688062
96	0.539099089
97	0.5347965866
98	0.5302552901
99	0.5260957747
100	0.5237663549
101	0.5196069339
102	0.5161874606
103	0.5121723783
104	0.5086667184
105	0.5050728289
106	0.5016397287
107	0.4997192314
108	0.4966051222
109	0.4930633557
110	0.4896071585
111	0.4865640247
112	0.4833644961
113	0.4808318619
114	0.4778874544
115	0.4750938209
116	0.4722341738
117	0.4694613335
118	0.4669049648
119	0.46432562
120	0.4628178181
121	0.460362434
122	0.4579924552
123	0.4556404989
124	0.4534314197
125	0.4513728367
126	0.4491853143
127	0.4470727258
128	0.445866008
129	0.4440831464
130	0.4422169808
131	0.4401175359
132	0.4382780395
133	0.4368779094
134	0.4349996314
135	0.4335166382
136	0.4316532705
137	0.4302202041
138	0.4286492439
139	0.4269355828
140	0.4253557358
141	0.4239202596
142	0.4223158721
143	0.4208717343
144	0.4195000732
145	0.418076441
146	0.4167045995
147	0.4153739374
148	0.4143050631
149	0.4129895392
150	0.4116897971
151	0.4104654205
152	0.4090598427
153	0.4078802808
154	0.4067364152
155	0.4055049943
156	0.4043705602
157	0.4033634337
158	0.4025475424
159	0.4013919665
160	0.4003509625
161	0.3992147453
162	0.3981885278
163	0.3971433605
164	0.3962158479
165	0.3953178449
166	0.3944060637
167	0.3935260371
168	0.3926310526
169	0.391802978
170	0.3910516114
171	0.3901775431
172	0.3894666787
173	0.3888020888
174	0.3880009952
175	0.3870548814
176	0.3863065266
177	0.3855959848
178	0.3848747467
179	0.3841033849
180	0.3833800647
181	0.3827189601
182	0.3819322564
183	0.3812591274
184	0.3805710194
185	0.37985543
186	0.3793221878
187	0.3787804107
188	0.3780065733
189	0.3775186965
190	0.3768879504
191	0.3763327614
192	0.3756477163
193	0.3750396834
194	0.3743547106
195	0.3737542031
196	0.3730856291
197	0.3725554363
198	0.3719609325
199	0.3714257042
200	0.370744933
201	0.3701943292
202	0.3696314359
203	0.3690429988
204	0.3685399008
205	0.3680236496
206	0.3674904313
207	0.3669850223
208	0.3664114562
209	0.3659418832
210	0.3654676143
211	0.3649901599
212	0.3644835433
213	0.3640059951
214	0.3635098007
215	0.3631060633
216	0.3626976455
217	0.3622476604
218	0.3618185232
219	0.3614015264
220	0.3610136461
221	0.360628185
222	0.3602670505
223	0.3598809586
224	0.3593725543
225	0.3590017979
226	0.3585930289
227	0.3581699593
228	0.3576721744
229	0.3572588184
230	0.3568767337
231	0.3564244655
232	0.3560166767
233	0.355724759
234	0.3553600652
235	0.3550280041
236	0.3546787918
237	0.3542721533
238	0.353851462
239	0.3534616677
240	0.3530733882
241	0.3525896763
242	0.3521123742
243	0.35178335
244	0.3513928038
245	0.3509685913
246	0.3506030105
247	0.3502421689
248	0.3497953525
249	0.3494429973
250	0.3490864169
251	0.3487603507
252	0.3484568193
253	0.3481685376
254	0.3479018335
255	0.3476468463
256	0.3473235577
257	0.3469915222
258	0.3465898084
259	0.3463005758
260	0.3460352568
261	0.3456663561
262	0.3453519224
263	0.344984504
264	0.3447175607
265	0.3443655367
266	0.3439907689
267	0.3437465032
268	0.3434393797
269	0.343177746
270	0.342853228
271	0.3425965659
272	0.3423366129
273	0.3420020867
274	0.3416862517
275	0.3413875668
276	0.3409526242
277	0.3406454435
278	0.3403441036
279	0.3400686032
280	0.3396973167
281	0.339378527
282	0.3391010075
283	0.338806469
284	0.3383816856
285	0.3381351441
286	0.3378768844
287	0.3375840338
288	0.3373460887
289	0.3370071403
290	0.3367079809
291	0.3365080007
292	0.3361069157
293	0.3359262252
294	0.3355537368
295	0.3353019724
296	0.3350797615
297	0.334787734
298	0.3343662868
299	0.3340301805
300	0.3337932752
301	0.3335656058
302	0.3333298555
303	0.3328919402
304	0.3324893627
305	0.3322748355
306	0.331890075
307	0.3317089313
308	0.331381325
309	0.3309876353
310	0.3306830791
311	0.3303665974
312	0.3301384055
313	0.3298463406
314	0.3296553193
315	0.3293397163
316	0.329107573
317	0.3288931071
318	0.3286685243
319	0.3283955621
320	0.3280898438
321	0.3278199931
322	0.327642521
323	0.3273937778
324	0.3270203087
325	0.3268378418
326	0.3264991645
327	0.32618785
328	0.3259700735
329	0.3257440087
330	0.3254224692
331	0.3251988579
332	0.3248455826
333	0.324565612
334	0.3241967925
335	0.3240207939
336	0.3237836632
337	0.3234749192
338	0.3232502291
339	0.3228846578
340	0.322515291
341	0.322155791
342	0.3219071747
343	0.3216784589
344	0.3214396972
345	0.3211858841
346	0.3209844269
347	0.3205536911
348	0.3202202125
349	0.3199955967
350	0.3197243207
351	0.3194685437
352	0.3190743467
353	0.3189310376
354	0.3186155646
355	0.3183421752
356	0.3180427881
357	0.3177838918
358	0.3175836364
359	0.3173676449
360	0.3171119143
361	0.3169326305
362	0.316666766
363	0.3163630121
364	0.3160991512
365	0.3158277002
366	0.315586867
367	0.3154673843
368	0.3152581932
369	0.3149789548
370	0.3147176929
371	0.3144097093
372	0.3141132948
373	0.3138525422
374	0.313542962
375	0.3133732112
376	0.3130388187
377	0.3128809326
378	0.3125320088
379	0.3122251073
380	0.3119273666
381	0.3117295316
382	0.3114995422
383	0.3112906862
384	0.311137622
385	0.3108927158
386	0.3105405976
387	0.3102775369
388	0.3099202184
389	0.3096579758
390	0.3094009937
391	0.3090005427
392	0.3087246886
393	0.308528808
394	0.3083108979
395	0.3080925588
396	0.3078346244
397	0.3074843061
398	0.307272584
399	0.3069847578
400	0.3067573908
401	0.3065220016
402	0.3063293666
403	0.3061246378
404	0.3058538964
405	0.3055293691
406	0.3053623026
407	0.3051717574
408	0.3049839333
409	0.304741854
410	0.3044899396
411	0.3043327427
412	0.3040466936
413	0.3037916274
414	0.3036012829
415	0.3034343224
416	0.3032380928
417	0.3030458584
418	0.3027569298
419	0.3025337135
420	0.3024343143
421	0.3021884859
422	0.301974462
423	0.3017287227
424	0.301412187
425	0.3011851456
426	0.301019741
427	0.3008839351
428	0.300651276
429	0.3004600246
430	0.3002441563
431	0.2999875737
432	0.2997739215
433	0.2995159803
434	0.2992925837
435	0.299130898
436	0.2989820155
437	0.2988395363
438	0.2985548351
439	0.2983108663
440	0.2981667545
441	0.2978902046
442	0.2976083518
443	0.2973694717
444	0.297073549
445	0.2968541327
446	0.2965900607
447	0.2964532028
448	0.2962406885
449	0.2960302384
450	0.2958501456
451	0.2957344583
452	0.2954381321
453	0.2952344826
454	0.2950409485
455	0.2948838553
456	0.2947126813
457	0.2944280819
458	0.2941825401
459	0.2940450276
460	0.2938766414
461	0.2937047552
462	0.2934845291
463	0.2932479486
464	0.2930633995
465	0.292778204
466	0.2925981744
467	0.2924847907
468	0.2921861293
469	0.291997596
470	0.2918051482
471	0.291498966
472	0.2913431762
473	0.2911742481
474	0.2909171556
475	0.2907065388
476	0.2905337926
477	0.2902989446
478	0.2900795947
479	0.2898720867
480	0.2897359548
481	0.2896291121
482	0.2894036416
483	0.2892572501
484	0.2891364926
485	0.2888894274
486	0.2887484455
487	0.2885863195
488	0.2883502339
489	0.2881469978
490	0.28800518
491	0.2879040226
492	0.2877482417
493	0.2876125688
494	0.2874042786
495	0.2872069924
496	0.2870687568
497	0.2868667332
498	0.2865658785
499	0.2863272315
500	0.2861661172
501	0.2860339603
502	0.2858528791
503	0.2856671972
504	0.28550115
505	0.2853720748
506	0.2851237692
507	0.2849088632
508	0.2846701676
509	0.2843965064
510	0.284293517
511	0.2840306276
512	0.2838102636
513	0.2835825162
514	0.2834555695
515	0.2832286823
516	0.28291222
517	0.2826193
518	0.2824388821
519	0.2822664124
520	0.2820407391
521	0.2818146219
522	0.2816581059
523	0.281487123
524	0.2813744625
525	0.2812662128
526	0.281065168
527	0.2808734199
528	0.2806932389
529	0.2805224102
530	0.2803370789
531	0.2801358557
532	0.2799265135
533	0.2797939605
534	0.2796202091
535	0.2794191877
536	0.2792547608
537	0.2790075139
538	0.2788329811
539	0.2786958828
540	0.2785393885
541	0.2783496395
542	0.2781562073
543	0.2779703785
544	0.277841069
545	0.2776637808
546	0.2774917075
547	0.2773779514
548	0.277245892
549	0.2770879375
550	0.2768803945
551	0.2766690292
552	0.2765547981
553	0.276415809
554	0.2762490678
555	0.2759807147
556	0.275815677
557	0.2756691409
558	0.2755158473
559	0.2753856408
560	0.2751233569
561	0.2748363194
562	0.2745847174
563	0.2744223946
564	0.2742413544
565	0.2740815922
566	0.2739385752
567	0.2737738393
568	0.2735826946
569	0.2733671433
570	0.2731655382
571	0.2730391834
572	0.2728878892
573	0.2726595283
574	0.2724476582
575	0.2722713551
576	0.2721836971
577	0.2719815962
578	0.2717895988
579	0.2716051042
580	0.2714468166
581	0.2713815447
582	0.2711916297
583	0.2710301576
584	0.2708757105
585	0.2706963946
586	0.2706168749
587	0.2704638674
588	0.2702267296
589	0.2700435166
590	0.2698327611
591	0.2696517147
592	0.2693902346
593	0.2692067951
594	0.2689873408
595	0.2688703737
596	0.2686945651
597	0.2685252862
598	0.2683336311
599	0.2681720204
600	0.2680024381
601	0.2677599659
602	0.267544769
603	0.2674106254
604	0.2672876383
605	0.2671574832
606	0.2669783886
607	0.266791332
608	0.2667097365
609	0.2665971668
610	0.2663708581
611	0.2662311874
612	0.2661258832
613	0.2660056224
614	0.2658908201
615	0.2657301869
616	0.2656389051
617	0.2654649673
618	0.2653053488
619	0.2651490945
620	0.2650135861
621	0.2648163466
622	0.2646352453
623	0.2644864993
624	0.2644036921
625	0.2642480443
626	0.2640930779
627	0.2639369975
628	0.2638052406
629	0.2636991427
630	0.263527412
631	0.2634121009
632	0.2633222032
633	0.263139032
634	0.2629562549
635	0.2627861187
636	0.2625804325
637	0.2624171105
638	0.2621818278
639	0.2620845065
640	0.2619483596
641	0.2617855323
642	0.2615967976
643	0.2614148479
644	0.2613150397
645	0.261095374
646	0.260929124
647	0.2607884651
648	0.2606178132
649	0.26049113
650	0.2604021416
651	0.2602909896
652	0.2601065941
653	0.2599644024
654	0.2598444855
655	0.2597120822
656	0.2595818678
657	0.2593889304
658	0.2592300048
659	0.2590852757
660	0.2588693082
661	0.2586897831
662	0.258494024
663	0.2583455986
664	0.2582238639
665	0.2580901066
666	0.2579727882
667	0.2577802415
668	0.2577061014
669	0.2575105144
670	0.2573525645
671	0.2572296102
672	0.2570646613
673	0.256931318
674	0.2567849545
675	0.2565970181
676	0.256507732
677	0.2563789977
678	0.2561982658
679	0.2560863221
680	0.2559302593
681	0.2556334901
682	0.2554805055
683	0.2553780781
684	0.2552713355
685	0.2551090915
686	0.2549164286
687	0.2547683536
688	0.2545813364
689	0.2544942136
690	0.2543251638
691	0.254235478
692	0.2541075066
693	0.2539863627
694	0.2538643318
695	0.2537397547
696	0.253563194
697	0.2534468269
698	0.2533330109
699	0.253138756
700	0.2530000853
701	0.2528922147
702	0.2527102812
703	0.252634609
704	0.2525264857
705	0.2523597052
706	0.2521727108
707	0.2520788301
708	0.2519605073
709	0.2518500715
710	0.2517528075
711	0.2515461358
712	0.2513813063
713	0.2512049849
714	0.2510647219
715	0.2508950578
716	0.2507907837
717	0.2506594578
718	0.250491544
719	0.2503996901
720	0.2502493321
721	0.250124186
722	0.250011454
723	0.2498882591
724	0.2497198237
725	0.2495671432
726	0.2494434458
727	0.2493131148
728	0.2490983504
729	0.2489754475
730	0.2488800021
731	0.2486886915
732	0.2486018798
733	0.2485065128
734	0.2483504729
735	0.2482432042
736	0.24813336
737	0.2480282277
738	0.2479465242
739	0.2478285772
740	0.2477075331
741	0.2475158817
742	0.2474101296
743	0.2472550658
744	0.2471201232
745	0.2469729041
746	0.2467383872
747	0.2465896814
748	0.2464329588
749	0.2463045133
750	0.2461813697
751	0.2460878449
752	0.2459269783
753	0.2458043944
754	0.2457064264
755	0.2455551257
756	0.2454244733
757	0.2453280714
758	0.2451704096
759	0.2449756271
760	0.2447969175
761	0.2446242573
762	0.2444351958
763	0.2442638726
764	0.244192745
765	0.2441376127
766	0.2440035814
767	0.2438297719
768	0.2436488265
769	0.243563939
770	0.2434748709
771	0.2433672103
772	0.2432041015
773	0.2430211457
774	0.2428956799
775	0.2427676847
