iter	RMSE
0	2.259795923
1	2.249526287
2	2.239342731
3	2.229291018
4	2.219382494
5	2.20957939
6	2.199875622
7	2.190411856
8	2.18101227
9	2.17179813
10	2.162692192
11	2.153689401
12	2.145105153
13	2.136359175
14	2.127756064
15	2.119168784
16	2.110809881
17	2.102372747
18	2.09431967
19	2.086439003
20	2.078302305
21	2.070288545
22	2.062598562
23	2.054991978
24	2.047420819
25	2.039838071
26	2.032490103
27	2.02526066
28	2.018162333
29	2.011046541
30	2.004163477
31	1.99718707
32	1.990470429
33	1.98395216
34	1.977426748
35	1.970808919
36	1.964368983
37	1.957901941
38	1.95170864
39	1.945534936
40	1.939461537
41	1.933488093
42	1.927731011
43	1.921947685
44	1.916371298
45	1.910701153
46	1.905053023
47	1.899545756
48	1.894040101
49	1.88871402
50	1.883400385
51	1.878166603
52	1.872912571
53	1.867858946
54	1.86290354
55	1.857959572
56	1.852857157
57	1.848087092
58	1.843490684
59	1.838820247
60	1.834140618
61	1.829504108
62	1.824997845
63	1.820463058
64	1.816114403
65	1.811793493
66	1.807466668
67	1.803308576
68	1.799126854
69	1.795059034
70	1.790978489
71	1.787059476
72	1.782981383
73	1.779255573
74	1.775369851
75	1.771615958
76	1.767844724
77	1.76415174
78	1.760368369
79	1.756737228
80	1.753157134
81	1.749627149
82	1.746132917
83	1.742819958
84	1.739504512
85	1.736276224
86	1.732939618
87	1.729737988
88	1.726466909
89	1.723290629
90	1.720061873
91	1.716920269
92	1.714016053
93	1.711037186
94	1.708101784
95	1.705050861
96	1.702187631
97	1.699351363
98	1.696624694
99	1.693783604
100	1.691106218
101	1.688364727
102	1.685604247
103	1.683008261
104	1.68038278
105	1.677777939
106	1.675246439
107	1.672770632
108	1.670263905
109	1.667733224
110	1.665361628
111	1.662915091
112	1.66047119
113	1.658121948
114	1.655997818
115	1.653761346
116	1.651511415
117	1.649280696
118	1.64703286
119	1.644831103
120	1.642719024
121	1.64066178
122	1.638565134
123	1.6364916
124	1.634453955
125	1.632446744
126	1.630403772
127	1.628394468
128	1.626473863
129	1.624674456
130	1.622836037
131	1.621032904
132	1.619151981
133	1.617239348
134	1.615425627
135	1.613667224
136	1.611823476
137	1.610013805
138	1.608226122
139	1.606559666
140	1.604892263
141	1.603188538
142	1.601498953
143	1.599799995
144	1.598272199
145	1.596679815
146	1.595018404
147	1.593461269
148	1.591931823
149	1.59028742
150	1.588750045
151	1.587163421
152	1.585623468
153	1.584128537
154	1.58269714
155	1.581291794
156	1.579900862
157	1.578348177
158	1.576910145
159	1.575521364
160	1.574106081
161	1.572841367
162	1.571513137
163	1.570130229
164	1.568809465
165	1.567519656
166	1.566233909
167	1.564853885
168	1.563633849
169	1.562323227
170	1.561059122
171	1.559791659
172	1.558538599
173	1.557273345
174	1.555994198
175	1.554704446
176	1.553556604
177	1.552333829
178	1.55115848
179	1.550026398
180	1.5488916
181	1.547811691
182	1.546645165
183	1.545452357
184	1.544351481
185	1.543261738
186	1.542043466
187	1.540982114
188	1.539869321
189	1.538837985
190	1.537818169
191	1.536752975
192	1.535602152
193	1.534572053
194	1.533566351
195	1.532548823
196	1.531527437
197	1.530567977
198	1.52952585
199	1.52849805
200	1.527505559
201	1.526610177
202	1.525720764
203	1.52482074
204	1.523880067
205	1.523012653
206	1.522039454
207	1.521126658
208	1.520180167
209	1.519397314
210	1.518529642
211	1.517716375
212	1.516737834
213	1.515859252
214	1.514899745
215	1.514004785
216	1.513201577
217	1.512335733
218	1.511470753
219	1.510563763
220	1.509703635
221	1.508702072
222	1.508017157
223	1.507184225
224	1.506392426
225	1.505574039
226	1.504797817
227	1.503937378
228	1.503154442
229	1.50236623
230	1.501526506
231	1.50087467
232	1.500095594
233	1.499341714
234	1.498441183
235	1.497742233
236	1.497090597
237	1.496247212
238	1.495476828
239	1.49489992
240	1.49408303
241	1.493186493
242	1.492560352
243	1.491696743
244	1.490994227
245	1.490316926
246	1.489579989
247	1.488934306
248	1.488240577
249	1.487493401
250	1.486682196
251	1.485982417
252	1.485327507
253	1.484601835
254	1.483900325
255	1.483166605
256	1.482454273
257	1.481779612
258	1.481165969
259	1.480540565
260	1.479868752
261	1.479273035
262	1.478660123
263	1.478066011
264	1.47742844
265	1.476683019
266	1.47592613
267	1.475282268
268	1.47463975
269	1.474037935
270	1.473484925
271	1.472847652
272	1.472203085
273	1.471556068
274	1.470880518
275	1.470218966
276	1.469619626
277	1.469119927
278	1.468482214
279	1.467807641
280	1.467176576
281	1.466581357
282	1.46603839
283	1.465443178
284	1.46491545
285	1.464329232
286	1.463709763
287	1.463220081
288	1.462645176
289	1.462100991
290	1.461640749
291	1.461197033
292	1.460756943
293	1.46011366
