iter	RMSE
0	1.234160946
1	1.231994596
2	1.230251474
3	1.228038347
4	1.226123024
5	1.223912938
6	1.221741307
7	1.21987343
8	1.218019816
9	1.215980729
10	1.213656946
11	1.211845329
12	1.210017797
13	1.20812624
14	1.206431059
15	1.204359932
16	1.202543177
17	1.20071765
18	1.198999096
19	1.197402733
20	1.195684543
21	1.19387537
22	1.192056934
23	1.190270099
24	1.188765276
25	1.186822221
26	1.185287691
27	1.183724176
28	1.182052683
29	1.180656227
30	1.179453057
31	1.178224997
32	1.176539375
33	1.174926027
34	1.173229462
35	1.17179736
36	1.17023524
37	1.168582501
38	1.167782217
39	1.166451164
40	1.16516089
41	1.164148892
42	1.162634313
43	1.161426694
44	1.160020063
45	1.15893075
46	1.157742651
47	1.156602732
48	1.155561299
49	1.154296985
50	1.153277519
51	1.15231887
52	1.151117822
53	1.150153545
54	1.149066619
55	1.148025494
56	1.14707481
57	1.14603841
58	1.14490803
59	1.14451237
60	1.143476717
61	1.142288875
62	1.141188317
63	1.14015506
64	1.139004024
65	1.138283367
66	1.13756948
67	1.136540723
68	1.135896501
69	1.134960109
70	1.133903925
71	1.132859367
72	1.132011913
73	1.13104414
74	1.129943218
75	1.129229707
76	1.128534867
77	1.127874767
78	1.12719568
79	1.126312017
80	1.125607471
81	1.124688097
82	1.124054823
83	1.123377741
84	1.122666387
85	1.121837362
86	1.121010232
87	1.120344288
88	1.119547769
89	1.118851076
90	1.118107274
91	1.11749628
92	1.116689975
93	1.116016801
94	1.115465749
95	1.114894447
96	1.114206482
97	1.113427226
98	1.112911675
99	1.112193257
100	1.111500621
101	1.110839585
102	1.110161614
103	1.109604527
104	1.109071697
105	1.108497275
106	1.107841033
107	1.10730321
108	1.106739731
109	1.106456878
110	1.105881025
111	1.105359492
112	1.104812255
113	1.104508931
114	1.103882261
115	1.103254179
116	1.102763474
117	1.102209064
118	1.101666137
119	1.101132728
120	1.100803643
121	1.100379185
122	1.099913076
123	1.099411648
124	1.0990768
125	1.09865676
126	1.098248275
127	1.097696329
128	1.097306916
129	1.096786186
130	1.096324339
131	1.095933681
132	1.095625043
133	1.095112471
134	1.09461648
135	1.094101946
136	1.093625102
137	1.093289711
138	1.092806195
139	1.092312879
140	1.091832976
141	1.091391189
142	1.091110721
143	1.090736647
144	1.090353732
145	1.090062722
146	1.089615833
147	1.089211301
148	1.088825846
149	1.08845041
150	1.088263233
151	1.087987814
152	1.087745807
153	1.087349721
154	1.087032229
155	1.086742242
156	1.086402751
157	1.085963628
158	1.085594385
159	1.085191268
160	1.084987689
161	1.08477702
162	1.084564007
163	1.084209523
164	1.083928505
165	1.083552988
166	1.083217017
167	1.08288908
168	1.082610288
169	1.082323108
170	1.082030089
171	1.081691861
172	1.081485283
173	1.081212933
174	1.081029187
175	1.080810731
176	1.080563141
177	1.08025289
178	1.079972208
179	1.079741482
180	1.079471748
181	1.079098525
182	1.078834174
183	1.078640375
184	1.078340602
185	1.078043443
186	1.077778524
187	1.077514919
188	1.07735506
189	1.077083371
190	1.076770765
191	1.076609434
192	1.076419304
193	1.076213077
194	1.076088646
195	1.075872008
196	1.075551365
197	1.075327919
198	1.075126596
199	1.074860336
200	1.074573862
201	1.074355323
202	1.074237544
203	1.073985585
204	1.073771554
205	1.073608591
206	1.073393059
207	1.073180662
208	1.072947356
209	1.072712823
210	1.072502177
211	1.072277181
212	1.072148548
213	1.071951555
214	1.071831115
215	1.071647638
216	1.071392806
217	1.071184964
218	1.070976041
219	1.07075919
220	1.070631015
221	1.070453309
222	1.0703544
223	1.070184415
224	1.069956802
225	1.069830324
226	1.069639312
227	1.069466848
228	1.069273835
229	1.069194374
230	1.069024419
231	1.068823222
232	1.068613511
233	1.068458055
234	1.06829918
235	1.068170657
236	1.068031479
237	1.067920564
238	1.06771813
239	1.067537903
240	1.067496813
241	1.067429905
242	1.067271509
243	1.067054181
244	1.066915849
245	1.066848679
246	1.066656019
247	1.066485828
248	1.066260985
249	1.066115017
250	1.066019339
251	1.065848261
252	1.065696164
253	1.065571684
254	1.065396893
255	1.065287832
256	1.065212
257	1.065078778
258	1.064907013
259	1.064780752
260	1.064638819
261	1.06455406
262	1.064413513
263	1.064319443
264	1.064173891
265	1.064009435
266	1.063793028
267	1.063670302
268	1.063554288
269	1.063382712
270	1.063326846
271	1.06315753
272	1.063043256
273	1.062918418
274	1.062786082
275	1.062663721
276	1.062529119
277	1.062457743
278	1.062370494
279	1.062307986
280	1.062222233
281	1.062081779
282	1.061992096
283	1.061926808
284	1.061807459
285	1.061754594
286	1.061647182
287	1.061616833
288	1.061518928
289	1.06142497
290	1.061307
291	1.061231326
292	1.06111567
293	1.061015688
294	1.06089568
295	1.060793243
296	1.060654865
297	1.060536594
298	1.060359835
299	1.060294332
300	1.06022195
301	1.060140757
302	1.060052703
303	1.059975701
304	1.059873615
305	1.059778753
306	1.059685236
307	1.059517039
308	1.059426962
309	1.059288556
310	1.059183617
311	1.05911422
312	1.058988448
313	1.058882761
314	1.058803786
315	1.058721758
316	1.058701671
317	1.058631973
318	1.05847481
319	1.058405888
320	1.05828526
321	1.058126189
322	1.058029274
323	1.057937835
324	1.057832538
325	1.057727627
326	1.057676697
327	1.057572997
328	1.057487216
329	1.057425156
330	1.057343694
331	1.05725114
332	1.057158161
333	1.057107587
334	1.057038534
335	1.056958285
336	1.056905598
337	1.056827573
338	1.056732724
339	1.056694181
340	1.056584752
341	1.056489368
342	1.056428456
343	1.056384506
344	1.056301874
345	1.056207819
346	1.056129456
347	1.056068065
348	1.055878302
349	1.055836949
