iter	RMSE
0	4.608405218
1	4.500289677
2	4.40453007
3	4.32358629
4	4.254856596
5	4.193121488
6	4.145310146
7	4.102560018
8	4.065917405
9	4.029090664
10	4.000525093
11	3.979303432
12	3.955566442
13	3.93818931
14	3.920734888
15	3.901626836
16	3.887614688
17	3.876462142
18	3.865606198
19	3.852650362
20	3.844774385
21	3.835555712
22	3.826144271
23	3.819608046
24	3.812888459
25	3.807077954
26	3.802311084
27	3.79636654
28	3.791486544
29	3.787654667
30	3.782975721
31	3.777705308
32	3.773235588
33	3.769550057
34	3.764083386
35	3.761265218
36	3.757565572
37	3.754738791
38	3.749770323
39	3.746514423
40	3.744861941
41	3.740458578
42	3.738325208
43	3.735195514
44	3.731615829
45	3.729119638
46	3.726164657
47	3.723122775
48	3.72102439
49	3.718870146
50	3.716811593
51	3.714331971
52	3.712344026
53	3.710351182
54	3.707921729
55	3.707082184
56	3.704963469
57	3.702305457
58	3.700197644
59	3.698017999
60	3.696636867
61	3.695391455
62	3.69407002
63	3.692558625
64	3.690416462
65	3.686929812
66	3.68500531
67	3.683073872
68	3.681585931
69	3.679006344
70	3.678158765
71	3.676629616
72	3.674734926
73	3.673282991
74	3.671830044
75	3.669734462
76	3.668205392
77	3.666619328
78	3.662330442
79	3.661018555
80	3.658359028
81	3.655795397
82	3.654032097
83	3.652232967
84	3.650582681
85	3.648468769
86	3.646502387
87	3.645391374
88	3.644067787
89	3.643187809
90	3.641698001
91	3.640678927
92	3.637451426
93	3.635524513
94	3.633617914
95	3.631324037
96	3.629273976
97	3.627129564
98	3.623022116
99	3.620504222
