iter	RMSE
0	1.21116629
1	1.141629356
2	1.076073425
3	1.014298742
4	0.9560945972
5	0.9012094849
6	0.8494669231
7	0.8007156873
8	0.7547540319
9	0.7114003256
10	0.6705446146
11	0.6320739635
12	0.5958132201
13	0.5615956308
14	0.5293602286
15	0.49899328
16	0.4703276732
17	0.4433271864
18	0.417865421
19	0.3939127952
20	0.3713011492
21	0.3499901661
22	0.3299003124
23	0.3109727325
24	0.2931174306
25	0.2762874738
26	0.2604333482
27	0.2454950414
28	0.2314139511
29	0.2181428718
30	0.2056358057
31	0.1938454835
32	0.1827286579
33	0.1722989401
34	0.1624352667
35	0.1531649789
36	0.144432371
37	0.1361739852
38	0.1284190421
39	0.1210772993
40	0.1141808421
41	0.1076450274
42	0.1014920366
43	0.09570806854
44	0.09029109088
45	0.08513398372
46	0.0803061461
47	0.07572758126
48	0.07144944673
49	0.06738309205
50	0.06353079771
51	0.05992301812
52	0.05652831386
53	0.05333660673
54	0.0503377305
55	0.0475067656
56	0.0447938394
57	0.04223630325
58	0.03987521122
59	0.0376318854
60	0.03553085698
61	0.03351077594
62	0.03160885015
63	0.02981613965
64	0.02816360101
65	0.02660633691
66	0.0251020609
67	0.0236912517
68	0.02235808389
69	0.02113186587
70	0.0199888392
71	0.01890326496
72	0.01784598123
73	0.01688719181
74	0.01598599479
75	0.01514072849
76	0.01430832576
77	0.01356973768
78	0.01287833951
79	0.01218300219
80	0.01157566901
81	0.01099659892
82	0.01046487191
83	0.009959378504
84	0.009422943877
85	0.008953889603
86	0.00853283106
87	0.008119469419
88	0.007720123505
89	0.00732975016
90	0.006977890713
91	0.00667500873
92	0.006342450166
93	0.00607306151
94	0.005786501743
95	0.005502924016
96	0.0052425858
97	0.005015734515
98	0.004830853826
99	0.004625631331
100	0.00443826677
101	0.004268117951
102	0.004128010287
103	0.003964710077
104	0.003806914035
105	0.003686366306
106	0.003581137851
107	0.003453254654
108	0.003329407592
109	0.00321292888
110	0.003107034444
111	0.003010148886
112	0.002898496344
113	0.002813390314
114	0.002718648403
115	0.002639973547
116	0.002559692509
117	0.002490574007
118	0.002450665429
119	0.002385623883
120	0.002320075204
121	0.002253731535
122	0.002199310771
123	0.002154843699
124	0.002112512782
125	0.002086855462
126	0.002040125001
127	0.001998486279
128	0.001979888126
129	0.001951265084
130	0.0019283408
131	0.001909117057
132	0.001885313587
133	0.001863910367
134	0.001839349456
135	0.001819747092
136	0.00180493234
137	0.001786484583
138	0.001765084053
139	0.001749629282
140	0.001727422966
141	0.00170381017
142	0.001685133762
143	0.001667115797
144	0.001647525761
145	0.001631858824
146	0.00161774113
147	0.001600722912
148	0.001580500554
149	0.001570932795
150	0.001559614595
151	0.001549011317
152	0.001537657817
153	0.001527088069
154	0.001519633253
155	0.001512907249
156	0.001504592
157	0.001499630369
158	0.001491281322
159	0.001481186764
160	0.001472776064
161	0.001468834456
162	0.00146145267
163	0.001451896581
164	0.001437439556
165	0.001429807843
166	0.00142360236
167	0.001414707983
168	0.001403284601
169	0.001399057078
170	0.001394355936
171	0.001384547129
172	0.001380990126
173	0.001374666789
174	0.001364808648
175	0.001359043819
176	0.001343171443
177	0.001331209341
178	0.001322515913
179	0.001313599455
180	0.001306963511
181	0.001300423411
182	0.00129421498
183	0.00129034824
184	0.00127474551
185	0.001266323905
186	0.001261651224
187	0.00125515902
188	0.001245172069
189	0.001237312207
190	0.001230348367
191	0.001224164241
192	0.00121730666
193	0.001212325382
194	0.00120745193
195	0.001201800177
196	0.001198389787
197	0.001192407962
198	0.001188431749
199	0.001182558401
200	0.001179359217
201	0.001173434051
202	0.001168572318
203	0.001163175461
204	0.001159153654
205	0.001154948019
206	0.001147588038
207	0.001140528627
208	0.001136738826
209	0.001131290294
210	0.001127692636
211	0.0011244858
212	0.001120942973
213	0.001113276863
214	0.001110278983
215	0.001103904493
216	0.001099780233
217	0.001096015687
218	0.001091811904
219	0.001083755312
220	0.001079300836
221	0.001075125762
222	0.001070148169
223	0.001065649938
224	0.001058678764
225	0.001055511349
226	0.001052757817
227	0.001049792409
228	0.001046383791
229	0.001043625364
230	0.001034068662
231	0.001029826063
232	0.001026805388
233	0.001024071181
234	0.001019933257
235	0.001017119146
236	0.001007840586
237	0.001002621738
238	0.0009981903904
239	0.0009954074561
240	0.0009903495326
241	0.000986448674
242	0.0009827521547
243	0.0009787432246
244	0.0009765086254
245	0.000967341433
246	0.0009619009034
247	0.0009596060646
248	0.0009556596174
249	0.000953298476
250	0.0009461619151
251	0.000937359337
252	0.0009348230442
253	0.0009308067555
254	0.0009289764756
255	0.0009212661977
256	0.0009181891599
257	0.0009156092529
258	0.0009139947416
259	0.0009076836672
260	0.0009015369488
261	0.0009000824238
262	0.0008952790428
263	0.0008924221056
264	0.0008895448246
265	0.0008862695706
266	0.0008845455984
267	0.000882546667
268	0.0008779903438
269	0.0008739507607
270	0.0008695195737
271	0.0008631690647
272	0.0008553418373
273	0.0008495436183
274	0.0008432575198
275	0.0008399886254
276	0.0008319554143
277	0.0008284514262
278	0.0008254832204
279	0.0008200696585
280	0.0008110636347
281	0.0008074819319
282	0.0008050584333
283	0.000798888495
284	0.0007942601378
285	0.0007895638285
286	0.0007849575992
287	0.0007793976372
288	0.0007748007877
289	0.0007707454562
290	0.0007650435937
291	0.0007612562363
292	0.0007582925316
293	0.0007512100777
294	0.00074837536
295	0.0007404443701
296	0.0007352285473
297	0.0007323129559
298	0.0007261562652
299	0.0007196707936
300	0.0007126675475
301	0.000704273308
