iter	Passed	Remaining
0	5	9804
1	11	10441
2	18	11294
3	26	11668
4	31	11198
5	37	11073
6	44	11223
7	52	11617
8	59	11814
9	66	11759
10	72	11711
11	81	12002
12	88	12032
13	95	12134
14	102	12164
15	110	12193
16	117	12252
17	126	12435
18	134	12505
19	141	12501
20	148	12480
21	155	12508
22	165	12700
23	174	12789
24	181	12784
25	188	12734
26	195	12740
27	202	12715
28	208	12656
29	214	12571
30	220	12502
31	227	12500
32	234	12439
33	240	12417
34	247	12384
35	254	12399
36	263	12461
37	271	12488
38	279	12542
39	287	12548
40	296	12639
41	305	12679
42	311	12629
43	318	12622
44	327	12692
45	334	12650
46	341	12645
47	348	12621
48	357	12671
49	364	12665
50	371	12650
51	379	12647
52	386	12653
53	393	12615
54	399	12578
55	405	12543
56	412	12529
57	423	12616
58	429	12567
59	435	12531
60	441	12493
61	448	12469
62	455	12472
63	463	12480
64	470	12459
65	479	12494
66	487	12512
67	495	12537
68	504	12554
69	512	12562
70	520	12568
71	526	12541
72	533	12529
73	540	12513
74	548	12519
75	556	12521
76	564	12526
77	571	12521
78	577	12493
79	586	12508
80	594	12514
81	601	12502
82	608	12497
83	617	12516
84	624	12496
85	631	12485
86	640	12518
87	648	12519
88	657	12542
89	664	12520
90	670	12504
91	678	12491
92	686	12503
93	692	12478
94	700	12475
95	707	12466
96	714	12452
97	721	12430
98	728	12418
99	736	12426
100	743	12411
101	750	12396
102	756	12374
103	763	12358
104	770	12340
105	776	12313
106	783	12306
107	790	12281
108	797	12279
109	804	12262
110	810	12244
111	817	12222
112	823	12201
113	829	12178
114	836	12158
115	842	12132
116	848	12116
117	854	12090
118	861	12076
119	867	12054
120	874	12038
121	881	12031
122	888	12016
123	895	12005
124	901	11985
125	907	11966
126	914	11955
127	921	11941
128	927	11926
129	934	11906
130	940	11886
131	947	11880
132	953	11862
133	960	11850
134	965	11819
135	972	11801
136	979	11795
137	984	11768
138	990	11747
139	997	11736
140	1003	11710
141	1009	11697
142	1015	11679
143	1021	11660
144	1029	11653
145	1035	11637
146	1041	11622
147	1047	11595
148	1053	11579
149	1059	11565
150	1065	11546
151	1071	11527
152	1078	11513
153	1084	11497
154	1088	11465
155	1094	11438
156	1100	11426
157	1107	11416
158	1113	11402
159	1116	11356
160	1121	11322
161	1124	11277
162	1130	11263
163	1135	11233
164	1139	11199
165	1142	11153
166	1146	11121
167	1149	11079
168	1152	11034
169	1158	11017
170	1161	10976
171	1164	10932
172	1167	10887
173	1169	10845
174	1173	10806
175	1176	10765
176	1179	10731
177	1182	10690
178	1186	10658
179	1189	10621
180	1193	10593
181	1196	10553
182	1200	10521
183	1203	10483
184	1207	10454
185	1210	10416
186	1213	10384
187	1216	10346
188	1219	10311
189	1222	10278
190	1225	10240
191	1229	10213
192	1232	10177
193	1235	10148
194	1238	10113
195	1241	10078
196	1244	10042
197	1247	10007
198	1249	9973
199	1252	9941
200	1255	9908
201	1259	9882
202	1262	9848
203	1265	9816
204	1267	9784
205	1270	9753
206	1273	9721
207	1276	9690
208	1279	9658
209	1282	9627
210	1285	9598
211	1287	9568
212	1290	9537
213	1293	9510
214	1296	9480
215	1299	9452
216	1302	9424
217	1305	9398
218	1308	9370
219	1311	9341
220	1314	9315
221	1317	9288
222	1320	9264
223	1323	9238
224	1326	9210
225	1329	9182
226	1332	9155
227	1335	9130
228	1338	9103
229	1340	9077
230	1344	9056
231	1347	9033
232	1350	9009
233	1353	8983
234	1356	8958
235	1359	8933
236	1363	8914
237	1366	8892
238	1369	8868
239	1372	8843
240	1374	8820
241	1377	8795
242	1380	8771
243	1383	8750
244	1386	8726
245	1391	8714
246	1393	8691
247	1396	8667
248	1399	8646
249	1402	8625
250	1406	8606
251	1411	8596
252	1414	8574
253	1417	8557
254	1420	8534
255	1425	8524
256	1428	8501
257	1431	8482
258	1434	8461
259	1438	8448
260	1442	8433
261	1445	8412
262	1448	8394
263	1451	8374
264	1455	8357
265	1457	8336
266	1460	8315
267	1463	8295
268	1467	8282
269	1470	8262
270	1474	8251
271	1479	8239
272	1484	8231
273	1488	8219
274	1493	8211
275	1496	8193
276	1502	8191
277	1506	8178
278	1509	8158
279	1512	8142
280	1519	8144
281	1522	8127
282	1526	8110
283	1531	8103
284	1535	8093
285	1539	8081
286	1542	8062
287	1549	8062
288	1552	8049
289	1556	8035
290	1563	8039
291	1568	8030
292	1571	8014
293	1578	8018
294	1582	8002
295	1588	8001
296	1593	7995
297	1598	7985
298	1604	7985
299	1610	7980
300	1617	7985
301	1623	7985
302	1629	7980
303	1635	7980
304	1639	7965
305	1644	7960
306	1650	7958
307	1656	7953
308	1663	7955
309	1665	7937
310	1669	7921
311	1674	7914
312	1679	7909
313	1685	7906
314	1690	7898
315	1693	7882
316	1699	7878
317	1705	7876
318	1710	7871
319	1716	7870
320	1721	7860
321	1727	7859
322	1731	7846
323	1736	7841
324	1742	7839
325	1747	7829
326	1752	7825
327	1758	7822
328	1763	7813
329	1766	7798
330	1771	7791
331	1777	7788
332	1779	7771
333	1785	7767
334	1791	7763
335	1795	7755
336	1801	7750
337	1806	7744
338	1811	7736
339	1815	7726
340	1821	7722
341	1826	7716
342	1829	7702
343	1833	7692
344	1838	7686
345	1844	7682
346	1850	7677
347	1853	7663
348	1859	7661
349	1863	7652
350	1868	7646
351	1874	7643
352	1880	7639
353	1885	7633
354	1891	7630
355	1896	7623
