iter	Passed	Remaining
0	14	26587
1	25	23105
2	35	21363
3	47	21094
4	56	20271
5	67	19980
6	77	19780
7	87	19539
8	97	19229
9	111	19866
10	122	19728
11	132	19550
12	142	19406
13	152	19347
14	163	19263
15	173	19203
16	183	19142
17	194	19097
18	204	19046
19	214	18994
20	225	18938
21	235	18924
22	245	18830
23	256	18834
24	266	18781
25	276	18749
26	287	18713
27	297	18675
28	307	18638
29	318	18630
30	328	18590
31	338	18551
32	348	18517
33	358	18495
34	368	18444
35	378	18425
36	389	18433
37	399	18398
38	410	18391
39	421	18390
40	431	18376
41	442	18365
42	452	18362
43	463	18348
44	474	18362
45	484	18348
46	495	18339
47	505	18322
48	515	18298
49	526	18306
50	537	18289
51	548	18285
52	558	18282
53	569	18276
54	580	18266
55	591	18279
56	602	18281
57	612	18261
58	623	18267
59	635	18289
60	646	18292
61	657	18293
62	668	18294
63	679	18306
64	690	18299
65	702	18312
66	713	18329
67	725	18329
68	736	18338
69	748	18349
70	758	18338
71	769	18337
72	781	18354
73	793	18379
74	805	18381
75	816	18374
76	828	18392
77	840	18413
78	852	18426
79	863	18421
80	874	18409
81	884	18395
82	896	18404
83	908	18409
84	919	18408
85	931	18420
86	942	18414
87	954	18420
88	965	18418
89	976	18421
90	988	18431
91	1000	18435
92	1012	18433
93	1022	18422
94	1034	18419
95	1045	18423
96	1057	18426
97	1069	18431
98	1080	18425
99	1092	18423
100	1103	18419
101	1115	18421
102	1125	18407
103	1137	18403
104	1148	18397
105	1159	18393
106	1171	18390
107	1182	18381
108	1193	18376
109	1205	18374
110	1218	18402
111	1229	18394
112	1241	18392
113	1252	18382
114	1263	18376
115	1275	18368
116	1286	18362
117	1297	18354
118	1308	18339
119	1318	18322
120	1329	18307
121	1340	18296
122	1351	18282
123	1362	18273
124	1373	18262
125	1383	18237
126	1394	18231
127	1405	18213
128	1416	18206
129	1427	18192
130	1438	18179
131	1449	18168
132	1459	18155
133	1471	18149
134	1480	18121
135	1492	18118
136	1502	18099
137	1512	18077
138	1523	18064
139	1535	18059
140	1545	18045
141	1556	18030
142	1567	18019
143	1578	18010
144	1588	17990
145	1598	17964
146	1608	17950
147	1619	17930
148	1629	17917
149	1640	17904
150	1651	17894
151	1662	17885
152	1673	17877
153	1683	17851
154	1694	17838
155	1704	17824
156	1715	17812
157	1721	17748
158	1731	17730
159	1737	17663
160	1747	17645
161	1754	17600
162	1765	17585
163	1771	17532
164	1777	17472
165	1783	17411
166	1788	17348
167	1797	17323
168	1802	17256
169	1809	17212
170	1814	17147
171	1820	17089
172	1825	17028
173	1832	16989
174	1837	16928
175	1842	16869
176	1847	16808
177	1852	16748
178	1857	16689
179	1862	16630
180	1867	16572
181	1873	16519
182	1878	16463
183	1883	16406
184	1888	16349
185	1895	16313
186	1902	16280
187	1907	16226
188	1912	16171
189	1917	16117
190	1922	16064
191	1927	16014
192	1932	15962
193	1937	15909
194	1943	15864
195	1948	15814
196	1954	15778
197	1959	15728
198	1964	15679
199	1972	15648
200	1977	15605
201	1983	15560
202	1990	15530
203	1995	15483
204	2000	15436
205	2005	15389
206	2010	15342
207	2015	15297
208	2020	15254
209	2025	15210
210	2030	15164
211	2035	15119
212	2040	15075
213	2044	15031
214	2049	14987
215	2054	14943
216	2059	14899
217	2066	14870
218	2071	14828
219	2076	14791
220	2081	14750
221	2086	14708
222	2091	14667
223	2096	14631
224	2101	14590
225	2108	14562
226	2113	14523
227	2121	14502
228	2126	14464
229	2130	14424
230	2137	14398
231	2143	14365
232	2148	14326
233	2156	14312
234	2163	14289
235	2168	14251
236	2176	14235
237	2181	14200
238	2188	14176
239	2193	14140
240	2198	14103
241	2203	14066
242	2209	14039
243	2218	14027
244	2224	14000
245	2230	13975
246	2237	13948
247	2243	13919
248	2248	13886
249	2255	13866
250	2261	13840
251	2266	13808
252	2272	13777
253	2278	13752
254	2283	13719
255	2288	13687
256	2295	13667
257	2303	13651
258	2308	13621
259	2315	13599
260	2321	13573
261	2327	13548
262	2332	13516
263	2337	13484
264	2342	13454
265	2347	13423
266	2355	13406
267	2362	13388
268	2367	13357
269	2371	13326
270	2377	13301
271	2383	13277
272	2388	13247
273	2393	13217
274	2398	13187
275	2404	13165
276	2409	13136
277	2415	13112
278	2425	13112
279	2430	13083
280	2436	13056
281	2441	13028
282	2447	13008
283	2452	12979
284	2459	12962
285	2464	12935
286	2471	12916
287	2479	12904
288	2485	12883
289	2490	12856
290	2498	12843
291	2504	12823
292	2511	12807
293	2518	12791
294	2524	12766
295	2530	12748
296	2538	12735
297	2543	12709
298	2548	12682
299	2553	12655
300	2561	12646
301	2566	12620
302	2571	12593
303	2578	12576
304	2585	12560
305	2590	12538
306	2597	12521
307	2604	12506
308	2609	12481
309	2614	12455
310	2619	12429
311	2623	12404
312	2629	12384
313	2639	12380
314	2644	12356
315	2654	12355
316	2659	12332
317	2664	12308
318	2669	12283
319	2676	12270
320	2681	12246
321	2686	12222
322	2691	12198
323	2697	12179
324	2702	12157
325	2707	12133
326	2712	12109
327	2717	12086
328	2722	12063
329	2726	12039
330	2731	12016
331	2736	11993
332	2741	11970
333	2746	11947
334	2752	11930
335	2758	11912
336	2765	11898
337	2770	11878
338	2777	11862
339	2781	11839
340	2788	11823
341	2793	11802
342	2798	11780
343	2803	11758
344	2807	11736
345	2812	11714
346	2819	11699
347	2826	11685
348	2831	11666
349	2836	11645
350	2841	11626
351	2846	11606
352	2851	11584
353	2858	11571
354	2863	11551
355	2868	11530
356	2873	11509
357	2878	11488
358	2883	11467
359	2887	11447
360	2892	11426
361	2897	11406
362	2904	11395
363	2913	11390
364	2921	11382
365	2926	11362
366	2935	11358
367	2940	11338
368	2945	11319
369	2950	11300
370	2957	11287
371	2963	11273
372	2970	11260
373	2976	11244
374	2983	11234
375	2988	11215
376	2993	11195
377	2998	11176
378	3003	11157
379	3008	11140
380	3013	11122
381	3020	11109
382	3025	11090
383	3030	11072
384	3035	11053
385	3040	11034
386	3045	11016
387	3051	11001
388	3057	10987
389	3063	10974
390	3071	10964
391	3077	10953
392	3083	10935
393	3087	10917
394	3094	10906
395	3103	10899
396	3110	10891
397	3117	10879
398	3123	10864
399	3128	10846
400	3135	10836
401	3140	10819
402	3146	10805
403	3153	10794
404	3161	10789
405	3167	10774
406	3176	10770
407	3183	10758
408	3187	10740
409	3192	10723
410	3199	10710
411	3204	10694
412	3209	10676
413	3217	10670
414	3226	10665
415	3234	10660
416	3239	10643
417	3245	10630
418	3251	10616
419	3261	10615
420	3266	10600
421	3272	10584
422	3281	10582
423	3286	10564
424	3291	10547
425	3296	10530
426	3301	10514
427	3309	10508
428	3318	10503
429	3323	10489
430	3328	10472
431	3334	10458
432	3339	10441
433	3344	10426
434	3354	10426
435	3360	10414
436	3366	10399
437	3375	10396
438	3380	10380
439	3386	10366
440	3395	10364
441	3400	10348
442	3410	10346
443	3415	10329
444	3424	10328
445	3429	10312
446	3435	10298
447	3445	10297
448	3453	10290
449	3463	10289
450	3470	10281
451	3475	10265
452	3480	10249
453	3489	10244
454	3493	10228
455	3503	10226
456	3512	10223
457	3521	10217
458	3530	10214
459	3535	10199
460	3540	10183
461	3547	10174
462	3552	10159
463	3557	10144
464	3566	10138
465	3575	10134
466	3583	10128
467	3590	10120
468	3595	10105
469	3603	10098
470	3614	10098
471	3619	10082
472	3628	10078
473	3637	10076
474	3646	10072
475	3652	10059
476	3661	10055
477	3666	10040
478	3675	10036
479	3680	10021
480	3686	10009
481	3696	10007
482	3701	9992
483	3710	9989
484	3716	9978
485	3725	9973
486	3735	9971
487	3740	9957
488	3745	9942
489	3753	9934
490	3762	9931
491	3770	9924
492	3775	9909
493	3783	9903
494	3792	9897
495	3798	9886
496	3804	9873
497	3813	9870
498	3821	9862
499	3829	9855
500	3837	9849
501	3846	9847
502	3855	9841
503	3863	9835
504	3872	9830
505	3881	9825
506	3890	9822
507	3895	9808
508	3905	9806
509	3910	9792
510	3915	9777
511	3924	9773
512	3933	9768
513	3941	9762
514	3950	9758
515	3957	9748
516	3967	9744
517	3972	9730
518	3977	9717
519	3986	9713
520	3992	9702
521	3998	9689
522	4006	9682
523	4014	9675
524	4021	9666
525	4026	9652
526	4035	9649
527	4043	9640
528	4048	9627
529	4056	9620
530	4066	9618
531	4074	9612
532	4084	9609
533	4094	9607
534	4101	9599
535	4109	9590
536	4118	9586
537	4125	9578
538	4134	9573
539	4142	9566
540	4149	9556
541	4159	9553
542	4167	9546
543	4174	9538
544	4180	9526
545	4190	9523
546	4200	9521
547	4205	9508
548	4213	9502
549	4218	9488
550	4228	9486
551	4238	9483
552	4248	9480
553	4253	9466
554	4261	9460
555	4271	9456
556	4276	9443
557	4285	9439
558	4290	9426
559	4297	9415
560	4306	9411
561	4316	9408
562	4323	9400
563	4329	9387
564	4334	9374
565	4343	9369
566	4348	9356
567	4353	9343
568	4359	9331
569	4365	9321
570	4373	9312
571	4382	9309
572	4391	9303
573	4398	9295
574	4407	9291
575	4416	9286
576	4426	9283
577	4433	9272
578	4441	9267
579	4447	9254
580	4457	9251
581	4462	9239
582	4472	9236
583	4479	9226
584	4487	9221
585	4493	9209
586	4502	9203
587	4508	9193
588	4517	9187
589	4524	9179
590	4529	9166
591	4537	9160
592	4545	9151
593	4551	9141
594	4560	9136
595	4570	9133
596	4575	9120
597	4581	9109
598	4588	9099
599	4597	9094
600	4605	9088
601	4612	9078
602	4621	9074
603	4627	9064
604	4635	9055
605	4641	9044
606	4650	9040
607	4659	9034
608	4668	9031
609	4678	9026
610	4682	9012
611	4686	8998
612	4692	8987
613	4699	8977
614	4708	8972
615	4714	8962
616	4721	8952
617	4728	8944
618	4737	8939
619	4744	8931
620	4750	8920
621	4756	8908
622	4762	8897
623	4771	8892
624	4777	8881
625	4784	8873
626	4789	8861
627	4798	8856
628	4804	8845
629	4814	8841
630	4821	8833
631	4828	8823
632	4838	8820
633	4845	8812
634	4851	8801
635	4861	8797
636	4871	8794
637	4878	8786
638	4885	8777
639	4890	8764
640	4896	8754
641	4906	8750
642	4913	8742
643	4923	8738
644	4933	8734
645	4941	8727
646	4950	8722
647	4955	8710
648	4963	8702
649	4972	8698
650	4982	8693
651	4991	8688
652	4996	8676
653	5005	8671
654	5014	8666
655	5022	8660
656	5032	8655
657	5037	8643
658	5046	8638
659	5056	8633
660	5063	8625
661	5070	8616
662	5074	8603
663	5080	8593
664	5089	8586
665	5095	8575
666	5104	8570
667	5113	8565
668	5122	8560
669	5131	8555
670	5138	8545
671	5144	8536
672	5153	8531
673	5162	8525
674	5168	8514
675	5177	8508
676	5186	8503
677	5195	8498
678	5205	8494
679	5215	8489
680	5222	8481
681	5231	8476
682	5240	8471
683	5248	8463
684	5257	8457
685	5263	8448
686	5272	8442
687	5281	8437
688	5290	8431
689	5298	8423
690	5307	8417
691	5313	8407
692	5318	8396
693	5327	8391
694	5337	8386
695	5346	8380
696	5354	8373
697	5359	8361
698	5365	8351
699	5373	8344
700	5378	8332
701	5387	8326
702	5396	8321
703	5405	8315
704	5414	8310
705	5421	8300
706	5428	8293
707	5437	8287
708	5447	8282
709	5454	8273
