[I 2026-07-14 16:31:28,526] A new study created in RDB with name: my-study
[I 2026-07-14 16:31:37,975] Trial 2 finished with value: -0.1714270744798759 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.006027773357236168, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 2.0449300169449586e-06, 'reg_lambda': 7.2262826749195e-05, 'gamma': 1.18046470031187}. Best is trial 2 with value: -0.1714270744798759.
[I 2026-07-14 16:31:40,108] Trial 0 finished with value: -0.172100596658363 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.1854231385458799, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.3832387585756484, 'reg_lambda': 9.275846216075167e-05, 'gamma': 2.6088738100044875}. Best is trial 0 with value: -0.172100596658363.
[I 2026-07-14 16:31:45,941] Trial 1 finished with value: -0.17186494301898111 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1500, 'learning_rate': 0.001602199377197596, 'max_depth': 12, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 3.9892981198407026e-05, 'reg_lambda': 0.0013093107528663677, 'gamma': 1.050230701562818}. Best is trial 0 with value: -0.172100596658363.
[I 2026-07-14 16:32:05,364] Trial 5 finished with value: -0.19153081533808547 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.11204031441838451, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 2.749086102937363e-06, 'reg_lambda': 0.0030987445174938144, 'gamma': 3.0581244929130306e-05}. Best is trial 5 with value: -0.19153081533808547.
[I 2026-07-14 16:32:08,692] Trial 3 finished with value: -0.1780973253862816 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.0016176939320395403, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 4.294192844441315e-06, 'reg_lambda': 6.589671416856736, 'gamma': 5.453829766231327}. Best is trial 5 with value: -0.19153081533808547.
[I 2026-07-14 16:32:11,389] Trial 4 finished with value: -0.18959141403350804 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.005543424416471419, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 18.33560908640413, 'reg_lambda': 1.4940041363635772, 'gamma': 26.742222928654563}. Best is trial 5 with value: -0.19153081533808547.
[I 2026-07-14 16:32:13,891] Trial 6 finished with value: -0.20123393198097 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 250, 'learning_rate': 0.00018105666616212562, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.4063387657892834, 'reg_lambda': 1.3494178015205291, 'gamma': 8.315827161277643e-06}. Best is trial 6 with value: -0.20123393198097.
[I 2026-07-14 16:32:32,508] Trial 7 finished with value: -0.1918587872098894 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.00010630399499054966, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.05113016664045958, 'reg_lambda': 1.6511356365866294e-06, 'gamma': 1.1006874028543256e-06}. Best is trial 6 with value: -0.20123393198097.
[I 2026-07-14 16:32:37,934] Trial 8 finished with value: -0.17609111841525904 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1500, 'learning_rate': 0.0016493123671248147, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 31.83297513078514, 'reg_lambda': 0.00017413218619264422, 'gamma': 0.002555278359647066}. Best is trial 6 with value: -0.20123393198097.
[I 2026-07-14 16:32:49,134] Trial 9 finished with value: -0.17278159896490264 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1650, 'learning_rate': 0.032452965238773876, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.19898742623043797, 'reg_lambda': 0.16733657407059488, 'gamma': 0.1031995115584444}. Best is trial 6 with value: -0.20123393198097.
[I 2026-07-14 16:32:50,928] Trial 10 finished with value: -0.18130096621872163 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.07098722640251501, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 22.134859953446803, 'reg_lambda': 0.00226375008997502, 'gamma': 9.021176550945603}. Best is trial 6 with value: -0.20123393198097.
[I 2026-07-14 16:33:00,896] Trial 11 finished with value: -0.23258706699442544 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2000, 'learning_rate': 0.28378925995593396, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00010252292719268005, 'reg_lambda': 0.019472630655775786, 'gamma': 0.0035802325524521604}. Best is trial 11 with value: -0.23258706699442544.
[I 2026-07-14 16:33:17,215] Trial 12 finished with value: -0.19458281334945504 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.07143185824074265, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.018759127366349156, 'reg_lambda': 0.010506707155363013, 'gamma': 7.832530020885163e-06}. Best is trial 11 with value: -0.23258706699442544.
[I 2026-07-14 16:33:21,850] Trial 13 finished with value: -0.17092644104338386 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2100, 'learning_rate': 0.0064626659658542605, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 3.646436046020011, 'reg_lambda': 1.4779914466818672e-06, 'gamma': 0.6596802063380205}. Best is trial 11 with value: -0.23258706699442544.
[I 2026-07-14 16:33:50,112] Trial 14 finished with value: -0.17793527809592377 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2050, 'learning_rate': 0.00307520334371261, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0008981106072854585, 'reg_lambda': 3.9990201228317415, 'gamma': 0.03413068266977329}. Best is trial 11 with value: -0.23258706699442544.
[I 2026-07-14 16:33:51,374] Trial 15 finished with value: -0.19780574978089746 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.0002959191338327071, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.9446975646888706, 'reg_lambda': 0.00010656136608917158, 'gamma': 0.0070657164360917995}. Best is trial 11 with value: -0.23258706699442544.
[I 2026-07-14 16:33:59,216] Trial 17 finished with value: -0.20271742770014156 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.0001386749788163275, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.000549744462002061, 'reg_lambda': 99.11119245884001, 'gamma': 0.0023886397746227302}. Best is trial 11 with value: -0.23258706699442544.
[I 2026-07-14 16:33:59,737] Trial 16 finished with value: -0.19023722885506827 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.00023285669022776173, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 20.828022612050972, 'reg_lambda': 0.5428384914137244, 'gamma': 0.09244018396107226}. Best is trial 11 with value: -0.23258706699442544.
[I 2026-07-14 16:34:00,294] Trial 18 finished with value: -0.2027538313223438 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.00012415172332565062, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.004584491617013406, 'reg_lambda': 1.0379259579404711e-06, 'gamma': 2.112918027782146e-06}. Best is trial 11 with value: -0.23258706699442544.
[I 2026-07-14 16:34:02,295] Trial 19 finished with value: -0.20121907715515702 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 500, 'learning_rate': 0.00010443960951061226, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0006551409727135282, 'reg_lambda': 0.41060902855413917, 'gamma': 0.0009815843987769843}. Best is trial 11 with value: -0.23258706699442544.
[I 2026-07-14 16:34:03,213] Trial 20 finished with value: -0.20253512719373173 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 200, 'learning_rate': 0.00011595038123666938, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0012129226553993435, 'reg_lambda': 66.0158694053803, 'gamma': 0.0009019448039201078}. Best is trial 11 with value: -0.23258706699442544.
[I 2026-07-14 16:34:03,620] Trial 21 finished with value: -0.20304718045813652 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.00012725911736323988, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0005248343877177453, 'reg_lambda': 80.04994055534812, 'gamma': 0.0007524901289349366}. Best is trial 11 with value: -0.23258706699442544.
[I 2026-07-14 16:34:04,551] Trial 22 finished with value: -0.2021570637572357 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 200, 'learning_rate': 0.00015507003848590266, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0011275955554012323, 'reg_lambda': 87.73662782295325, 'gamma': 0.000684917596556556}. Best is trial 11 with value: -0.23258706699442544.
[I 2026-07-14 16:34:05,305] Trial 23 finished with value: -0.19981025953870615 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.4993427309870483, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.002228997272260656, 'reg_lambda': 0.14040406038413322, 'gamma': 0.0002084544565288702}. Best is trial 11 with value: -0.23258706699442544.
[I 2026-07-14 16:34:08,490] Trial 24 finished with value: -0.22205841388224046 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.4898047035322141, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0006320670996668794, 'reg_lambda': 79.52537050665245, 'gamma': 0.0005126308546253572}. Best is trial 11 with value: -0.23258706699442544.
[I 2026-07-14 16:34:19,508] Trial 25 finished with value: -0.2606321048813387 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.448927373040043, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0008131446699485735, 'reg_lambda': 45.81127556006948, 'gamma': 0.0005417045671171186}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:34:32,165] Trial 26 finished with value: -0.24982391807844131 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.4822139972871052, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0016232680158249422, 'reg_lambda': 0.045712466059093064, 'gamma': 0.0003241509412836885}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:34:43,119] Trial 27 finished with value: -0.22201503091669966 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2550, 'learning_rate': 0.38511341392923015, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.006373931289117096, 'reg_lambda': 9.540908430940483e-06, 'gamma': 0.0002005756127573513}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:34:45,250] Trial 28 finished with value: -0.1959653577989484 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 750, 'learning_rate': 0.4886502255415068, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 9.052699277979179e-05, 'reg_lambda': 0.04302708424981562, 'gamma': 0.00011086967950421842}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:34:49,601] Trial 29 finished with value: -0.1819694200144471 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 850, 'learning_rate': 0.0007641279469371495, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 5.881769546591675e-05, 'reg_lambda': 0.028943800993495604, 'gamma': 0.00017121362243876899}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:34:54,062] Trial 30 finished with value: -0.18380251158388744 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.0006055693186386587, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 6.606726058452091e-05, 'reg_lambda': 0.022229664143622277, 'gamma': 4.600471443342691e-05}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:34:57,734] Trial 31 finished with value: -0.1862045817729446 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 850, 'learning_rate': 0.0005660486180592117, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 6.32647641737173e-05, 'reg_lambda': 6.722857772817569e-06, 'gamma': 7.542210339682654e-05}. Best is trial 25 with value: -0.2606321048813387.
[I 2026-07-14 16:35:01,062] Trial 32 finished with value: -0.23005723564979177 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.38420892069268064, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0001349431915820228, 'reg_lambda': 18.513058255019747, 'gamma': 0.00011783007915696344}. Best is trial 25 with value: -0.2606321048813387.
