[I 2026-07-14 16:32:32,206] A new study created in RDB with name: my-study
[I 2026-07-14 16:32:51,827] Trial 1 finished with value: -0.16433079544838647 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.0014926208582491615, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.86142038070182, 'reg_lambda': 0.06634440976018907, 'gamma': 0.0005657414281683178}. Best is trial 1 with value: -0.16433079544838647.
[I 2026-07-14 16:32:54,096] Trial 0 finished with value: -0.16707580284343176 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.006155954175384256, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0006386194550371185, 'reg_lambda': 5.381952157420614, 'gamma': 1.131110312851416}. Best is trial 0 with value: -0.16707580284343176.
[I 2026-07-14 16:32:56,215] Trial 2 finished with value: -0.18587707726159117 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1400, 'learning_rate': 0.21320807943761727, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 6.191367162675129e-05, 'reg_lambda': 0.00038700165062049166, 'gamma': 38.576353406222914}. Best is trial 2 with value: -0.18587707726159117.
[I 2026-07-14 16:33:04,657] Trial 5 finished with value: -0.17373562240030133 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1150, 'learning_rate': 0.0008639277791419569, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 5.909137590390219e-06, 'reg_lambda': 0.12323890737742745, 'gamma': 0.00046435217142710994}. Best is trial 2 with value: -0.18587707726159117.
[I 2026-07-14 16:33:05,809] Trial 3 finished with value: -0.17326623452709514 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.2723183552100048, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.03743055219097804, 'reg_lambda': 14.785407122879805, 'gamma': 6.453470348081}. Best is trial 2 with value: -0.18587707726159117.
[I 2026-07-14 16:33:09,256] Trial 4 finished with value: -0.17608198894554875 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 750, 'learning_rate': 0.17917394315716495, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0016617832276479845, 'reg_lambda': 0.02451730214777219, 'gamma': 0.024542084959926096}. Best is trial 2 with value: -0.18587707726159117.
[I 2026-07-14 16:33:18,792] Trial 6 finished with value: -0.1681998240276287 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1000, 'learning_rate': 0.001483117214605553, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.7114342995119405, 'reg_lambda': 5.463105975123128, 'gamma': 0.0010249083449136859}. Best is trial 2 with value: -0.18587707726159117.
[I 2026-07-14 16:33:25,857] Trial 7 finished with value: -0.16571626426769612 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.005515534032098817, 'max_depth': 11, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0010460653150684669, 'reg_lambda': 7.56764558936678, 'gamma': 0.5678792689542534}. Best is trial 2 with value: -0.18587707726159117.
[I 2026-07-14 16:33:39,014] Trial 8 finished with value: -0.20954734636078504 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.3692396012360641, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0005031792718863143, 'reg_lambda': 1.3434422826568402e-05, 'gamma': 0.2109671157974451}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:33:46,819] Trial 9 finished with value: -0.1883884936659351 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.27983929286198794, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.13971183471702545, 'reg_lambda': 0.004213930071346088, 'gamma': 0.00035424093688388733}. Best is trial 8 with value: -0.20954734636078504.
[I 2026-07-14 16:33:56,779] Trial 10 finished with value: -0.17238491983282667 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2200, 'learning_rate': 0.05845082392880711, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.3048979076923284, 'reg_lambda': 1.5407773267698535e-06, 'gamma': 4.76220706346114e-06}. Best is trial 8 with value: -0.20954734636078504.
