[I 2026-07-14 16:32:32,293] A new study created in RDB with name: my-study
[I 2026-07-14 16:32:55,652] Trial 0 finished with value: -0.2211634313358127 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2000, 'learning_rate': 0.14196080266943736, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 3.9088366470063853, 'reg_lambda': 7.439568144768912e-05, 'gamma': 0.011301938484456424}. Best is trial 0 with value: -0.2211634313358127.
[I 2026-07-14 16:32:58,683] Trial 1 finished with value: -0.19606661761305302 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.22105471819675548, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0014210699630237288, 'reg_lambda': 0.0007430027878573248, 'gamma': 2.4573212864051155}. Best is trial 0 with value: -0.2211634313358127.
[I 2026-07-14 16:33:09,065] Trial 2 finished with value: -0.2009163392443289 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.001263610771742398, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 1.7756006182793116e-05, 'reg_lambda': 0.0009854010265049214, 'gamma': 0.000889510629259224}. Best is trial 0 with value: -0.2211634313358127.
[I 2026-07-14 16:33:10,603] Trial 3 finished with value: -0.19353294096238216 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 550, 'learning_rate': 0.16232877223059847, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 11.605007143820448, 'reg_lambda': 8.889123813338905e-05, 'gamma': 0.00011875974350118258}. Best is trial 0 with value: -0.2211634313358127.
[I 2026-07-14 16:33:14,744] Trial 6 finished with value: -0.21123849844314044 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.4215917210991088, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 8.535153661890986e-05, 'reg_lambda': 0.17811162206765413, 'gamma': 0.4027659475984853}. Best is trial 0 with value: -0.2211634313358127.
[I 2026-07-14 16:34:04,122] Trial 5 finished with value: -0.3514624342864982 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2250, 'learning_rate': 0.3505294140291895, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.2209701524952074, 'reg_lambda': 72.5795476557455, 'gamma': 0.01845602610820528}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:34:11,218] Trial 4 finished with value: -0.22266277081492214 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2100, 'learning_rate': 0.00017491427760822696, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.005627715961358561, 'reg_lambda': 0.016375039040889872, 'gamma': 2.232505628436951e-06}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:34:25,555] Trial 7 finished with value: -0.21620442210135635 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.0003423417486326893, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0023606174035304896, 'reg_lambda': 3.1676596495573784e-06, 'gamma': 0.0010045931791966517}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:34:29,012] Trial 9 finished with value: -0.20634562318891733 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.005930660306814098, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.9315700890288526, 'reg_lambda': 0.4649153717311066, 'gamma': 0.009118805687841623}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:34:29,057] Trial 8 finished with value: -0.22037452762915533 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1400, 'learning_rate': 0.00047851656026796517, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 2.108331530021359, 'reg_lambda': 2.10952679550533, 'gamma': 14.634890881407909}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:34:41,136] Trial 10 finished with value: -0.1918314459691589 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1200, 'learning_rate': 0.005754076916930173, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.731811143619562e-05, 'reg_lambda': 0.009827831072226047, 'gamma': 2.2483468500263995e-06}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:34:48,566] Trial 11 finished with value: -0.1962475511687959 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.001896474005335127, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0011452822388300775, 'reg_lambda': 0.002859679510105236, 'gamma': 1.7578178924922157}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:34:59,821] Trial 12 finished with value: -0.23587592851732636 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.3415336258020781, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.04091918730611756, 'reg_lambda': 2.602135036914718e-05, 'gamma': 2.0418709013055994e-06}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:35:01,710] Trial 13 finished with value: -0.22118820428014455 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 600, 'learning_rate': 0.4766801516168263, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.03152918959721793, 'reg_lambda': 0.03726956076241487, 'gamma': 0.00034531399603513}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:35:11,012] Trial 14 finished with value: -0.1881684831114936 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2600, 'learning_rate': 0.00739049589734231, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 2.649455179459918, 'reg_lambda': 29.653763942768954, 'gamma': 0.09121925768973285}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:35:39,013] Trial 15 finished with value: -0.20863825957218884 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2100, 'learning_rate': 0.029994478869344532, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0031877915976171057, 'reg_lambda': 0.4514263395270302, 'gamma': 8.495908399306856e-05}. Best is trial 5 with value: -0.3514624342864982.
[I 2026-07-14 16:35:44,782] Trial 16 finished with value: -0.22761354087854233 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.02122610631338473, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0674616213047874e-06, 'reg_lambda': 39.479895670102565, 'gamma': 64.41622818923099}. Best is trial 5 with value: -0.3514624342864982.
