[I 2026-07-14 16:32:32,272] A new study created in RDB with name: my-study
[I 2026-07-14 16:32:42,735] Trial 2 finished with value: -0.191916537680978 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.006593846231744366, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00011038352575938753, 'reg_lambda': 28.648734317583283, 'gamma': 1.8798538881417652}. Best is trial 2 with value: -0.191916537680978.
[I 2026-07-14 16:32:54,076] Trial 1 finished with value: -0.217646515173487 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.10942629028331913, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0010821995197757431, 'reg_lambda': 0.001314364109832319, 'gamma': 0.0006332762501516545}. Best is trial 1 with value: -0.217646515173487.
[I 2026-07-14 16:33:10,159] Trial 0 finished with value: -0.247120844211354 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.22557226928070576, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 1.9386599634632518, 'reg_lambda': 0.00022827001996445005, 'gamma': 5.872250899992561e-05}. Best is trial 0 with value: -0.247120844211354.
[I 2026-07-14 16:33:26,486] Trial 3 finished with value: -0.2074432951375289 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.0501109531051246, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 2.040516540305162e-06, 'reg_lambda': 0.2401096638073997, 'gamma': 2.382288884912107e-05}. Best is trial 0 with value: -0.247120844211354.
[I 2026-07-14 16:33:30,958] Trial 6 finished with value: -0.20614635946134663 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.16596531477642934, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 1.977515623956609e-05, 'reg_lambda': 0.0010962157277417926, 'gamma': 21.109701822384356}. Best is trial 0 with value: -0.247120844211354.
[I 2026-07-14 16:33:53,091] Trial 5 finished with value: -0.32680212024387695 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.3882072212772253, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 3.062639259305219, 'reg_lambda': 0.00022197200575644078, 'gamma': 0.0024611701356569817}. Best is trial 5 with value: -0.32680212024387695.
[I 2026-07-14 16:34:29,452] Trial 4 finished with value: -0.2091679978515018 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.03552308803981392, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.005248048660477282, 'reg_lambda': 0.004998201916016895, 'gamma': 1.024736672784964e-06}. Best is trial 5 with value: -0.32680212024387695.
[I 2026-07-14 16:34:35,652] Trial 7 finished with value: -0.19246164447638858 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1750, 'learning_rate': 0.04868853770120913, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00020444713917772259, 'reg_lambda': 0.00021964017736647552, 'gamma': 0.06171787788266431}. Best is trial 5 with value: -0.32680212024387695.
[I 2026-07-14 16:34:39,905] Trial 8 finished with value: -0.21026868368315635 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.19109433402264425, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.004415344237748537, 'reg_lambda': 3.1838725706347417, 'gamma': 32.961688514169374}. Best is trial 5 with value: -0.32680212024387695.
[I 2026-07-14 16:34:45,177] Trial 9 finished with value: -0.2006990215278963 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.22846913225863488, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 30.128343113271097, 'reg_lambda': 3.849618195341331e-05, 'gamma': 2.1432738373753857}. Best is trial 5 with value: -0.32680212024387695.
[I 2026-07-14 16:34:46,686] Trial 10 finished with value: -0.2074613996922705 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.2223834274935936, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.5658473396414278e-05, 'reg_lambda': 0.022674179489553404, 'gamma': 24.922092667819477}. Best is trial 5 with value: -0.32680212024387695.
[I 2026-07-14 16:34:58,904] Trial 11 finished with value: -0.18498292378959744 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.001556626641179731, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00014459781504819237, 'reg_lambda': 0.056523616284969644, 'gamma': 0.001495489845902017}. Best is trial 5 with value: -0.32680212024387695.
[I 2026-07-14 16:35:11,158] Trial 12 finished with value: -0.21091882734835696 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.025048622373439328, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 7.584641923228724e-06, 'reg_lambda': 0.004456208410633027, 'gamma': 0.003473673874609334}. Best is trial 5 with value: -0.32680212024387695.
[I 2026-07-14 16:36:25,327] Trial 13 finished with value: -0.3432160269252166 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.38912091751485417, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 3.9931470238686564, 'reg_lambda': 5.460331732436522e-06, 'gamma': 2.103512452073166e-06}. Best is trial 13 with value: -0.3432160269252166.
[I 2026-07-14 16:36:30,062] Trial 14 finished with value: -0.19027618778945998 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.0031646754690813164, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.005917968550907109, 'reg_lambda': 1.2515182217263534, 'gamma': 1.715798227795168}. Best is trial 13 with value: -0.3432160269252166.
[I 2026-07-14 16:37:00,461] Trial 15 finished with value: -0.18648512694400304 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.0011153588796621783, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 1.5818925590091313, 'reg_lambda': 0.00015326155569623585, 'gamma': 0.042377320970209326}. Best is trial 13 with value: -0.3432160269252166.
[I 2026-07-14 16:37:06,618] Trial 16 finished with value: -0.2222687497272893 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1950, 'learning_rate': 0.0001674358843301181, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0038385217494097735, 'reg_lambda': 0.0005620420869810476, 'gamma': 0.0028307818250407034}. Best is trial 13 with value: -0.3432160269252166.
[I 2026-07-14 16:37:06,807] Trial 17 finished with value: -0.24266250478363285 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.00014147315433265045, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.5042340834825008, 'reg_lambda': 1.0813557552293567e-06, 'gamma': 0.007705254842941699}. Best is trial 13 with value: -0.3432160269252166.
[I 2026-07-14 16:37:09,381] Trial 18 finished with value: -0.2380109316597983 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 200, 'learning_rate': 0.00035694397821054715, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 2.7797062521410822, 'reg_lambda': 4.233547374140169e-06, 'gamma': 0.0018420915165032656}. Best is trial 13 with value: -0.3432160269252166.
[I 2026-07-14 16:37:10,576] Trial 19 finished with value: -0.1954028454367794 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.012870123250078112, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 4.06838474062974, 'reg_lambda': 1.0743499555751e-06, 'gamma': 0.0017041991045724323}. Best is trial 13 with value: -0.3432160269252166.
[I 2026-07-14 16:37:11,980] Trial 20 finished with value: -0.2250912173905592 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.46553121975382716, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 3.2977380672593277, 'reg_lambda': 1.5560752543995476e-06, 'gamma': 8.172275193077286e-05}. Best is trial 13 with value: -0.3432160269252166.
[I 2026-07-14 16:38:13,301] Trial 21 finished with value: -0.49801046385794334 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.4225879215523655, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.8059325645469763, 'reg_lambda': 2.7747759060019293e-06, 'gamma': 2.7189853809362218e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:39:01,392] Trial 22 finished with value: -0.4132355454485615 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.45825294608263745, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.3499176085110489, 'reg_lambda': 1.0923025875824523e-06, 'gamma': 1.4374185045206542e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:39:08,911] Trial 23 finished with value: -0.23966742319779347 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 300, 'learning_rate': 0.00016781922735094283, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.25394185284410686, 'reg_lambda': 1.0837809252438174e-06, 'gamma': 2.254086996054096e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:39:14,287] Trial 24 finished with value: -0.2803194896145495 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 350, 'learning_rate': 0.4833943105233135, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.17183598867718697, 'reg_lambda': 1.045070094374527e-06, 'gamma': 2.1763454708933563e-05}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:39:19,021] Trial 25 finished with value: -0.20345504314377233 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.47441091920787004, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 95.9025920402723, 'reg_lambda': 4.5701537700778725e-06, 'gamma': 1.735646063111044e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:40:03,843] Trial 26 finished with value: -0.3268616789836951 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.4440791581354091, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.08043134302116108, 'reg_lambda': 1.1384300297826675e-05, 'gamma': 1.7563675710580942e-06}. Best is trial 21 with value: -0.49801046385794334.
[I 2026-07-14 16:40:35,355] Trial 27 finished with value: -0.24319222086582598 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.0932035733837757, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.15954877702677905, 'reg_lambda': 1.2110121538064478e-05, 'gamma': 1.359879783854912e-06}. Best is trial 21 with value: -0.49801046385794334.
