[I 2026-07-14 16:32:32,219] A new study created in RDB with name: my-study
[I 2026-07-14 16:32:39,628] Trial 0 finished with value: -0.20067714110776896 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.007251457018802114, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 8.476686782700407e-05, 'reg_lambda': 27.75987282862575, 'gamma': 0.0002149651748682435}. Best is trial 0 with value: -0.20067714110776896.
[I 2026-07-14 16:32:55,304] Trial 1 finished with value: -0.23941134062611752 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.00043474239145193554, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.06698944474121078, 'reg_lambda': 0.03218718843958185, 'gamma': 0.01202375231785065}. Best is trial 1 with value: -0.23941134062611752.
[I 2026-07-14 16:32:58,558] Trial 2 finished with value: -0.24496101012463473 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 300, 'learning_rate': 0.0031077713409137335, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 4.0819814837634265e-06, 'reg_lambda': 0.00047190249737283303, 'gamma': 0.1984158236720111}. Best is trial 2 with value: -0.24496101012463473.
[I 2026-07-14 16:33:36,400] Trial 5 finished with value: -0.3171948444136403 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.00014293481593893593, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 2.2023572224957423e-05, 'reg_lambda': 4.127875339698551e-06, 'gamma': 0.00754679571765954}. Best is trial 5 with value: -0.3171948444136403.
[I 2026-07-14 16:33:41,711] Trial 4 finished with value: -0.267706847136673 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1900, 'learning_rate': 0.0006303056212069511, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.28297062850072613, 'reg_lambda': 5.5063159639588894, 'gamma': 10.679909125595232}. Best is trial 5 with value: -0.3171948444136403.
[I 2026-07-14 16:33:47,381] Trial 3 finished with value: -0.14754894749169692 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.0064812867581199585, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 2.080827481539955, 'reg_lambda': 0.09791556330524381, 'gamma': 0.5689763504383054}. Best is trial 5 with value: -0.3171948444136403.
[I 2026-07-14 16:33:50,869] Trial 6 finished with value: -0.13579971176496566 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1650, 'learning_rate': 0.03750615679217078, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.5351296383443206, 'reg_lambda': 0.4842224453194945, 'gamma': 1.5048831554439228}. Best is trial 5 with value: -0.3171948444136403.
[I 2026-07-14 16:34:23,403] Trial 7 finished with value: -0.2314891427291961 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2100, 'learning_rate': 0.0006952638119114765, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.004990860583419819, 'reg_lambda': 0.5112627652082528, 'gamma': 0.06338140930994901}. Best is trial 5 with value: -0.3171948444136403.
[I 2026-07-14 16:34:53,749] Trial 8 finished with value: -0.22045045422202286 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.3755808404873336, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 4.173670228716073, 'reg_lambda': 2.9339903032309836e-06, 'gamma': 1.3238993816902193e-06}. Best is trial 5 with value: -0.3171948444136403.
[I 2026-07-14 16:35:21,554] Trial 9 finished with value: -0.18335305610569394 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.2771292762350589, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 2.7573234992431437e-05, 'reg_lambda': 0.0007506527828737367, 'gamma': 1.7484162842168036e-06}. Best is trial 5 with value: -0.3171948444136403.
[I 2026-07-14 16:35:37,488] Trial 10 finished with value: -0.1524539553337296 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.18132070036166978, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.06834790802291442, 'reg_lambda': 4.085402292255642, 'gamma': 1.0045179314291639e-05}. Best is trial 5 with value: -0.3171948444136403.
