[I 2026-07-14 16:32:32,199] A new study created in RDB with name: my-study
[I 2026-07-14 16:32:46,642] Trial 0 finished with value: -0.11069447587347964 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.007345107964578437, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.6115489528642566, 'reg_lambda': 1.3159685815328776e-05, 'gamma': 1.4537402441504419e-05}. Best is trial 0 with value: -0.11069447587347964.
[I 2026-07-14 16:32:47,533] Trial 1 finished with value: -0.3749941374876557 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 300, 'learning_rate': 0.00032636677809681655, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 52.69937965481381, 'reg_lambda': 0.0030235645277688077, 'gamma': 0.001584879306375464}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:32:49,427] Trial 2 finished with value: -0.16570371704809167 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1200, 'learning_rate': 0.037975942707060305, 'max_depth': 3, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 25.004064356609167, 'reg_lambda': 4.156602250255392e-06, 'gamma': 0.16945059112408334}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:32:52,941] Trial 3 finished with value: -0.16861263993883244 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.011099945951219083, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 21.36611263766583, 'reg_lambda': 0.2314679346428982, 'gamma': 0.8753108812386718}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:32:56,389] Trial 4 finished with value: -0.10098582116085833 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 900, 'learning_rate': 0.055019115718947, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 6.056015681631954e-05, 'reg_lambda': 59.20762625973837, 'gamma': 2.032394509150864e-06}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:33:02,312] Trial 5 finished with value: -0.11114202229240393 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.05492693568219647, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0010519220217705843, 'reg_lambda': 5.027701895422226e-06, 'gamma': 0.004211951562225966}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:33:13,962] Trial 6 finished with value: -0.31623653494584875 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.0003048171747757569, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0008847108047997491, 'reg_lambda': 0.07989779564842271, 'gamma': 1.0066527227230988}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:33:16,631] Trial 7 finished with value: -0.17380494885300807 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1800, 'learning_rate': 0.11914287525781127, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 42.822438710320114, 'reg_lambda': 0.05205269140449207, 'gamma': 2.070488915915359e-06}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:33:18,867] Trial 8 finished with value: -0.3430536748057071 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.000571893473516039, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 90.49486056064191, 'reg_lambda': 0.00017517735573294844, 'gamma': 0.0028117175549944706}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:33:24,250] Trial 9 finished with value: -0.1163129362111484 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.10246578179495262, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.017425098053453037, 'reg_lambda': 0.0004199687092017033, 'gamma': 1.0093609806542827}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:33:35,477] Trial 10 finished with value: -0.12682803836324713 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.003922287306473965, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 3.8581816649449665e-05, 'reg_lambda': 5.844510520495544, 'gamma': 1.1048224523620347}. Best is trial 1 with value: -0.3749941374876557.
[I 2026-07-14 16:33:38,744] Trial 11 finished with value: -0.1047251780737005 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.11546682822683958, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 7.741407467468667e-06, 'reg_lambda': 0.9515466190551665, 'gamma': 0.07290910065177356}. Best is trial 1 with value: -0.3749941374876557.
