[I 2026-07-14 16:32:32,193] A new study created in RDB with name: my-study
[I 2026-07-14 16:32:55,720] Trial 0 finished with value: -0.225538820941275 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.09722123692160849, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 1.9902608164349425e-06, 'reg_lambda': 0.0029386768137490906, 'gamma': 0.0003856984343292743}. Best is trial 0 with value: -0.225538820941275.
[I 2026-07-14 16:32:57,122] Trial 1 finished with value: -0.2058847700106856 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.2774553965280172, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.021347790607296167, 'reg_lambda': 1.1049557363101281, 'gamma': 4.393843981758312}. Best is trial 0 with value: -0.225538820941275.
[I 2026-07-14 16:33:09,156] Trial 2 finished with value: -0.22534659510971558 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.3132256479679857, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0012199499234330324, 'reg_lambda': 0.33772682608221627, 'gamma': 2.4730877092480458e-05}. Best is trial 0 with value: -0.225538820941275.
[I 2026-07-14 16:33:11,974] Trial 4 finished with value: -0.18380300061662302 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 850, 'learning_rate': 0.015358254829424692, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.002932126325501355, 'reg_lambda': 1.9347525582230976e-06, 'gamma': 8.964659206029696e-06}. Best is trial 0 with value: -0.225538820941275.
[I 2026-07-14 16:33:23,908] Trial 3 finished with value: -0.2137784346701384 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.0009744911238078805, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 10.380299712524323, 'reg_lambda': 0.006292280419933478, 'gamma': 2.8799067963666287e-05}. Best is trial 0 with value: -0.225538820941275.
[I 2026-07-14 16:33:56,207] Trial 5 finished with value: -0.30074841084735854 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2550, 'learning_rate': 0.29839762964651084, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 5.187641027283586e-06, 'reg_lambda': 1.1019706398402337e-05, 'gamma': 0.0020389713066983734}. Best is trial 5 with value: -0.30074841084735854.
[I 2026-07-14 16:34:37,562] Trial 6 finished with value: -0.28713791859243915 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.00013829571274190806, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.014029228799805357, 'reg_lambda': 0.17501010205163572, 'gamma': 0.008870129891845052}. Best is trial 5 with value: -0.30074841084735854.
[I 2026-07-14 16:34:52,546] Trial 7 finished with value: -0.24100080948405406 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1200, 'learning_rate': 0.12129472969980269, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0002755917890659317, 'reg_lambda': 0.01509791416647382, 'gamma': 0.026010152376835762}. Best is trial 5 with value: -0.30074841084735854.
[I 2026-07-14 16:34:56,814] Trial 8 finished with value: -0.22167335157398346 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.001374615494367607, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0010831312652327626, 'reg_lambda': 1.2306106186127535e-06, 'gamma': 0.07542675568915963}. Best is trial 5 with value: -0.30074841084735854.
[I 2026-07-14 16:35:15,857] Trial 9 finished with value: -0.31042552014271657 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.00012308527149702554, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 5.305123949869271, 'reg_lambda': 3.257063810086398e-05, 'gamma': 6.94283456380581e-06}. Best is trial 9 with value: -0.31042552014271657.
[I 2026-07-14 16:35:15,899] Trial 10 finished with value: -0.21620983083052453 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.0823196581966708, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.000481964640613244, 'reg_lambda': 4.4505693487735405e-05, 'gamma': 8.29235563529379}. Best is trial 9 with value: -0.31042552014271657.
