[I 2026-07-14 16:41:21,073] A new study created in RDB with name: my-study
[I 2026-07-14 16:41:27,676] Trial 0 finished with value: -0.07899033908783942 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1400, 'learning_rate': 0.011003712778609257, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.356497307206385e-05, 'reg_lambda': 1.8819521890732574e-06, 'gamma': 12.509678171991794}. Best is trial 0 with value: -0.07899033908783942.
[I 2026-07-14 16:41:33,673] Trial 1 finished with value: -0.12951079755997638 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.00012267540349537872, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 8.356911207380149, 'reg_lambda': 0.0018760845497687146, 'gamma': 0.027594416018338435}. Best is trial 1 with value: -0.12951079755997638.
[I 2026-07-14 16:41:52,723] Trial 2 finished with value: -0.06516355826196647 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.0021522264345415053, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.01419299273780035, 'reg_lambda': 4.092740389745078, 'gamma': 6.7308448262113845e-06}. Best is trial 1 with value: -0.12951079755997638.
[I 2026-07-14 16:41:54,151] Trial 4 finished with value: -0.06817374066008779 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.00691866849844027, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 4.772490803050034e-06, 'reg_lambda': 10.183611695493306, 'gamma': 0.12998723161550563}. Best is trial 1 with value: -0.12951079755997638.
[I 2026-07-14 16:41:57,583] Trial 3 finished with value: -0.07383273934867296 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.010087976456111257, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.6639371794124619, 'reg_lambda': 5.498696180933655, 'gamma': 5.464697271769943}. Best is trial 1 with value: -0.12951079755997638.
[I 2026-07-14 16:42:35,129] Trial 5 finished with value: -0.10414173147186263 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.0002521055190379733, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 1.2549609681860823e-06, 'reg_lambda': 2.5156200898763962e-06, 'gamma': 0.00033116545134155253}. Best is trial 1 with value: -0.12951079755997638.
[I 2026-07-14 16:42:45,320] Trial 6 finished with value: -0.06003643657364869 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.005073364580984043, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0014323897451763502, 'reg_lambda': 0.0008956764879662694, 'gamma': 9.185891289833807e-06}. Best is trial 1 with value: -0.12951079755997638.
[I 2026-07-14 16:43:08,264] Trial 7 finished with value: -0.09189878656519113 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.14045870390527038, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 5.504156140304191e-06, 'reg_lambda': 1.35776101872267e-06, 'gamma': 0.001966977914183574}. Best is trial 1 with value: -0.12951079755997638.
[I 2026-07-14 16:43:35,676] Trial 8 finished with value: -0.09574047910896083 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2900, 'learning_rate': 0.0003650545994818141, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0007895387995576343, 'reg_lambda': 0.0005852087155959633, 'gamma': 3.703346514630499e-06}. Best is trial 1 with value: -0.12951079755997638.
[I 2026-07-14 16:43:40,427] Trial 9 finished with value: -0.06808899603219268 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 750, 'learning_rate': 0.10858196033628732, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 8.789460124377476e-06, 'reg_lambda': 0.0003054705325823858, 'gamma': 0.05940700136101503}. Best is trial 1 with value: -0.12951079755997638.
[I 2026-07-14 16:43:50,093] Trial 10 finished with value: -0.06252806862178323 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.024499324443990278, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.05398681088779891, 'reg_lambda': 0.0032903389649610185, 'gamma': 0.680206949053034}. Best is trial 1 with value: -0.12951079755997638.
[I 2026-07-14 16:44:12,840] Trial 11 finished with value: -0.0992223806643209 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.0005065100269956374, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.030326116328866202, 'reg_lambda': 0.00035547875898132587, 'gamma': 0.024134763570176024}. Best is trial 1 with value: -0.12951079755997638.
[I 2026-07-14 16:44:13,312] Trial 12 finished with value: -0.13399008947738297 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.00024838868319776696, 'max_depth': 6, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.3319579743514699e-05, 'reg_lambda': 1.7052642689256596e-06, 'gamma': 8.134592566714001e-05}. Best is trial 12 with value: -0.13399008947738297.
[I 2026-07-14 16:44:50,406] Trial 13 finished with value: -0.06630927146905685 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.013569035530797711, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.052183544443637396, 'reg_lambda': 0.5915544280866316, 'gamma': 0.12364428196414146}. Best is trial 12 with value: -0.13399008947738297.
[I 2026-07-14 16:44:59,962] Trial 14 finished with value: -0.07035732043677526 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2900, 'learning_rate': 0.41568373411636994, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0030274702567215464, 'reg_lambda': 5.358742075236902, 'gamma': 0.5067965475546538}. Best is trial 12 with value: -0.13399008947738297.
[I 2026-07-14 16:45:43,909] Trial 15 finished with value: -0.08295727661270516 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.16321872961036904, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.003989118822771106, 'reg_lambda': 1.2637427131351804e-05, 'gamma': 1.500949287252412e-05}. Best is trial 12 with value: -0.13399008947738297.
[I 2026-07-14 16:45:56,024] Trial 17 finished with value: -0.13664272799787666 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.00010189308221975255, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 98.48986180434517, 'reg_lambda': 0.0930406276720073, 'gamma': 92.84933876620228}. Best is trial 17 with value: -0.13664272799787666.
[I 2026-07-14 16:45:56,318] Trial 16 finished with value: -0.06356736669725752 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.07618372212782205, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00728042382688011, 'reg_lambda': 0.00013796554156501935, 'gamma': 0.030407639494236815}. Best is trial 17 with value: -0.13664272799787666.
[I 2026-07-14 16:45:56,651] Trial 18 finished with value: -0.1368364485413016 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.00010084124399305981, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 64.64746576547842, 'reg_lambda': 0.08153551540735827, 'gamma': 0.0008851777221305663}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:45:58,144] Trial 19 finished with value: -0.13415970825523718 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 300, 'learning_rate': 0.0001340374681814025, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 54.33619993522966, 'reg_lambda': 0.06709722723607106, 'gamma': 0.0004942594168615614}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:45:58,347] Trial 20 finished with value: -0.13326328073637925 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0010996569674377582, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 57.474749438369194, 'reg_lambda': 0.03354545670510639, 'gamma': 0.000586888985430932}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:45:58,671] Trial 21 finished with value: -0.13674802984140255 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.0001491548921012121, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 48.66130228474733, 'reg_lambda': 0.08347465278242985, 'gamma': 0.00018393054778711673}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:45:59,235] Trial 22 finished with value: -0.1363132250091435 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.00017497426932124233, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 31.377031244085657, 'reg_lambda': 0.06586042122930438, 'gamma': 0.000593689748414799}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:45:59,873] Trial 23 finished with value: -0.13659996557868773 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 200, 'learning_rate': 0.00010271729302590616, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 45.55369426025341, 'reg_lambda': 0.0892233883620223, 'gamma': 0.0002842347703235958}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:46:00,127] Trial 24 finished with value: -0.13512564044315223 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0011524662479759618, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 46.05217454694591, 'reg_lambda': 0.055225567708025426, 'gamma': 77.4843438222418}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:46:00,386] Trial 25 finished with value: -0.13640072037535206 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0010199447280350256, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 78.11019552461063, 'reg_lambda': 0.01768947289167533, 'gamma': 39.94591572973599}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:46:00,840] Trial 26 finished with value: -0.1275590143266553 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.0012714396519731379, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 70.61395711271688, 'reg_lambda': 0.05372095727169174, 'gamma': 77.18626185109856}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:46:01,268] Trial 27 finished with value: -0.12981601028482015 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0011600696161577554, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 82.38030551021362, 'reg_lambda': 0.03158820717044244, 'gamma': 1.0250959450484856e-06}. Best is trial 18 with value: -0.1368364485413016.
[I 2026-07-14 16:46:02,340] Trial 28 finished with value: -0.13437043324279538 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 450, 'learning_rate': 0.0001223479737436873, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 59.21445246693206, 'reg_lambda': 0.06878887235940284, 'gamma': 67.23362836710756}. Best is trial 18 with value: -0.1368364485413016.
