[I 2026-07-14 16:42:23,738] A new study created in RDB with name: my-study
[I 2026-07-14 16:42:29,307] Trial 2 finished with value: -0.1125513018448458 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 800, 'learning_rate': 0.0010035692675222246, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 2.764313273567876e-05, 'reg_lambda': 1.9347732502141713e-05, 'gamma': 3.559011273566435e-05}. Best is trial 2 with value: -0.1125513018448458.
[I 2026-07-14 16:42:32,543] Trial 0 finished with value: -0.0948829881363497 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.006788796944983903, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0008150284939977751, 'reg_lambda': 5.288134593619273, 'gamma': 61.90373897281557}. Best is trial 2 with value: -0.1125513018448458.
[I 2026-07-14 16:42:33,219] Trial 1 finished with value: -0.06233130532875343 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.397702894199848, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.07555638928546292, 'reg_lambda': 0.0009205509541789798, 'gamma': 4.790993777268492e-06}. Best is trial 2 with value: -0.1125513018448458.
[I 2026-07-14 16:42:37,329] Trial 3 finished with value: -0.13186739598841804 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.00011336617413065632, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 39.13254316374086, 'reg_lambda': 0.0011514900366564676, 'gamma': 0.005618570349680722}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:42:55,169] Trial 5 finished with value: -0.09890104459937869 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.0005395482095079025, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0003079894046634857, 'reg_lambda': 0.00015499620170034132, 'gamma': 0.23715835200827823}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:43:00,918] Trial 6 finished with value: -0.1252565197060702 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.00012825246791277074, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 1.5954579526881287e-05, 'reg_lambda': 0.7461437653409392, 'gamma': 13.622081761481162}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:43:04,226] Trial 7 finished with value: -0.08751509115211788 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 600, 'learning_rate': 0.0023146689604514876, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.002165203436998534, 'reg_lambda': 17.56442945786206, 'gamma': 0.00020438795955642333}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:43:11,880] Trial 4 finished with value: -0.07459291820539472 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.00263881251441028, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 31.549353807365705, 'reg_lambda': 0.044905694835638416, 'gamma': 0.02695313680153559}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:43:19,697] Trial 8 finished with value: -0.11839688743135629 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.00011044736241264233, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.8823706795412762, 'reg_lambda': 0.8639168225371054, 'gamma': 1.2341382305184592}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:43:26,792] Trial 9 finished with value: -0.0743060414165245 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.006906453957135526, 'max_depth': 11, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 2.2959082190198987e-06, 'reg_lambda': 3.7930730884594415e-05, 'gamma': 0.021973527496259696}. Best is trial 3 with value: -0.13186739598841804.
[I 2026-07-14 16:43:28,625] Trial 10 finished with value: -0.10365578809772903 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.021298412566071633, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 4.882955639678326e-06, 'reg_lambda': 9.816515978357566, 'gamma': 70.67395882547704}. Best is trial 3 with value: -0.13186739598841804.
